model,log likelihood,R2 coefficient,normality pearson p-value,normality shapiro p-value,homocedasticity levene p-value,homocedasticity bartlett p-value
linear+hmult+exp,-329.6942446580571,0.75654538330995,0.00934001451788918,0.00012662367953453213,8.393964083499566e-07,1.3533531184774198e-06
linear+hmult+log,-325.9998986745367,0.7740537150380076,0.06374819510253632,0.008497253991663456,5.184594794303414e-05,0.000115783796182427
linear+hmult+power,-329.6942446580571,0.75654538330995,0.00934001451788918,0.00012662367953453213,8.393964083499566e-07,1.3533531184774198e-06
linear+hmult+hmult,-325.9998979880598,0.7740537181714805,0.06381372457946516,0.008507768623530865,5.190420912610825e-05,0.00011599990141792014
poly2+linear+linear,-288.8490029693548,0.8933263527125659,0.9305609097356036,0.7557172775268555,0.3383960280302797,0.5337562662511335
poly2+linear+poly2,-288.84900289001223,0.8933263528835508,0.9306118431987433,0.7557581067085266,0.33842181135942173,0.5338288943908698
poly2+linear+poly3,-288.8490031383335,0.8933263523484127,0.9305724768502914,0.7557411789894104,0.33820693601421237,0.5335581432335001
poly2+linear+exp,-295.9416460445695,0.8768922649156148,0.2124075030504002,0.39209482073783875,0.3535347699765893,0.20386361702764158
poly2+linear+log,-288.8490031175243,0.893326352393257,0.9305856774147433,0.7556996941566467,0.33840176672619815,0.5336593043079484
poly2+linear+power,-295.9416460445695,0.8768922649156148,0.2124075030504002,0.39209482073783875,0.3535347699765893,0.20386361702764158
poly2+linear+hmult,-288.84900289717336,0.8933263528681185,0.9305877296508734,0.7557026743888855,0.33839543086977586,0.53377119708511
poly2+poly2+linear,-285.6692494502297,0.8999633415339123,0.4265062993142392,0.42325231432914734,0.5983894484244097,0.38401486596006373
poly2+poly2+poly3,-285.6692499467736,0.8999633405304255,0.4265727752846713,0.42324402928352356,0.5980172571222605,0.3837793957085256
poly2+poly2+exp,-292.15603051833915,0.8859561771312041,0.18856818183911236,0.15011177957057953,0.6848686926459433,0.711014931073833
poly2+poly2+log,-285.6692495080724,0.8999633414170154,0.4264344472074866,0.42312192916870117,0.5983767360590093,0.3840468182626381
poly2+poly2+power,-292.15603051833915,0.8859561771312041,0.18856818183911236,0.15011177957057953,0.6848686926459433,0.711014931073833
poly2+poly2+hmult,-285.66924954430556,0.8999633413437903,0.42643110564728437,0.4232051372528076,0.5982459742291282,0.3838862700655019
poly2+poly3+linear,-282.87559082456715,0.905452802384958,0.2608725402100491,0.32228752970695496,0.6080982208823611,0.4686434185507372
poly2+poly3+poly2,-282.87558463778225,0.9054528142019911,0.26065698071173243,0.32221928238868713,0.6081462369248747,0.4684299471457378
poly2+poly3+poly3,-282.8755847599704,0.9054528139686063,0.26075876595503905,0.32253214716911316,0.6084866920680186,0.46873453721278024
poly2+poly3+exp,-288.7703007965026,0.8934958229594763,0.049761798293143165,0.00902472622692585,0.5406975959750346,0.7960634460565861
poly2+poly3+log,-282.87558715437166,0.9054528093951941,0.26071346002063706,0.32262280583381653,0.6078961810733785,0.4678052510664088
poly2+poly3+power,-288.7703007965026,0.8934958229594763,0.049761798293143165,0.00902472622692585,0.5406975959750346,0.7960634460565861
poly2+poly3+hmult,-282.87558481749915,0.9054528138587238,0.2604404856565545,0.3219713270664215,0.6077275706317662,0.4679139485027488
poly2+exp+linear,-393.7014792227324,0.11285717307819021,0.0005696620392189309,1.3433414096652996e-06,1.0385274452127898e-09,1.7740626542808204e-12
poly2+exp+poly2,-393.7014793541328,0.11285717072322377,0.0005697815590291156,1.3420232107819174e-06,1.0348743707399133e-09,1.7650943411327282e-12
poly2+exp+poly3,-393.70147908633027,0.1128571755228005,0.000569747665584865,1.3427838894131128e-06,1.0351782695037196e-09,1.7699119419954293e-12
poly2+exp+exp,-393.7413650532918,0.11214204806326245,0.00044818045616640273,1.136438868343248e-06,1.8858307345957808e-09,1.471733613872999e-12
poly2+exp+log,-393.70147905104125,0.11285717615525437,0.0005696942391239814,1.3435075061352109e-06,1.0379294007323083e-09,1.7748396579468366e-12
poly2+exp+power,-393.71176630649575,0.11267278800889602,0.000725833928039596,1.2861992217949592e-06,1.3613419072342153e-09,1.358158293076377e-12
poly2+exp+hmult,-393.7014793796815,0.11285717026533781,0.0005692505535129988,1.3424520375338034e-06,1.033919766416087e-09,1.7707571712879573e-12
poly2+log+linear,-292.55003986911805,0.8850447904270066,0.4769132429597216,0.475595623254776,0.45772765282898276,0.304688631701188
poly2+log+poly2,-292.55003977282297,0.8850447906506352,0.477009434561525,0.47573453187942505,0.45784065951186514,0.30481538272436937
poly2+log+poly3,-292.55003978168537,0.8850447906300536,0.4770686465772249,0.47576990723609924,0.4577894362751572,0.3047989798900966
poly2+log+exp,-298.2717928618565,0.8709585668409227,0.4006612194475057,0.22438807785511017,0.6349456343726809,0.7364868185521651
poly2+log+log,-292.55004087521047,0.8850447880905302,0.47725414293434576,0.47558173537254333,0.45800970962514487,0.3050702888558212
poly2+log+power,-298.2717928618565,0.8709585668409227,0.4006612194475057,0.22438807785511017,0.6349456343726809,0.7364868185521651
poly2+log+hmult,-292.5500400861558,0.8850447899229736,0.4770010036084744,0.47600480914115906,0.45764092167336157,0.3046423799980569
poly2+power+linear,-325.9312565276563,0.7743668198764254,0.07340386345386478,0.011672877706587315,5.238012447134907e-05,0.000139797199607812
poly2+power+poly2,-325.93121364663295,0.7743670153385964,0.07280424921680476,0.01156612578779459,5.139903456132472e-05,0.0001367450978479261
poly2+power+poly3,-325.9312106830845,0.7743670288471668,0.07293811305389408,0.011625298298895359,5.187137730358543e-05,0.0001378524582197653
poly2+power+exp,-326.8547530155871,0.7701177828216696,0.025157125442144653,0.001104548922739923,3.507300101271155e-06,1.8376410992691203e-05
poly2+power+log,-325.9312147924667,0.7743670101156084,0.07292659765066807,0.011569761671125889,5.1636090982673433e-05,0.00013740019870446483
poly2+power+power,-326.02833037235365,0.7739238992448371,0.05241789235552758,0.008307551965117455,3.417403896925239e-05,6.921373867131674e-05
poly2+power+hmult,-329.6296350791048,0.7568629437003558,0.012136163471934627,0.00019220869580749422,9.54747977177396e-07,1.8209862610195936e-06
poly2+hmult+linear,-325.9312672889207,0.7743667708239288,0.0734074440375622,0.0116888964548707,5.26392544258241e-05,0.0001403616355447091
poly2+hmult+poly2,-325.9317725265276,0.774364467814342,0.07447407926574222,0.011987734586000443,5.296935538251667e-05,0.00014496494440748714
poly2+hmult+poly3,-325.93120717805965,0.7743670448239176,0.07292688481971109,0.011619503609836102,5.1856952781256106e-05,0.00013786666507004718
poly2+hmult+exp,-329.6291869640259,0.7568651447688003,0.012118762962544235,0.000191744024050422,9.499248906307045e-07,1.8125984017359658e-06
poly2+hmult+log,-325.9312071727283,0.774367044848219,0.072920622683473,0.011614848859608173,5.1827384149014306e-05,0.00013779580670331628
poly2+hmult+power,-329.6291869640259,0.7568651447688003,0.012118762962544235,0.000191744024050422,9.499248906307045e-07,1.8125984017359658e-06
poly2+hmult+hmult,-325.9312074929521,0.7743670433885614,0.07290714904517952,0.011609275825321674,5.180707973787093e-05,0.00013775863566648031
poly3+linear+linear,-287.5130614192525,0.8961668348183055,0.8200183758563939,0.7333624958992004,0.1352867830803521,0.3418709628558574
poly3+linear+poly2,-287.51306049481434,0.8961668367574436,0.8198213468729063,0.7333548665046692,0.13514459121127323,0.3416552016831723
poly3+linear+poly3,-287.51306088122874,0.8961668359468853,0.8197144462953093,0.7333520650863647,0.13513922605064627,0.3415318440628616
poly3+linear+exp,-294.67422945241253,0.880004350087463,0.15712026157163622,0.5308074355125427,0.2677971650471982,0.12050016389978495
poly3+linear+log,-287.51306075789626,0.8961668362055926,0.819742802343902,0.73354172706604,0.1351564681590608,0.34158615089041405
poly3+linear+power,-294.67422945241253,0.880004350087463,0.15712026157163622,0.5308074355125427,0.2677971650471982,0.12050016389978495
poly3+linear+hmult,-287.5130610745357,0.8961668355413971,0.8196892294599236,0.7334681153297424,0.13519090086435445,0.34151312524659433
poly3+poly2+linear,-284.2757087323926,0.9027403344995663,0.588914005393341,0.7608286738395691,0.9787292024379148,0.600113348037704
poly3+poly2+poly2,-284.2757077494968,0.9027403364308009,0.5892278876695622,0.7609720230102539,0.9795849121773841,0.6005996851959696
poly3+poly2+poly3,-284.27570800921023,0.9027403359205051,0.5892130218580742,0.7610434889793396,0.9799090760405398,0.6008138857280838
poly3+poly2+exp,-290.85540779099296,0.8889136775235242,0.24300776472940777,0.358051061630249,0.8679418737373531,0.9656818425109139
poly3+poly2+log,-284.27570639465955,0.9027403390928416,0.5889559813504344,0.760712206363678,0.9791874382537913,0.600231663913211
poly3+poly2+power,-290.85540779099296,0.8889136775235242,0.24300776472940777,0.358051061630249,0.8679418737373531,0.9656818425109139
poly3+poly2+hmult,-284.2757064906569,0.902740338904222,0.5890868720094795,0.760899543762207,0.9792911341370615,0.600464230270191
poly3+poly3+linear,-281.1055871570867,0.9087738575539424,0.33609834628317087,0.4433995187282562,0.9252346599335294,0.9112513890586262
poly3+poly3+poly2,-281.10561881397774,0.9087737992117811,0.33839042817434584,0.4478587508201599,0.9244208437935468,0.9116762352945706
poly3+poly3+exp,-287.0758876903558,0.8970798301609005,0.05054288092212,0.019312867894768715,0.9181041388830172,0.6345468593384165
poly3+poly3+log,-281.1055747003679,0.9087738805110789,0.33694513537498566,0.444659024477005,0.9268924802324308,0.9096015903867062
poly3+poly3+power,-287.0758876903558,0.8970798301609005,0.05054288092212,0.019312867894768715,0.9181041388830172,0.6345468593384165
poly3+poly3+hmult,-281.10557435095234,0.9087738811550351,0.33645287002724267,0.44408807158470154,0.9269865768761201,0.9099910575293063
poly3+exp+linear,-393.33003257962554,0.11948935356153689,0.00032157140970966413,1.4772775784877012e-06,3.2699212851561387e-09,7.351210171944463e-12
poly3+exp+poly2,-393.3300330548691,0.11948934510786147,0.0003218984649662035,1.4765330433874624e-06,3.263409535916537e-09,7.298355302977954e-12
poly3+exp+poly3,-393.33003240520355,0.11948935666417149,0.0003211851933875543,1.4784208133278298e-06,3.2748823281164986e-09,7.368914390524542e-12
poly3+exp+exp,-393.3696976512646,0.11878350477827126,0.0002427423082354786,1.271245196221571e-06,4.592225611469096e-09,6.703099418399584e-12
poly3+exp+log,-393.3300330469961,0.11948934524790578,0.0003208531618285827,1.4792761930948473e-06,3.2780957693297244e-09,7.400599325927894e-12
poly3+exp+power,-393.3477908524504,0.11917341106833756,0.0004667783527170915,1.3674804222318926e-06,1.5891554401384809e-09,5.553615574210511e-12
poly3+exp+hmult,-393.33003248698896,0.11948935520936577,0.00032077552795267987,1.4789600299991434e-06,3.2818361122195325e-09,7.386425348616435e-12
poly3+log+linear,-291.50695281336976,0.8874418356199674,0.571554288029906,0.7286992073059082,0.6043809664808061,0.3565889433284759
poly3+log+poly2,-291.50695318118187,0.8874418347835986,0.5717666265578295,0.728787899017334,0.6043639996513102,0.35664148147098695
poly3+log+poly3,-291.5069524868117,0.8874418363625286,0.5716711752881848,0.7288057208061218,0.6042976390873491,0.3564873154538356
poly3+log+exp,-297.2920308252252,0.8734875948717471,0.470326598968398,0.5514524579048157,0.7972007877933303,0.8978081411739277
poly3+log+log,-291.5069525990539,0.887441836107301,0.5717690378363091,0.7289756536483765,0.6041703976453076,0.3565126478537516
poly3+log+power,-297.2920308252252,0.8734875948717471,0.470326598968398,0.5514524579048157,0.7972007877933303,0.8978081411739277
poly3+log+hmult,-292.20919123967815,0.8858336335239669,0.3854671452064479,0.5942859053611755,0.4044291273000621,0.21425086462962836
poly3+power+linear,-325.50990345449725,0.7762792996264967,0.07216051349432998,0.012154828757047653,8.402787470032872e-05,0.00011725637866058634
poly3+power+poly2,-325.50993650126014,0.7762791502679629,0.07428483798328461,0.012602618895471096,8.484277046985248e-05,0.00012517289073597117
poly3+power+poly3,-325.5097897035793,0.7762798137357045,0.07290290793040949,0.012261684983968735,8.391610565637212e-05,0.0001197736713476226
poly3+power+exp,-326.4359091830008,0.7720547230057501,0.02582785419460636,0.0012339047389104962,9.492278301183776e-06,9.370305075079141e-06
poly3+power+log,-325.5098109166636,0.7762797178610343,0.07324372335332262,0.012304054573178291,8.348338505179645e-05,0.00012076284822982287
poly3+power+power,-325.619667485258,0.7757826585673765,0.050147509147655346,0.008049100637435913,5.6926018424609024e-05,4.9184333152520845e-05
poly3+power+hmult,-329.22852490476805,0.7588251796428565,0.0113942410908784,0.00022266396263148636,6.158902045915087e-07,1.2783134419888655e-06
poly3+hmult+linear,-325.50991758966927,0.7762792357410213,0.07219255689567444,0.012161163613200188,8.402376054588054e-05,0.00011716382296236318
poly3+hmult+poly2,-325.5097903230555,0.7762798109359204,0.07291787044101089,0.012269069440662861,8.408319263908407e-05,0.00011985504541485319
poly3+hmult+poly3,-325.5097895800216,0.7762798142941358,0.07291664946219864,0.012265448458492756,8.39212947996113e-05,0.00011984443388129199
poly3+hmult+exp,-329.2285249051374,0.7588251796410566,0.01139305141945983,0.00022262003039941192,6.158041533819631e-07,1.277959638286662e-06
poly3+hmult+log,-325.50986820004744,0.7762794589628075,0.07223283378568952,0.012103156186640263,8.44775729014231e-05,0.00011703271581020255
poly3+hmult+power,-329.2285249051374,0.7588251796410566,0.01139305141945983,0.00022262003039941192,6.158041533819631e-07,1.277959638286662e-06
poly3+hmult+hmult,-325.5098288259126,0.7762796369183479,0.0730910925985034,0.012307517230510712,8.419104188351573e-05,0.00012123977594967598
exp+linear+linear,-290.79771088965845,0.8890430836386027,0.7390889080594172,0.8456171154975891,0.8469462641989052,0.9521529612208719
exp+linear+poly2,-290.4898149702709,0.8897311069151744,0.7642643375684168,0.8903816938400269,0.8245827591876913,0.9936220384048764
exp+linear+poly3,-290.4666669367338,0.8897826606789038,0.7771267022565048,0.8948496580123901,0.8454952519509614,0.9639491985956167
exp+linear+exp,-297.33362096375186,0.8733812538714761,0.18499395970995763,0.28831005096435547,0.37899771661488024,0.384018844449999
exp+linear+log,-290.463952167821,0.8897887052526725,0.8180287492752154,0.879310667514801,0.79556176882637,0.9592624162243587
exp+linear+power,-297.33362096375186,0.8733812538714761,0.18499395970995763,0.28831005096435547,0.37899771661488024,0.384018844449999
exp+linear+hmult,-290.89501303054374,0.8888247611405946,0.7194953221566238,0.8381098508834839,0.9067805646184663,0.9064097694812396
exp+poly2+linear,-287.42916637752927,0.896342667341604,0.13652877447279646,0.20201192796230316,0.50536799592132,0.26204364194656193
exp+poly2+poly2,-287.20541099953897,0.8968101732560381,0.17377184834738227,0.2624373733997345,0.5008561983291845,0.27695634817582027
exp+poly2+poly3,-287.20703183903737,0.8968067943290612,0.15625474540720927,0.237026646733284,0.50143344117077,0.2651279861493916
exp+poly2+exp,-293.5101559452055,0.8827933220181605,0.0764743573096082,0.04779913276433945,0.6847060896953003,0.6437077599065125
exp+poly2+log,-287.4705534486821,0.8962559629502378,0.1393374869287903,0.204152449965477,0.4969374049803822,0.26741535023120155
exp+poly2+power,-293.5101559452055,0.8827933220181605,0.0764743573096082,0.04779913276433945,0.6847060896953003,0.6437077599065125
exp+poly2+hmult,-285.18238696682437,0.9009424397595299,0.5680352322729703,0.622016191482544,0.7321134067447631,0.5074669669717565
exp+poly3+linear,-285.37790737423444,0.9005503978321925,0.05325514505302386,0.06742700189352036,0.22679937068422446,0.14549166472692354
exp+poly3+poly2,-285.2416536606222,0.9008237664246314,0.056995570108813245,0.07519280165433884,0.23007969814837878,0.14963087021432916
exp+poly3+poly3,-285.2207631859847,0.9008656129188706,0.05902797770775827,0.0774761289358139,0.2396973562641303,0.15659090294491207
exp+poly3+exp,-292.97346614860203,0.8840572381763546,0.05906931463438109,0.030253788456320763,0.6019613308380939,0.5627046759637854
exp+poly3+log,-285.32430428848016,0.9006580325848217,0.05889767743018474,0.07071597129106522,0.2642459630206558,0.16899466388102474
exp+poly3+power,-292.97346614860203,0.8840572381763546,0.05906931463438109,0.030253788456320763,0.6019613308380939,0.5627046759637854
exp+poly3+hmult,-285.8272376059576,0.8996435464701867,0.04089744136827453,0.04551457613706589,0.23929167769643298,0.13638631014068273
exp+exp+linear,-394.2275796027479,0.10337807733242221,0.0011257943263398684,3.7509801131818676e-07,1.8855288381758115e-12,2.5738406808225298e-15
exp+exp+poly2,-394.0886635940542,0.10589081525988486,0.0009321821942940894,5.556760811487038e-07,8.107100951353573e-12,1.5499956194014744e-14
exp+exp+poly3,-394.09793947266405,0.10572325111059844,0.0009255405743495436,5.620127581096312e-07,9.080126986283688e-12,1.74293730845413e-14
exp+exp+log,-394.1017589524927,0.10565424497351406,0.0009412927639535796,5.244569365459029e-07,8.804388823085858e-12,1.2548191582763774e-14
exp+exp+power,-394.5548741793777,0.09742995989433534,0.0012758552119116699,1.1707741975897079e-07,2.9298408366579556e-14,1.3406700576851996e-17
exp+exp+hmult,-394.53002716144033,0.09788290022559143,0.0011489754290248597,1.215003493371114e-07,4.2645276612023166e-14,2.1936176942006055e-17
exp+log+linear,-293.3790786984575,0.8831032776871933,0.27037835621699297,0.1839320808649063,0.6847742458192212,0.33928471362888
exp+log+poly2,-292.3030056611462,0.8856170555950857,0.5498208085595991,0.5656750202178955,0.4310366773293268,0.29735461504830984
exp+log+poly3,-292.3030057123331,0.8856170554768046,0.5497886767102,0.565608024597168,0.43115584210466873,0.2974242679187534
exp+log+exp,-298.1580964436342,0.8712546216313259,0.4251554522252402,0.258230060338974,0.6428251941073695,0.7706546655392151
exp+log+log,-292.3030056997967,0.8856170555057734,0.5497882757365882,0.5656983256340027,0.4309657095527045,0.29728869155692816
exp+log+power,-298.1580964436342,0.8712546216313259,0.4251554522252402,0.258230060338974,0.6428251941073695,0.7706546655392151
exp+log+hmult,-292.5962336447978,0.884937463281517,0.452754358663349,0.43257784843444824,0.5245029334214582,0.3322445295710242
exp+power+linear,-326.0532735551236,0.7738099501840728,0.06201251534740421,0.00782000832259655,5.7820742688232906e-05,0.00011315397438308975
exp+power+poly2,-326.09908857406384,0.7736005017271275,0.061558581983123604,0.007424463983625174,6.153287343989518e-05,0.00011405096368803704
exp+power+poly3,-326.00388671200983,0.7740355106228397,0.06439481291502988,0.008537458255887032,5.1923623450338566e-05,0.00011739108797382248
exp+power+exp,-329.37127406382433,0.7581286707149881,0.004474747290996187,1.6969592252280563e-05,1.3981498555879297e-07,1.548910006800943e-07
exp+power+log,-326.0169002941856,0.7739760966020524,0.06270905570162906,0.0079672085121274,5.223888092726863e-05,0.0001125211896381086
exp+power+power,-327.6402967853599,0.7664405497477103,0.07109676955285693,0.008121975697577,7.665797757058971e-05,4.352138983903948e-05
exp+power+hmult,-330.9693212008189,0.7501927380985053,0.0024953380103129533,7.632029337401036e-06,8.959996029997715e-08,3.5717918065358766e-08
exp+hmult+linear,-326.0534292022152,0.7738092389541988,0.058900341743147844,0.007580060977488756,5.426400528511374e-05,0.00010250967553806147
exp+hmult+poly2,-326.0762419579398,0.7737049718067639,0.06167042958705752,0.007590308785438538,6.0671975009641454e-05,0.00011329840763523598
exp+hmult+poly3,-326.0062768883371,0.7740245993498469,0.0616170543939028,0.007866431958973408,4.804326742702275e-05,0.00010632299224909114
exp+hmult+exp,-330.56672432527387,0.7522162480296034,0.0034061402111067503,1.4370727512869053e-05,2.4064312652694843e-07,1.2098239728664707e-07
exp+hmult+log,-326.0037956117667,0.7740359264895265,0.06438296319945423,0.008327009156346321,5.07294674878759e-05,0.0001155461048949659
exp+hmult+power,-330.56672432527387,0.7522162480296034,0.0034061402111067503,1.4370727512869053e-05,2.4064312652694843e-07,1.2098239728664707e-07
exp+hmult+hmult,-328.92841792471194,0.7602829429459079,0.0075674288254499655,4.08870073442813e-05,2.611384380771726e-07,7.179298593175457e-07
log+linear+linear,-288.09103106718,0.8949473571889539,0.7042669099619927,0.554164469242096,0.08313684211602007,0.23243319375096955
log+linear+poly2,-288.0910304285017,0.8949473585444052,0.7047155569369934,0.5543855428695679,0.08323336211440659,0.23270386323650993
log+linear+poly3,-288.0910304688213,0.8949473584588359,0.704764977475633,0.5544281601905823,0.08326102768190609,0.23274395617937874
log+linear+exp,-295.62639800511926,0.8776738033426862,0.10647667353148235,0.40485718846321106,0.2161292057109284,0.09559740201014913
log+linear+log,-288.0910307233956,0.8949473579185592,0.7046279965997935,0.5542685389518738,0.08318915617504581,0.2326164426947473
log+linear+power,-295.62639800511926,0.8776738033426862,0.10647667353148235,0.40485718846321106,0.2161292057109284,0.09559740201014913
log+linear+hmult,-288.0910304569626,0.8949473584840034,0.7046758153133938,0.5544126629829407,0.0832342108150361,0.2326865214772908
log+poly2+linear,-285.0056575392322,0.9012954735298113,0.7178051249100722,0.7683050036430359,0.8149010942586639,0.8187694406890234
log+poly2+poly2,-285.00565635137207,0.901295475898441,0.7176589307227847,0.7680299282073975,0.8145469890627017,0.8189958095210946
