train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,rmse,loo rmse
gov,1,bible,25,gov,15.546835722698,10.504445100917726,1.8860870271645112,2.086930495610422
gov,10,bible,1,flores,2.5004541218503307,0.7019067292074477,0.8859834994409721,1.064982091220542
gov,10,bible,1,bible,16.145170152883907,-2.4605919595929824,2.0973505882291645,2.1413509478746144
gov,10,bible,1,gov,3.288945878286846,1.2926091474975907,0.917637988967425,1.1093460808640134
gov,10,bible,10,flores,4.828802554153838,1.872869698659059,1.1892101980374667,1.471118948174254
gov,10,bible,10,bible,24.769531368736082,-3.4468928079290637,3.3934578862743394,3.3958145053319093
gov,10,bible,10,gov,11.927438776737581,7.506266024712611,1.3462710712835206,1.7096568833020602
gov,10,bible,25,flores,5.99049472083537,2.8181209621202052,1.2997370457306554,1.6048743521743725
gov,10,bible,25,bible,28.969559596475683,-3.301750029286012,3.443099122708007,3.459221598810842
gov,10,bible,25,gov,13.177682386530247,8.510227501348677,1.2795554654780597,1.5137321278647369
gov,50,bible,1,flores,-0.10658814154025202,-2.3490736748324195,0.5555347694746767,1.9038775265654642
gov,50,bible,1,bible,15.530110627856416,-5.360889969884812,2.0890672126560053,7.159458456728911
gov,50,bible,1,gov,0.33546514952952267,-1.8228285377565427,0.4664179967655941,1.5984647354097483
gov,50,bible,10,flores,0.8003047024503294,-2.420231784473386,0.4624304382531496,1.5847989409892602
gov,50,bible,10,bible,26.107735365271502,-4.63357106791003,3.211203086484736,11.005139020921353
gov,50,bible,10,gov,7.4787845354816795,2.3159746960355796,0.3396205161285946,1.1639161064541044
gov,50,bible,25,flores,1.7460364978870635,-1.6118344221696277,0.4832645714733302,1.6561997616687216
gov,50,bible,25,bible,30.17993129721711,-4.6666705705722595,2.9952888331386522,10.265177605030638
gov,50,bible,25,gov,8.67580197546643,2.987016008262004,0.01993779256222299,0.06832896361752358
bible,25,gov,1,flores,6.077775031068994,0.021494204965259556,1.939684742531116,2.45794660161581
bible,25,gov,1,bible,5.097526065645796,2.1494506720009854,1.6488168349993293,1.9547413910740974
bible,25,gov,1,gov,26.14163046988953,5.298430659071763,1.5227458899300024,1.7178133098033983
bible,25,gov,10,flores,10.842032227944213,-1.9323221269318451,3.424574379974076,4.30473051952386
bible,25,gov,10,bible,11.812964024432022,3.13550861463395,2.284302407279465,2.5287231166664323
bible,25,gov,10,gov,37.67338871956262,3.450423849723099,3.7680682035718944,3.8161221562442904
bible,25,gov,25,flores,12.767307159184218,-2.022682484646644,3.4982625988247245,4.320458414621517
bible,25,gov,25,bible,14.064175186815712,4.5517807476001915,2.609230155689924,2.7729183376669866
bible,25,gov,25,gov,41.892544323123786,4.150760363120774,4.508322745300731,4.535971961198705
bible,25,gov,50,flores,2.3305071921754004,-14.249158467770103,1.8346678596207768,6.287604459672117
bible,25,gov,50,bible,8.623734179700435,-3.622478226257823,0.33294393564227764,1.141034745655976
bible,25,gov,50,gov,46.77269522988223,5.324548302915907,5.475906771481761,18.766522592396743
bible,1,gov,1,flores,6.599349078072605,2.0307314197884634,2.0888776838565404,2.474112255036427
bible,1,gov,1,bible,7.0054217193711334,3.271496644362254,1.9577728307262738,2.0731510939362
bible,1,gov,1,gov,26.733558974696397,9.230783659871777,3.381080080820148,3.483315269937751
bible,1,gov,10,flores,10.812119758300852,-0.8318103834002368,3.5204268441459035,4.363556327230111
bible,1,gov,10,bible,11.735821877518331,5.0253745050148,2.4451792619592885,2.5619495222913953
bible,1,gov,10,gov,37.05179356641242,3.762896608987269,3.919495162175748,3.9752981754267864
bible,1,gov,25,flores,12.364324107530145,-1.6877032706131887,3.6709651683035056,4.532105029552282
bible,1,gov,25,bible,12.425527701865294,5.375697570386341,2.4828849951094654,2.5799690381139584
bible,1,gov,25,gov,41.19790818664211,3.8428448687148737,4.310364369697646,4.361257611422078
bible,1,gov,50,flores,1.726828842276634,-14.531310524321396,1.7247169536915143,5.910790856686391
bible,1,gov,50,bible,8.171268682483648,-1.304023472870013,0.41009803281402685,1.40545015082851
bible,1,gov,50,gov,45.063764624280196,3.567914118587146,5.441317281408376,18.647980682533884
bible,10,gov,1,flores,5.644830270559438,-0.16345226975812116,1.960679523077645,2.429136581413661
bible,10,gov,1,bible,5.460859980090923,2.5888075772234598,1.6439310767874962,1.8943553792534231
bible,10,gov,1,gov,25.41743344471869,5.220801230658511,1.660477204980807,1.8210815883279516
bible,10,gov,10,flores,10.735235267049896,-1.7470632883401511,3.4340924520836356,4.238241527197259
bible,10,gov,10,bible,11.930855650448088,3.761762445980758,2.5119850659395193,2.6842133012984704
bible,10,gov,10,gov,37.96253338168309,4.138654760099707,3.79394144759172,3.8417370325804927
bible,10,gov,25,flores,12.841157626406638,-1.5706085395419294,3.571422893858655,4.386285066855816
bible,10,gov,25,bible,13.036417103436634,4.010335006539624,2.5941230060178664,2.774624691716385
bible,10,gov,25,gov,41.61812692232538,4.036587335888546,4.3403813688680835,4.375472682614205
bible,10,gov,50,flores,2.569114162963072,-13.687334185842866,1.792103252522458,6.14173096436224
bible,10,gov,50,bible,7.813162814080275,-3.833472376457387,0.3497905103500131,1.198769772574686
bible,10,gov,50,gov,46.12007090626937,4.587309464591788,5.403636573480417,18.518844835972473
