train set 1,train set 1 size,train set 2 size,language to,c0,c1,rmse,kfold rmse
gov,1,1,hi,-4.577566941341596,-10.558620765828005,0.6094612834434656,0.8886327891576856
gov,1,1,si,-8.22869143477597,-16.390843410647765,1.7378455517815998,2.657053464280416
gov,1,1,ta,-4.105499446244597,-9.391766011121979,1.2373681823298777,1.8650270949902081
gov,1,10,ka,-7.243276347682389,-12.94936644202875,0.46302819713434085,0.6753872206274729
gov,1,10,gu,1.3508645148139187,-9.777417465767307,2.5165296001223867,3.7111345921558385
gov,1,10,hi,-5.509349836780666,-14.315284381750553,1.4608374731869551,2.136301175608774
gov,1,10,si,-8.493316904930811,-20.04242278685439,3.370230005823747,5.15171952612743
gov,1,10,ta,-3.309266325057216,-12.513870123801276,3.020867414527029,4.5488315598058495
gov,1,25,ka,-8.651653986228423,-15.16948400603767,0.3399961645515636,0.49526168748334354
gov,1,25,gu,0.7287327268702064,-11.570096938326893,2.6087697408585377,3.841161064886347
gov,1,25,hi,-5.728486464478427,-15.65701296795157,1.8384452289532973,2.684568774725922
gov,1,25,si,-10.445837923398036,-22.842452793090562,3.6817878205506895,5.628837177185167
gov,1,25,ta,-3.8621726170098594,-14.370061725933605,3.3588942218736766,5.043766259120165
gov,10,1,ka,-5.247302425375575,-9.946986288600586,0.36168572172902136,0.5262935361005029
gov,10,1,gu,-2.3593662389760506,-9.005818700466083,0.6006532957881351,0.8833794990248242
gov,10,1,hi,-4.962906324313157,-11.11631311318976,0.46519494349817614,0.678283414177173
gov,10,1,si,-9.433987766319794,-17.557738873502327,1.2802878455773508,1.9574773212038146
gov,10,1,ta,-5.127745489544429,-10.17159512650042,0.8821785252773985,1.3296663642691156
gov,10,10,ka,-6.787103585147761,-13.43907553862729,0.4820844949279781,0.7031833247998484
gov,10,10,gu,0.35080730431317486,-10.397868409716908,2.017070857874512,2.974581119839773
gov,10,10,hi,-6.015673468044428,-14.588303103644392,1.0634678662727814,1.5551953551577233
gov,10,10,si,-9.220565270938664,-20.445062199454387,3.279093045277144,5.01240794846403
gov,10,10,ta,-4.3021513921477705,-13.056535669505545,2.4886638541733515,3.7474377896813746
gov,10,25,ka,-8.069967188680097,-15.342103282962976,0.42840140066727544,0.6240388061275477
gov,10,25,gu,-0.025562213831078033,-11.746354600120808,1.881578038021229,2.7704416326961305
gov,10,25,hi,-6.902767089140301,-16.37610279108261,1.2552223566690388,1.8329241964799314
gov,10,25,si,-10.724760615799816,-22.940152204715318,3.52517836760443,5.389407542994383
gov,10,25,ta,-4.740893704410486,-14.974233695321608,2.872251785104899,4.313016631208039
gov,50,1,hi,-4.916042832778858,-11.33283302684253,0.30916028698026554,0.4507750952838788
gov,50,1,si,-10.016445516393615,-18.502759297058585,1.2603362436800498,1.9269726121490767
gov,50,1,ta,-5.08438148608369,-10.484466268680693,0.78119329186898,1.1774560527464937
gov,50,10,hi,-5.922850019216565,-14.59407167405084,0.9819394592854624,1.435969750058374
gov,50,10,si,-9.674905481795887,-20.958804998943585,3.155729350727401,4.823834719655037
gov,50,10,ta,-4.394578347490848,-13.35199047960069,2.5115639210333027,3.781920773326874
gov,50,25,hi,-6.69601659872925,-16.37075447051935,1.3367605767552626,1.951989456702469
gov,50,25,si,-11.297404859898828,-23.467550660657047,3.3208053974749285,5.076955487540348
gov,50,25,ta,-4.640689671278978,-14.893013583801618,2.8250100905171434,4.2420777895994854
bible,25,1,ka,-9.719169509076075,-17.207740578259,1.0180870577580439,3.695723808211926
bible,25,1,gu,-7.736538266248351,-19.827132366322054,1.672536143712508,5.554256569104305
bible,25,1,hi,-7.009629138458238,-16.365668373522013,1.0787533929432922,4.174963695626493
bible,25,1,si,-8.41541104663394,-18.225785117984028,1.004550280712975,5.488104962151997
bible,25,1,ta,-7.98536333713878,-16.58604949642651,1.496606472305074,7.9969564890958775
bible,25,10,ka,-8.966947191403527,-20.564923211677748,0.5172891824909388,1.9234088012449824
bible,25,10,gu,-3.2513993447603307,-20.946510026357966,1.5053208426697702,4.740689134156003
bible,25,10,hi,-1.6305684598792434,-17.36128161332168,1.6364585598235957,6.062266212217396
bible,25,10,si,-3.8050515098224533,-19.924434902383727,2.998592834752151,18.260544804997572
bible,25,10,ta,-3.7696883567873183,-16.668579532927318,2.9226686405943014,17.14091294269066
