train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,rmse,loo rmse
gov,25,bible,1,bible,19.605252844333663,-1.992180216045497,0.0,0.0,2.299104026587067,2.41122387308217
gov,25,bible,1,gov,2.207581443615149,-0.17018130401338202,0.0,0.0,0.8817676093568909,0.9894260042879092
gov,25,bible,10,flores,2.3445527187619857,1.9731271444550702,0.0,0.0,1.335253359601917,1.565865497803117
gov,25,bible,10,bible,28.299607165921653,-0.5821668506273825,0.0,0.0,3.63249278103067,3.6831733881039095
gov,25,bible,10,gov,-7.89487574956647,25.639114703222774,0.0,0.0,1.3617645218739525,1.7391520909034224
gov,25,bible,25,flores,0.7957130206698108,5.526763937407986,0.0,0.0,1.5427962868199654,1.7820324182566636
gov,25,bible,25,bible,33.518974448684354,-3.184705884091089,0.0,0.0,3.3579275072327395,3.370981922328467
gov,25,bible,25,gov,-9.616065055607208,29.993979298193445,0.0,0.0,1.6030088410530567,1.9026417406004439
gov,1,bible,1,flores,0.4984642313926366,2.17926889108913,0.0,0.0,0.9184625770909416,1.0104860534988747
gov,1,bible,1,bible,13.689879288792275,6.121031934632138,0.0,0.0,2.783486351776561,2.861151195011207
gov,1,bible,1,gov,-3.166448962951159,11.515759015069895,0.0,0.0,1.0837357879300498,1.264066567390691
gov,1,bible,10,flores,-0.18203519342415994,6.377363071032186,0.0,0.0,1.2537263765938895,1.508691704977209
gov,1,bible,10,bible,25.24285127065088,3.6863566859559884,0.0,0.0,3.8197382533069257,3.881080656451765
gov,1,bible,10,gov,-13.401218193136573,38.35938892250937,0.0,0.0,1.8450574041083274,2.134763285414404
gov,1,bible,25,flores,-0.25591617281814866,7.14271390082672,0.0,0.0,1.3765648327662894,1.6026549816529316
gov,1,bible,25,bible,28.417314142072833,5.7957058472173015,0.0,0.0,3.662864072011354,3.705666670975444
gov,1,bible,25,gov,-13.529294922646724,39.61867452538048,0.0,0.0,2.1066971988234644,2.285505381789401
gov,10,bible,1,flores,2.253165043053961,-0.6473769535099323,0.0,0.0,0.8990895029030441,1.0249294632474966
gov,10,bible,1,bible,19.649753192570934,-2.855893459110107,0.0,0.0,2.1627566400788627,2.29028551437691
gov,10,bible,1,gov,1.3580883585443875,1.67478883983057,0.0,0.0,0.9577693011594532,1.0930227113739504
gov,10,bible,10,flores,1.737371215952307,2.9974987359407654,0.0,0.0,1.2502276879984833,1.4565196641502076
gov,10,bible,10,bible,27.88657667844255,-0.5179880461423745,0.0,0.0,3.4797712202495794,3.547044112633439
gov,10,bible,10,gov,-9.18071117225094,28.953740789038932,0.0,0.0,1.4675498822606654,1.838587581831561
