train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,rmse,loo rmse
gov,25,bible,1,bible,22.159262668802352,-48.4378326151261,29.184225269787344,1.8748019903270048,4.723886759127516
gov,25,bible,1,gov,32.064013508608156,-70.61918200037121,6.187386627605186,0.5840611770717784,1.3149079138962718
gov,25,bible,10,flores,52.805339255611194,-123.53080138756525,15.138465138053542,0.9038303280176353,2.158537838423245
gov,25,bible,10,bible,3.422314105435605,0.5144534065151394,35.77778855862009,2.809598176767173,7.525696353823274
gov,25,bible,10,gov,37.41658805327718,-108.54323161440871,29.963115816839558,1.6888213948759228,3.853520104182349
gov,25,bible,25,flores,55.89229619373824,-131.30726484088294,16.54102512251914,1.181647402629691,2.93397011172683
gov,25,bible,25,bible,-1.464132620901248,36.194938982007464,23.29450014706597,2.7429577307815807,7.31615062881804
gov,25,bible,25,gov,32.61202858490043,-91.11784490646603,25.400825313376288,2.131559530406691,4.671365588307845
gov,1,bible,1,flores,25.168681215476948,-55.65180976338488,4.947844097199972,0.7679692948097299,1.325263913113197
gov,1,bible,1,bible,3.9230953798571893,-7.744951423537617,24.50347520691604,2.3801339776494395,4.782261993245834
gov,1,bible,1,gov,25.840730207929106,-66.92528304652677,13.653436287681734,1.1617281869796068,2.0995841251140925
gov,1,bible,10,flores,44.19974263723186,-109.11112039311844,17.156463507372,1.0432391339203888,2.053189371443731
gov,1,bible,10,bible,-0.39112925113205826,7.868720162504088,34.890906147851695,3.029994855797233,7.439816683062317
gov,1,bible,10,gov,18.76812543303812,-65.28629801446016,28.153423951109957,2.549223143405758,4.699130577430491
gov,1,bible,25,flores,46.23522604704872,-110.12618587376406,15.35558447279919,1.1673003982251318,2.5599303406797507
gov,1,bible,25,bible,-2.341650383144499,23.243381197672278,33.08992825449253,2.7783545292295018,6.969107553774646
gov,1,bible,25,gov,9.593471354072705,-32.741106661136705,19.26489386360759,2.882851704584378,5.072259386917616
gov,10,bible,1,flores,33.52765865129116,-75.46811019337724,7.189293291508659,0.5876047581693519,1.187052805168063
gov,10,bible,1,bible,26.31326158788521,-56.9476758150852,28.53916828540348,1.7963104393262688,4.474841576038607
gov,10,bible,1,gov,33.36726311212372,-76.02822482244707,8.264685900017023,0.7131204731261022,1.4756773162764496
gov,10,bible,10,flores,47.241716119919914,-110.00884037587797,13.586116229231454,0.9057758012494203,2.1164742931048544
gov,10,bible,10,bible,9.193086752477692,-12.379234683955843,35.90222226313372,2.730056613247562,7.167288490208748
gov,10,bible,10,gov,30.914460534689216,-95.61553281710916,30.948839903351985,1.868354858445532,3.702564164703035
gov,10,bible,25,flores,49.3209254867918,-115.60524159568409,15.067307866001594,1.132209277621955,2.7445704807980347
gov,10,bible,25,bible,-11.804747973999037,58.01630761359801,22.717737664799593,2.7578165161794272,7.29415953891539
gov,10,bible,25,gov,13.942803176778368,-48.895754936177966,23.29879986689352,2.0779466804959568,4.034064655147654
gov,50,bible,1,flores,17.123356535189348,-23.975251353441276,-5.073472544470263,4.494232536718179e-15,0.19608769162268977
gov,50,bible,1,bible,125.46423047177286,-315.93194122196917,71.04795050270768,4.365647657580676e-14,2.5203798274860976
gov,50,bible,1,gov,12.962219363063063,-15.854600968475276,-4.806651311646969,4.81850140130177e-09,0.13114892739035283
gov,50,bible,10,flores,20.864655839134617,-33.2559938128401,-2.5212683681361128,3.818220385542456e-14,0.27086486675440813
gov,50,bible,10,bible,150.69354215003932,-382.44392884764295,96.00541376643498,7.395563270997246e-15,3.0595635375542694
gov,50,bible,10,gov,-13.885576179427071,39.82985305490926,-0.1198762567668484,2.1049391323720857e-14,0.3067914863620439
gov,50,bible,25,flores,11.42119102861495,-8.507347254445325,-5.993812838360618,1.5353759599640267e-14,0.07643280767781066
gov,50,bible,25,bible,150.6313225058051,-366.5893271461831,90.81206496519856,9.881824827477883e-14,2.9468339817881617
gov,50,bible,25,gov,-28.512180974470716,87.00696055682387,-11.426914153128042,1.4328789141637964e-13,0.6740443434777269
bible,25,gov,1,flores,91.05740042940448,-211.35216421896178,25.31250909880805,0.9132185183539144,1.7425931222178492
bible,25,gov,1,bible,55.64902422662676,-124.76700287958782,11.77690936167955,1.2923842416337195,2.5264795825895763
bible,25,gov,1,gov,33.33802673216995,-76.59893375853973,37.44884946097038,1.1120785273243177,1.4552860945510002
bible,25,gov,10,flores,168.0479539663939,-379.688721772445,41.190458651238956,1.2215832845814376,2.3041405445674905
bible,25,gov,10,bible,42.31685013305378,-95.00439364917281,18.89305093291409,2.297480674680924,2.3239309042492695
bible,25,gov,10,gov,19.12959182245259,-57.158941185682146,63.72422374109757,1.7438497740657295,3.8215295348215816
bible,25,gov,25,flores,167.6782483211386,-367.12300091000344,35.738874880793986,1.2898400175140843,2.4537183596495566
bible,25,gov,25,bible,23.593512240406806,-58.27332200136444,21.893332763901558,2.6802237263596025,2.6810237938875154
bible,25,gov,25,gov,10.25977469679373,-47.07458652099737,74.94925784888406,1.7450834991395316,4.294795276715421
bible,25,gov,50,flores,139.13708430008666,-264.88785769530494,7.01082753287176,1.9381293217312408e-13,2.140790404256731
bible,25,gov,50,bible,60.2181361175568,-129.54369682908174,21.45784996133066,1.264420065187166e-14,1.0453061667676362
bible,25,gov,50,gov,96.41832946635486,-273.78190255219846,115.29002320185572,9.30060362524039e-14,2.21127707889054
bible,1,gov,1,flores,64.80700391904546,-150.11924731463182,18.692153063672205,1.7745648474488123,2.2069246299309344
