train set 1,train set 2,train set 2 size,test set,language to,c0,"c1,1","c1,2","c1,3",rmse,loo rmse
cc_align,bible,1,bible,si,9.980309262455513e-05,0.0023762296836311986,0.04752097889253042,-0.0004518475116964905,1.219395011467677e-08,1009.3637787147172
cc_align,bible,1,bible,ta,7.8274064671757e-05,0.0018636411903701871,0.03726998711689524,-0.00035458631356365545,7.245288193187151e-08,791.6289594873153
cc_align,bible,1,gov,ka,2.625658530223703e-06,6.251478723199684e-05,0.0012502020784408265,-1.1708274888777924e-05,5.461710775632217e-10,26.554618461476682
cc_align,bible,1,gov,gu,7.01106967565919e-06,0.00016692783801050814,0.0033383055621668298,-3.139975541661701e-05,3.528587141699399e-09,70.90659701571346
cc_align,bible,1,gov,hi,7.025039998052095e-06,0.0001672604444268547,0.003344955558227879,-3.166628865175927e-05,9.946340492935696e-11,71.04801837195077
cc_align,bible,1,gov,si,3.0725818420438073e-06,7.315565625110238e-05,0.0014630024262788398,-1.3837342900957603e-05,1.7079194977820644e-09,31.074669162785355
cc_align,bible,1,gov,ta,2.1857203779159317e-06,5.2040221380967035e-05,0.001040726727831452,-9.71247348614062e-06,1.464871089931735e-09,22.105278438286636
cc_align,bible,10,flores,ka,9.21076037600337e-06,0.00021930066580866316,0.00438568228607616,-4.13787621380684e-05,1.5587426098560987e-09,93.15329664952432
cc_align,bible,10,flores,gu,1.975530553976145e-05,0.0004703576357876757,0.00940644062405944,-8.901146175942004e-05,2.654489516866636e-09,199.7960332784383
cc_align,bible,10,flores,hi,1.4490018249007073e-05,0.00034499545709982437,0.006899386514963004,-6.532837918572589e-05,1.6633646480639246e-08,146.54537628495228
cc_align,bible,10,flores,si,8.770822247005378e-06,0.0002088261005126195,0.0041762069465656184,-3.9382960846556436e-05,1.2100992881656713e-09,88.70395646562123
cc_align,bible,10,flores,ta,1.0062695999781826e-05,0.0002395845838196792,0.004791332978007175,-4.48372983011902e-05,1.8315446748451209e-09,101.76913366200365
cc_align,bible,10,bible,ka,0.00010687702863740388,0.002544654247811058,0.050889209382892146,-0.00048444666612978174,4.2959391151191156e-08,1080.9067699049415
cc_align,bible,10,bible,gu,0.00010907671964938469,0.0025970270830290194,0.05193658625518573,-0.0004944256743369075,1.2533403374515965e-09,1103.1534663244909
cc_align,bible,10,bible,hi,0.00012404858662135298,0.002953494915787978,0.05906539792013766,-0.0005625494527403308,5.4807685210322555e-08,1254.5724397906827
cc_align,bible,10,bible,si,0.00015040995017259686,0.0035811373560173886,0.07161729407070895,-0.0006816312048536137,4.399164604379923e-08,1521.179294862866
cc_align,bible,10,bible,ta,0.00012094806475547774,0.0028796740614885864,0.05758909579740111,-0.0005481790463293826,5.238961872620997e-08,1223.2149399689033
cc_align,bible,10,gov,ka,3.05861151688008e-06,7.28230497687851e-05,0.0014563524288984827,-1.3570809652605972e-05,1.4817958056852046e-09,30.933247806548042
cc_align,bible,10,gov,gu,1.4043094836058356e-05,0.00033435458567293125,0.006686586118973095,-6.31993106914328e-05,1.7971234167696017e-09,142.02532606578288
cc_align,bible,10,gov,hi,9.21076037600337e-06,0.00021930066580866316,0.00438568228607616,-4.13787621380684e-05,1.5587426098560987e-09,93.15329664952432
cc_align,bible,10,gov,si,6.131193356773609e-06,0.00014597870596869095,0.002919354854153473,-2.740815254331244e-05,5.662935096148589e-10,62.00791696933334
cc_align,bible,10,gov,ta,4.790423410107406e-06,0.00011405609864457152,0.0022809538053038037,-2.1020948453351236e-05,1.146210594100121e-09,48.447765026120464
cc_align,bible,25,flores,ka,1.009762184994662e-05,0.00024041610091249434,0.004807957989197092,-4.550363159967852e-05,2.490253723151745e-10,102.12268705259693
cc_align,bible,25,flores,gu,2.149410256408862e-05,0.0005117569871550603,0.010234366984164934,-9.6594867034256e-05,9.565300959559198e-09,217.38126197969467
cc_align,bible,25,flores,hi,1.4922971137559658e-05,0.00035530371730084357,0.007105536818709019,-6.719091348186084e-05,3.1418610797502704e-09,150.92400514788437
cc_align,bible,25,flores,si,8.756851920589485e-06,0.00020849349400048933,0.00416955694858905,-3.911642759223533e-05,4.2017260242594145e-09,88.56253510938393
cc_align,bible,25,flores,ta,1.226937192282935e-05,0.00029212371629043493,0.005842034729233233,-5.49495719334363e-05,4.660411711578512e-09,124.08654461678545
cc_align,bible,25,bible,ka,0.00012578738396585296,0.00299489427477841,0.05989332443269189,-0.000570132859541536,1.106802909074244e-08,1272.1576813489858
cc_align,bible,25,bible,gu,0.0001253684014841586,0.002984918623004786,0.05969382416522466,-0.0005685368588832173,1.2157887255772202e-08,1267.9204596995394
cc_align,bible,25,bible,hi,0.00014117823440335122,0.003361337782735293,0.06722163683355957,-0.0006398526432935466,6.528513821347814e-08,1427.8138661789849
cc_align,bible,25,bible,si,0.00016802843105564194,0.004000618883186801,0.08000628275927596,-0.0007618630575087509,3.431020921765869e-08,1699.3650291105278
cc_align,bible,25,bible,ta,0.00013900648431065178,0.0033096301668855345,0.06618756008408781,-0.000630406702865316,5.724075547204476e-08,1405.8500124719114
cc_align,bible,25,gov,ka,4.3923963047126705e-06,0.0001045793539409884,0.0020914284808426793,-1.9824747136260447e-05,1.957110661419265e-09,44.422688910929246
cc_align,bible,25,gov,gu,1.6242785579432686e-05,0.0003867274144955981,0.007733962863371019,-7.317831761802305e-05,3.517045243005583e-09,164.27202505674137
cc_align,bible,25,gov,hi,1.0544545200425992e-05,0.0002510569708520444,0.005020758355442522,-4.763269979615961e-05,4.705015346459675e-09,106.64273791461855
cc_align,bible,25,gov,si,7.018054809016624e-06,0.00016709414055585776,0.003341630546941944,-3.153302190147039e-05,2.6894941574584825e-09,70.97730769383212
cc_align,bible,25,gov,ta,6.54319077055848e-06,0.0001557880567552264,0.003115530168008299,-2.8870887028789707e-05,7.220442728694094e-09,66.17441411933571
gov,bible,1,flores,ka,0.3907077833690873,0.3388894244370821,-0.030352894175394024,0.0007556873897808802,5.89316815417934e-10,129.59114231636147
