train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,rmse,kfold rmse
cc_align,100,gov,25,gov,38.738981866330995,2.8499352969829044,4.407922849430581,4.40816365543985
cc_align,100,gov,50,flores,10.898904468177122,-4.565035929376111,0.8131195835037673,1.0652315117244147
cc_align,100,gov,50,bible,2.3289326831467183,-1.6759909759202554,0.1437324832046432,0.18295685324212013
cc_align,100,gov,50,gov,42.525514431817214,2.764973124310417,5.535108117396432,5.6010751720268885
cc_align,100,bible,1,flores,0.009557835891688203,-1.6032501835964124,0.6142264989527517,0.6158415055582835
cc_align,100,bible,1,bible,18.600029882465204,3.202916347522456,2.6528234684829632,2.6575684450906634
cc_align,100,bible,1,gov,-0.6877526658201032,-1.6257930462568053,0.47840424641412993,0.4915300684188078
cc_align,100,bible,10,flores,1.54660621601205,-1.5002027251612844,0.949441580515789,0.9501514907775792
cc_align,100,bible,10,bible,27.927251717366065,3.087778035200471,3.5722716134798436,3.572932263912294
cc_align,100,bible,10,gov,0.8499346147315512,-0.686949004016086,0.9004259750445947,0.9054273866590344
cc_align,100,bible,25,flores,1.9887608987241046,-1.3269788676766274,1.152969134835312,1.1531371341993915
cc_align,100,bible,25,bible,31.874341724909055,3.1510397658690428,3.493872091779779,3.495409530380464
cc_align,100,bible,25,gov,1.2692388886053276,-0.35849927877878,1.021667350661661,1.0220913302731063
gov,25,bible,1,flores,-0.23905651303634207,-2.0200410139374436,0.7892809682168556,0.8024267908846399
gov,25,bible,1,bible,18.284886653497132,3.2480360420990793,2.2446875511990325,2.2686717587372676
gov,25,bible,1,gov,-0.058197554326807475,-1.9524301094952579,0.7793500542248485,0.7946992795093852
gov,25,bible,10,flores,1.1341208674779517,-2.0055670718824903,1.2643486260322305,1.296549066648012
gov,25,bible,10,bible,27.693608525932472,3.1444218660670944,3.569057927341792,3.578429150853028
gov,25,bible,10,gov,4.872736717549059,2.2367188652035286,1.9234836210000903,1.9235065750402844
gov,25,bible,25,flores,1.4931992386670905,-1.916768488987792,1.5149944245874467,1.5360655020099394
gov,25,bible,25,bible,31.581459586013462,3.2160703172345024,3.304080752543426,3.308909201834472
gov,25,bible,25,gov,5.3695257962526926,2.0941045634755686,2.2683985208392965,2.2700127827881325
gov,1,bible,1,flores,-0.38494207738787234,-1.7484879844125005,0.8636198413102635,0.8700665525855324
gov,1,bible,1,bible,16.541580858653262,3.2171960520613188,2.7499126472409365,2.755084895517761
