train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,rmse,loo rmse
gov,10,bible,10,flores,2.6820804254116095,1.101083405967389,0.0,0.0,0.0,1.2596045686554478,1.3617728611110786
gov,10,bible,10,bible,20.894192836874783,12.385700500991055,0.0,0.0,0.0,3.425148138693564,3.5364194153535333
gov,10,bible,10,gov,-11.356166070415606,31.446080644548754,0.0,0.0,0.0,1.4809816490409335,1.6493081540227141
gov,10,bible,25,flores,1.369812860847851,4.217424376933388,0.0,0.0,0.0,1.429181318646039,1.5272518312829255
gov,10,bible,25,bible,24.643203674743035,12.995224217672002,0.0,0.0,0.0,3.4617754946252925,3.4958292552073535
gov,10,bible,25,gov,-13.096063064260786,35.42356041403677,0.0,0.0,0.0,1.4723572082893646,1.5515536810130048
gov,50,bible,1,flores,9.228172786521524,-13.4395363358965,0.0,0.0,0.0,0.24823179730861425,0.39722297697718945
gov,50,bible,1,bible,19.66647326144316,0.669744524308849,0.0,0.0,0.0,2.3694659937606852,3.791642241045819
gov,50,bible,1,gov,7.759567361565623,-10.75837679085255,0.0,0.0,0.0,0.22352718503654131,0.35769028436727884
gov,50,bible,10,flores,9.855661045958076,-12.820315545853203,0.0,0.0,0.0,0.15960272669104425,0.25539780582140403
gov,50,bible,10,bible,22.49958465709236,13.693135992840263,0.0,0.0,0.0,3.27732110733327,5.244400904897939
gov,50,bible,10,gov,-0.6604695385339204,11.307718707998884,0.0,0.0,0.0,0.06273878513556425,0.1003951556578187
gov,50,bible,25,flores,8.672825078149168,-10.17403108025966,0.0,0.0,0.0,0.2596068502038481,0.41542544998286024
gov,50,bible,25,bible,27.76673091194603,11.562333179367316,0.0,0.0,0.0,3.0918280955586175,4.9475730799399695
gov,50,bible,25,gov,0.5196797085641585,10.309423903422076,0.0,0.0,0.0,0.3196222913998371,0.5114627060912941
bible,25,gov,1,flores,11.062475365470934,-9.212153327094315,0.0,0.0,0.0,1.8850183440125292,2.1520744292471874
bible,25,gov,1,bible,3.705292172181957,-0.7095235231777064,0.0,0.0,0.0,1.717078426548429,1.8156980152301367
bible,25,gov,1,gov,4.82701804944434,31.18241209319733,0.0,0.0,0.0,1.151595236066848,1.3959578341588723
bible,25,gov,10,flores,26.23014528982534,-25.394812814638254,0.0,0.0,0.0,3.2133252938288583,3.6859205471742027
bible,25,gov,10,bible,2.949656498215694,11.546962225984737,0.0,0.0,0.0,2.3196765833487785,2.456528582216356
bible,25,gov,10,gov,10.262063965521653,45.22390330221609,0.0,0.0,0.0,3.123207187999092,3.3577794979546747
bible,25,gov,25,flores,29.42016885156928,-27.586262524408433,0.0,0.0,0.0,3.250764795068398,3.668022495863904
bible,25,gov,25,bible,-1.9404134703935927,22.540951158684006,0.0,0.0,0.0,2.5675271129077704,2.6846626003050282
bible,25,gov,25,gov,8.278219355009885,55.5803207316761,0.0,0.0,0.0,3.684398717086996,3.9144252073624024
bible,25,gov,50,flores,51.10471603797751,-67.19254432196978,0.0,0.0,0.0,0.16309490472530586,0.2609859924036041
bible,25,gov,50,bible,16.936340784050966,-9.62058257547266,0.0,0.0,0.0,0.6576688325474904,1.0524079824418318
bible,25,gov,50,gov,4.0541433187630265,69.82356042146081,0.0,0.0,0.0,4.250638374010221,6.801912461600026
bible,1,gov,1,flores,4.464478125664034,0.8388548526016414,0.0,0.0,0.0,2.137255307730582,2.311323396176153
bible,1,gov,1,bible,0.5024465272271086,6.993268287204454,0.0,0.0,0.0,2.060938694541403,2.0873557096452204
