train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3",rmse,loo rmse
gov,50,bible,1,bible,39.485030412417544,-6.07847388521051,-13.8089428078407,-2.097613796239177,1.5513435037626904,2.8288756204931467
gov,50,bible,1,gov,1.2659930977337486,2.389745683121051,1.0107329954547997,-3.0664717763095983,0.5715476066494084,0.6784529830718253
gov,50,bible,10,flores,-0.20779328162000432,6.687019013817206,2.6324900155473587,-6.711715747744558,0.6123724356957952,1.0361751798913095
gov,50,bible,10,bible,48.71022496319109,-2.854418704298957,-12.57118196731563,-6.184624319034411,2.6536138880151308,4.904828034001225
gov,50,bible,10,gov,3.220645177499586,-0.07392439210876889,0.8129164646560264,2.040362749953156,0.4898979485566357,0.8843527172633446
gov,50,bible,25,flores,6.195003949745745,-3.9438822321013673,1.0056531827073791,-0.3567749500149273,0.5715476066494126,0.5719233838539185
gov,50,bible,25,bible,14.432901755129862,48.893447622873765,5.064470226893295,-37.09083059319719,2.4494897428049938,3.8162455231365557
gov,50,bible,25,gov,-0.9777958049314787,4.503189314131597,1.7523118254605183,1.7222946710548834,0.20412414523193284,0.23907916264492596
bible,25,gov,1,flores,15.102776703036168,5.6629673555571385,-17.052921343246485,0.8871772618005986,1.5301416056474437,1.6808727628819815
bible,25,gov,1,bible,9.935662136644376,3.000575240722646,-7.447277539464707,-3.3889598300246457,1.3990472948879655,1.3990472948879658
bible,25,gov,1,gov,13.339290003042288,17.039152407465362,15.634865746962058,-25.613308165557864,1.5777621282478993,1.809235558446754
bible,25,gov,10,flores,67.02811939383679,-47.797467446529254,-40.54777549349078,31.367123177223167,2.84716232999339,3.2722060996672107
bible,25,gov,10,bible,6.377201021665972,37.424782870352104,-25.214522446492545,-11.937461445525523,1.142949401038116,1.5057667269132244
bible,25,gov,10,gov,-2.7887076484270565,80.73558932188014,-8.948103626049587,-36.24877761802014,3.45499638205311,3.668514665220362
bible,25,gov,25,flores,26.519142654963723,-2.931878032457755,6.095848749105388,-17.58311327658483,2.9651306885194915,3.360357075201264
bible,25,gov,25,bible,14.943602063405876,-0.04319298160250895,33.66197164630767,-41.11238072811102,1.5585249436566653,2.197726093675255
bible,25,gov,25,gov,78.47987910307572,-50.49724196087054,5.621815097923333,2.9455471941567204,4.330627360248885,4.5390895170111225
bible,25,gov,50,flores,-0.7491280458884386,43.97120068445218,3.039984532356736,-34.96205751247457,2.7760883751542766,5.563751603042175
bible,25,gov,50,bible,21.189376461569783,-6.534881055828673,-0.3624244443287317,-3.7920709546472584,0.04082482904638879,0.16050402367124253
bible,25,gov,50,gov,78.37836711586712,-52.0229317285044,8.844288330850132,5.800281993303468,5.511351921266706,6.214277373746522
bible,1,gov,1,flores,17.130610969106282,-5.1818809046206935,6.615301345017729,-15.764031442450145,1.254325848148452,1.2795832654944197
bible,1,gov,1,bible,17.727192223952954,1.2115706710540497,-15.604501596070971,-0.8842612794700244,1.444414529604773,1.7456613058660764
bible,1,gov,1,gov,-13.7027032722686,73.97322181081478,11.303637404066604,-55.82415595045802,2.8653679228562288,3.9723209207645533
bible,1,gov,10,flores,34.908432369773216,1.3397461477749917,-29.454094692663425,1.7059162176610803,2.5353500744473156,2.729835092077504
bible,1,gov,10,bible,26.924964216523776,-11.286840301066583,3.5603017033619615,-14.198425618819154,1.6745148551147586,2.346912671753751
bible,1,gov,10,gov,9.199316919982337,54.205594857651526,12.105700829026986,-44.110615068646666,3.43064619763356,3.75144407559334
bible,1,gov,25,flores,37.23807342042403,-1.3603076187189136,-28.983811555698992,4.156045745879013,2.9533596688065846,3.2783125309547847
bible,1,gov,25,bible,7.217078342889966,31.13595227462576,-18.724411473241474,-14.228617926686141,1.7810109488716444,2.5115731398515946
bible,1,gov,25,gov,-4.568273336144678,81.79478012631206,6.337399787770658,-47.66390718600093,4.039966996564947,4.23335968867355
bible,1,gov,50,flores,-24.454622398867038,81.66118559260009,3.579505286302661,-49.98606831580284,2.6944387170615,6.641500019058067
