train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,rmse,loo rmse
cc_align,100,gov,50,flores,-7.117291614076601,-4.453963463540786,0.06042627154646407,0.08811745921623074
cc_align,100,gov,50,bible,-0.407975641463468,-2.144964125826815,0.2631306419686339,0.38474528809990427
cc_align,100,gov,50,gov,42.52536558611185,1.3751996625036265,5.629970075804633,5.694695756980689
cc_align,100,bible,1,flores,-3.640402360359932,-2.352241062390345,0.5711303657703017,0.5824736444498503
cc_align,100,bible,1,bible,18.535987186628365,1.3913285258410706,2.703403450038242,2.707824807006283
cc_align,100,bible,1,gov,-4.554194226369484,-2.4089527415827234,0.40142824828305507,0.4016849066278387
cc_align,100,bible,10,flores,-2.8801917443511886,-2.5154361798745812,0.8829850593934354,0.9065996852813889
cc_align,100,bible,10,bible,27.87544302233531,1.3892680749081596,3.6300023278010918,3.6305785947453595
cc_align,100,bible,10,gov,-2.3896609266276414,-2.0818668989409277,0.8643666433469152,0.8644669820805149
cc_align,100,bible,25,flores,-2.4902066916770944,-2.499962807795085,1.0923112141001556,1.1212510498028245
cc_align,100,bible,25,bible,31.815746837020797,1.3904431682383809,3.5475864324957214,3.5489866313830096
cc_align,100,bible,25,gov,-1.5367250034201014,-1.8901883643636537,1.000470955212537,1.005632195201021
gov,25,bible,1,flores,-6.066036386347221,-2.867473232089804,0.6286566074549909,0.6344898520444002
gov,25,bible,1,bible,18.215661314965498,1.3900802949759772,2.295666471615089,2.3185113907192205
gov,25,bible,1,gov,-5.754414305276277,-2.8344996341701947,0.6208989588434302,0.6231400996398891
gov,25,bible,10,flores,-6.357769680297111,-3.122920969752864,1.0343509424393948,1.0356976232763406
gov,25,bible,10,bible,27.635367345027856,1.388935605225081,3.6246732774941774,3.6336095235563928
gov,25,bible,10,gov,4.919423596797307,1.3300065061751385,1.947135404092859,1.9471410029268972
gov,25,bible,25,flores,-6.281999189161897,-3.151435431046279,1.3039996808969339,1.3049738437086937
gov,25,bible,25,bible,31.516046862514326,1.3915686331203931,3.3546543194840948,3.3591984323670188
gov,25,bible,25,gov,5.440372025267706,1.3334411023466282,2.285020498631598,2.2868211684773403
gov,1,bible,1,flores,-5.088321064305581,-2.614672176178486,0.7845289375626491,0.7879716837694608
gov,1,bible,1,bible,16.476259703758668,1.3923511018361294,2.7968079677802935,2.8016511277500196
gov,1,bible,1,gov,-0.6182468140911318,-1.67317133537686,1.241250209386745,1.2418350672665943
gov,1,bible,10,flores,-4.047068785891968,-2.70157458130195,1.1819379896465265,1.1904222987810704
gov,1,bible,10,bible,26.775751672391372,1.390404919769828,3.8172150258111115,3.8232459580753946
