train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,c5,rmse,kfold rmse
cc_align,25,bible,1,flores,2.0845904190358358,0.13829430742293794,1.6244775367932782,-3.4247645702446348,-6.565412959827526,0.609761129536654,6.111841144252912e-10,0.04649188633740481
cc_align,25,bible,1,bible,27.547579485694914,-2.3737288472404323,0.5289911334582023,0.7934976992181916,-3.1133311180381003,1.6425937980896066,5.536414497169586e-08,1.2503605182072626
cc_align,25,bible,1,gov,0.10921283695590318,0.7933230242325998,0.2364352543888959,-3.296288249946138,-6.892704996374546,-1.171548144720836,9.480782962592477e-11,0.14038504284982437
cc_align,25,bible,10,flores,0.8044803670578041,0.6286067483792604,0.6133023945020033,-2.338020073866917,-2.662349522963442,-1.1239087967204588,8.896053919120145e-10,0.1825432167015399
cc_align,25,bible,10,bible,36.919857778372766,-2.041566044928289,0.28557052106096065,0.9683923611197902,-1.9891204160111806,1.3217630884082439,2.315133098315056e-09,2.529354322662418
cc_align,25,bible,10,gov,1.31499857980862,0.6869525434173076,1.3874422773892714,-2.5164024778980765,-8.806072025014638,-0.23676445940023214,7.912439133321393e-10,0.06437074016243934
cc_align,25,bible,25,flores,1.108753978680595,0.4489407221508999,0.9069553853470218,-2.5962346535255247,-1.9156287561196392,-0.9374881697687613,8.820609567381919e-10,0.022635517483234016
cc_align,25,bible,25,bible,34.03620634088448,-2.204124914078502,0.2579291342404153,0.9556571816316849,-1.639709725840803,1.2256030045817372,1.3568550448932433e-07,18.816441008227894
cc_align,25,bible,25,gov,1.3506830191514188,0.5402955320801921,1.287752425285599,-2.4178256379062466,-6.730572449850458,-0.410979600343518,2.462709588862251e-10,0.09993247500920455
cc_align,100,gov,1,flores,6.317889028139109,3.988699231916895,-0.5337222264850365,-1.9274788653000616,-2.610853443322553,-1.843636535275946,6.61695906336969e-09,1.0596203318363107
cc_align,100,gov,1,bible,0.17998503678683092,0.44376163920100903,0.6888647102783233,-2.4523605852560606,-4.313831923511621,-1.7135608591721352,2.2325195961051343e-13,0.5735008270214386
cc_align,100,gov,1,gov,29.27079775729427,-1.221226697503117,0.3712915334158813,0.6284318938787217,-1.7734984365964657,0.6686350501853202,1.3465055607284109e-08,0.8867877349091297
cc_align,100,gov,10,flores,8.078331208001659,3.54745285151561,-0.5954749865241662,-1.5780813657341266,-1.3553442143917331,-2.0329615093268396,1.618803168813792e-09,3.144236071952703
cc_align,100,gov,10,bible,4.4211467105349405,-2.678849765191664,1.9883884143086514,-2.0090267849231607,-5.84994765705424,1.8636495988662254,1.1785715520853363e-09,0.3867207148540786
cc_align,100,gov,10,gov,17.518300671331254,-3.3280390731496787,0.36955834631337975,1.4140181413051574,-1.444159243009743,0.9743018421793045,8.56215188886699e-09,1.7386459277605362
cc_align,100,gov,25,flores,73.61839761253309,8.13056257782625,-0.916800590525834,-2.4875086303561242,-0.5605213366776179,-2.7133941445372853,2.7796817310498223e-08,3.4996164984804117
cc_align,100,gov,25,bible,5.13869212021312,-2.70908533095825,1.9942080541870735,-2.099734716630717,-4.799759733312044,1.870942840960989,3.2749779246493957e-09,0.624974921438104
cc_align,100,gov,25,gov,17.88650648513123,-3.4728318177313655,0.3387019558630728,1.563505164117908,-1.2671482648630858,0.9643727583954087,3.318627426152885e-08,17.448814868506993
cc_align,100,gov,50,flores,32.18901308429241,1.5405327723135434,-4.605107403323885,1.2345286140052294,14.91929035223242,2.0773035068601193,8.569489562823402e-09,1.6660012424794506
cc_align,100,gov,50,bible,8.161518430817893,13.332443971929104,-0.7757725895943345,-3.381151834185042,0.19859075918184851,-7.603910316448896,4.826010841863738e-10,0.600861974398129
cc_align,100,gov,50,gov,31.560507593880203,-0.18988542854819557,-1.1030285313193064,1.8790992927868733,3.1254484374431906,-0.17075978048656001,7.469716041025409e-13,4.479860713778015
cc_align,100,bible,1,flores,1.2011904784781187,-0.11775045872351406,1.2789533967560054,-3.152423953443124,-4.747249442065651,0.16635459208986952,1.3639606983727915e-09,0.004659460125626418
cc_align,100,bible,1,bible,30.360767300201925,-1.8979576709423922,0.36028410025688007,0.8247423041428584,-2.696575388493733,1.4522638712586697,3.302091534663072e-08,1.254090416483087
cc_align,100,bible,1,gov,0.11554216520175828,0.4197546735059316,0.3686317737361421,-3.2414233179938883,-5.3054072203499985,-1.297757775292498,1.2276347380076454e-09,0.17216327399871484
cc_align,100,bible,10,flores,1.5710163554389203,0.20803660621543751,0.8830497831550828,-2.1756173382400954,-2.2210692400341925,-0.6292381094446066,3.478756465919071e-10,0.054662844064831045
cc_align,100,bible,10,bible,16.56813463802341,-3.957451236383925,0.42917969460145144,1.3573646517520972,-2.0186759927897286,1.6372459770339984,3.3065472945106776e-09,2.2222926229167648
cc_align,100,bible,10,gov,2.7619070389657154,-0.4544362941092106,1.7339584488568893,-2.207897771522831,-7.2513164959729846,0.5668385490822555,6.463661677243534e-10,0.057296317927569784
cc_align,100,bible,25,flores,1.8264620599907582,-0.0058193708782293425,1.0720426655575561,-2.1525000650630304,-2.3766974049063405,-0.5611948254243101,7.983777006794334e-10,0.013274297675031826
cc_align,100,bible,25,bible,34.05211147952064,-2.1755573005267754,0.23651442768753694,0.9341498827567798,-1.6336719198215972,1.2189336066504903,2.1167928278536087e-07,4.018702907766638
cc_align,100,bible,25,gov,3.4404655406139075,-1.2978934546599248,2.1456988763474603,-2.232315194853531,-6.68164371898332,0.9300639062191957,1.3849231631125554e-09,0.2838840527112008
gov,25,bible,1,flores,0.04328965910547004,-0.01974276615518572,0.17477047136296475,-3.3920424924653827,-1.0704812513798017,-2.5379231692250714,3.0373456145046476e-10,0.498149138064127
gov,25,bible,1,bible,33.79028895969227,-0.3023006127693364,-0.0011689670424536172,0.6850809176179998,-1.9919245294012398,0.7030374477450171,6.995903271761271e-08,0.3045028270999923
gov,25,bible,1,gov,0.06632191402131718,0.10528519684051481,0.07817680732448684,-2.8446815340172056,-1.3192374918191783,-2.3925137796456064,5.010426336508977e-10,0.5007222544617225
gov,25,bible,10,flores,0.09303294838549961,0.17900075321029407,-0.2125726680846707,-1.7638280201640169,-0.9321043330739974,-2.7968871794185324,1.7144733164619177e-10,0.9997726205872571
gov,25,bible,10,bible,40.037792138094346,-1.4083762169911602,0.10188245338553031,0.9942091173034246,-1.771401664794013,1.0567075505186574,1.742763009758355e-08,1.7579344312515996
gov,25,bible,10,gov,4.488689673659981,-0.7890952909509701,1.1952273567433438,0.31698385750310426,-3.336482558872273,-0.4415040565429864,5.328184912502707e-10,0.13501386587538444
gov,25,bible,25,flores,0.14487743675623263,0.4445147610755138,0.10866404014887554,-2.129917205256933,-0.6668799845410633,-2.756880529867083,4.8677303962034667e-11,0.7650921570688242
gov,25,bible,25,bible,34.3952665555341,-1.9235780406367633,0.18732987423083416,0.8434755460585762,-1.5823229431082746,1.1250069741865472,5.368804370187418e-08,2.2540039226273687
gov,25,bible,25,gov,9.275644320012871,-1.5609225725474059,1.9382499696420565,-0.5651948144193522,-5.050305740412442,0.6330398404571767,5.980712799908029e-14,0.4059264155393421
gov,1,bible,1,flores,0.8754139628750013,0.5367870628260821,1.8731326013440945,-4.708562313521494,-8.047133681293161,-0.0474776881337245,6.581863588125623e-10,0.036839507147172275
gov,1,bible,1,bible,33.5892044574309,-2.01706314919842,0.5779610729996132,0.6636601281650416,-3.684230763658668,1.7114388433343384,2.0266507523346626e-08,1.118325304791591
gov,1,bible,1,gov,4.978292657724055,-2.4827264203422157,2.5197293074270766,-1.6157247508348724,-9.036422560470523,1.6741175569301137,1.559123125090198e-10,0.36002176704173866
gov,1,bible,10,flores,0.776282820743795,0.7854610016893772,0.5620847175700115,-1.6478047496796469,-4.436445941473768,-1.458952107415029,2.0407599512265478e-10,0.2758130522010285
