train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
gov,10,bible,25,gov,-10.80800438381118,32.15277694356216,0.0,0.0,0.0,0.0,0.0,2.0154208895481176,2.291625505846251
gov,50,bible,1,flores,10.558589897666337,-16.170254310330442,0.0,0.0,0.0,0.0,0.0,0.3794494658413722,0.7431635351262073
gov,50,bible,1,bible,25.877479054002443,-10.872312013659764,0.0,0.0,0.0,0.0,0.0,2.330788692454761,4.564921206918798
gov,50,bible,1,gov,8.759185028401303,-12.822681741376243,0.0,0.0,0.0,0.0,0.0,0.3280941866611469,0.6425824823527229
gov,50,bible,10,flores,11.331248199406796,-15.809323485800586,0.0,0.0,0.0,0.0,0.0,0.2862551182415472,0.5606393872092215
gov,50,bible,10,bible,29.190309631169058,1.5063271312383724,0.0,0.0,0.0,0.0,0.0,3.3530823452312704,6.567114608805616
gov,50,bible,10,gov,-2.169458453159371,14.330095228454674,0.0,0.0,0.0,0.0,0.0,0.17594235079680748,0.3445882239472695
gov,50,bible,25,flores,9.490266434680922,-11.888303272618485,0.0,0.0,0.0,0.0,0.0,0.35757293292175885,0.7003175819717236
gov,50,bible,25,bible,34.27767282731652,-0.3305458960024743,0.0,0.0,0.0,0.0,0.0,3.149575245012515,6.168539655023598
gov,50,bible,25,gov,-1.8588316529781943,14.930450863795071,0.0,0.0,0.0,0.0,0.0,0.20919534117975047,0.40971556882486343
bible,25,gov,1,flores,24.9275483694343,-35.79442509320446,0.0,0.0,0.0,0.0,0.0,1.5098175822386948,1.7050115762076226
bible,25,gov,1,bible,13.56757371720107,-19.441105328596922,0.0,0.0,0.0,0.0,0.0,1.5849947910591298,1.5997712643402586
bible,25,gov,1,gov,5.3612963047999305,31.11067401988432,0.0,0.0,0.0,0.0,0.0,1.6131731470868658,2.606247089293623
bible,25,gov,10,flores,51.42306871504937,-73.95643049717523,0.0,0.0,0.0,0.0,0.0,2.363094819815575,2.650081744510594
bible,25,gov,10,bible,10.493768146627845,-2.4165191496140874,0.0,0.0,0.0,0.0,0.0,2.38806274885714,2.6351664888549866
bible,25,gov,10,gov,3.3825081992274115,59.64139688771499,0.0,0.0,0.0,0.0,0.0,3.267539430561059,5.298247454393745
bible,25,gov,25,flores,54.7511657914506,-76.4760199047505,0.0,0.0,0.0,0.0,0.0,2.3819129998568194,2.54790040526846
bible,25,gov,25,bible,2.4246576624368923,14.940643104312274,0.0,0.0,0.0,0.0,0.0,2.7542227542312605,3.1399099329950717
bible,25,gov,25,gov,-2.171017355144791,77.08282270228239,0.0,0.0,0.0,0.0,0.0,3.782842087297866,6.18686211923995
