train set 1,train set 2,train set 2 size,test set,language to,c0,c1,rmse,kfold rmse
cc_align,gov,25,gov,ka,-0.4424683713834714,-1.204762450552475,34.350327509355736,34.350327509355736
cc_align,gov,25,gov,gu,-0.4424683713834714,-1.204762450552475,38.30000000000002,38.30000000000002
cc_align,gov,25,gov,hi,-0.4424683713834714,-1.204762450552475,35.70056021969405,35.70056021969405
cc_align,gov,25,gov,si,-0.4424683713834714,-1.204762450552475,47.051301788579686,47.051301788579686
cc_align,gov,25,gov,ta,-0.4424683713834714,-1.204762450552475,38.90205650091009,38.90205650091009
cc_align,gov,50,flores,hi,-0.4421753053984263,-1.204738465456679,21.223571801183716,21.223571801183716
cc_align,gov,50,flores,si,-0.4441132007534256,-1.2048947904971161,14.312581877495077,14.312581877495077
cc_align,gov,50,flores,ta,-0.4441132007534256,-1.2048947904971161,13.776247674893206,13.776247674893206
cc_align,gov,50,bible,hi,-0.4436295364105709,-1.2048562767222215,4.318564576337853,4.318564576337853
cc_align,gov,50,bible,si,-0.4436295364105709,-1.2048562767222215,3.1575306807694035,3.1575306807694035
cc_align,gov,50,bible,ta,-0.4436295364105709,-1.2048562767222215,3.9204591567825484,3.9204591567825484
cc_align,gov,50,gov,hi,-0.4424683713834714,-1.204762450552475,37.05003373817629,37.05003373817629
cc_align,gov,50,gov,si,-0.4424683713834714,-1.204762450552475,50.30039761274261,50.30039761274261
cc_align,gov,50,gov,ta,-0.4424683713834714,-1.204762450552475,41.15003037665952,41.15003037665952
cc_align,bible,1,flores,ka,-0.4436295364105709,-1.2048562767222215,1.060660171779837,1.060660171779837
cc_align,bible,1,flores,gu,-0.4436295364105709,-1.2048562767222215,2.801785145224398,2.801785145224398
cc_align,bible,1,flores,hi,-0.4436295364105709,-1.2048562767222215,2.4020824298928805,2.4020824298928805
cc_align,bible,1,flores,si,-0.44364744890992197,-1.204857709034696,1.2509996003196981,1.2509996003196981
cc_align,bible,1,flores,ta,-0.44364744890992197,-1.204857709034696,1.503329637837308,1.503329637837308
cc_align,bible,1,bible,ka,-0.4441132007534256,-1.2048947904971161,15.111915828246282,15.111915828246282
cc_align,bible,1,bible,gu,-0.4421753053984263,-1.204738465456679,17.00029411510285,17.00029411510285
cc_align,bible,1,bible,hi,-0.4421753053984263,-1.204738465456679,19.502307555774028,19.502307555774028
cc_align,bible,1,bible,si,-0.4421753053984263,-1.204738465456679,23.154373237036687,23.154373237036687
cc_align,bible,1,bible,ta,-0.4421753053984263,-1.204738465456679,18.05173121891639,18.05173121891639
cc_align,bible,1,gov,ka,-0.4436295364105709,-1.2048562767222215,0.7071067811865631,0.7071067811865631
cc_align,bible,1,gov,gu,-0.44364744890992197,-1.204857709034696,1.8110770276274997,1.8110770276274997
cc_align,bible,1,gov,hi,-0.44364744890992197,-1.204857709034696,1.7029386365926575,1.7029386365926575
cc_align,bible,1,gov,si,-0.4436295364105709,-1.2048562767222215,0.7516648189186625,0.7516648189186625
cc_align,bible,1,gov,ta,-0.4436295364105709,-1.2048562767222215,0.608276253029837,0.608276253029837
cc_align,bible,10,flores,ka,-0.4436295364105709,-1.2048562767222215,2.308679276123056,2.308679276123056
cc_align,bible,10,flores,gu,-0.4441132007534256,-1.2048947904971161,4.809365862564436,4.809365862564436
cc_align,bible,10,flores,hi,-0.4436295364105709,-1.2048562767222215,3.5057096285916383,3.5057096285916383
cc_align,bible,10,flores,si,-0.4436295364105709,-1.2048562767222215,2.209072203437469,2.209072203437469
cc_align,bible,10,flores,ta,-0.4436295364105709,-1.2048562767222215,2.7294688127912514,2.7294688127912514
cc_align,bible,10,bible,ka,-0.4421753053984263,-1.204738465456679,24.500816312931306,24.500816312931306
cc_align,bible,10,bible,gu,-0.4421753053984263,-1.204738465456679,25.000799987200427,25.000799987200427
cc_align,bible,10,bible,hi,-0.4421753053984263,-1.204738465456679,28.300176677893745,28.300176677893745
cc_align,bible,10,bible,si,-0.4424683713834714,-1.204762450552475,34.551772747574056,34.551772747574056
cc_align,bible,10,bible,ta,-0.4421753053984263,-1.204738465456679,27.75112610327734,27.75112610327734
cc_align,bible,10,gov,ka,-0.4436295364105709,-1.2048562767222215,0.8631338250816183,0.8631338250816183
cc_align,bible,10,gov,gu,-0.4436295364105709,-1.2048562767222215,3.4590461112856126,3.4590461112856126
cc_align,bible,10,gov,hi,-0.4436295364105709,-1.2048562767222215,2.308679276123056,2.308679276123056
cc_align,bible,10,gov,si,-0.44364744890992197,-1.204857709034696,1.612451549659726,1.612451549659726
cc_align,bible,10,gov,ta,-0.44364744890992197,-1.204857709034696,1.4916433890176433,1.4916433890176433
cc_align,bible,25,flores,ka,-0.4436295364105709,-1.2048562767222215,2.454587541726733,2.454587541726733
cc_align,bible,25,flores,gu,-0.4441132007534256,-1.2048947904971161,5.368891878218464,5.368891878218464
cc_align,bible,25,flores,hi,-0.4436295364105709,-1.2048562767222215,3.6585516259853605,3.6585516259853605
cc_align,bible,25,flores,si,-0.4436295364105709,-1.2048562767222215,2.3194827009486563,2.3194827009486563
cc_align,bible,25,flores,ta,-0.4436295364105709,-1.2048562767222215,3.169384798348112,3.169384798348112
cc_align,bible,25,bible,ka,-0.4421753053984263,-1.204738465456679,28.85108316857447,28.85108316857447
cc_align,bible,25,bible,gu,-0.4421753053984263,-1.204738465456679,28.60017482464051,28.60017482464051
cc_align,bible,25,bible,hi,-0.4424683713834714,-1.204762450552475,32.401388859121475,32.401388859121475
cc_align,bible,25,bible,si,-0.4424683713834714,-1.204762450552475,38.40052082980127,38.40052082980127
cc_align,bible,25,bible,ta,-0.4421753053984263,-1.204738465456679,31.70015772831424,31.70015772831424
cc_align,bible,25,gov,ka,-0.44364744890992197,-1.204857709034696,1.0511898020814494,1.0511898020814494
cc_align,bible,25,gov,gu,-0.4436295364105709,-1.2048562767222215,3.9579034854326776,3.9579034854326776
cc_align,bible,25,gov,hi,-0.4436295364105709,-1.2048562767222215,2.5019992006393785,2.5019992006393785
cc_align,bible,25,gov,si,-0.44364744890992197,-1.204857709034696,1.7564168070250463,1.7564168070250463
cc_align,bible,25,gov,ta,-0.44364744890992197,-1.204857709034696,1.941648783894774,1.941648783894774
gov,bible,1,flores,ka,0.9172745959907181,0.026449191489060466,0.2290848408717132,2.1030132227429004
gov,bible,1,flores,gu,3.150999172215181,0.004602107865095312,0.07223723833425441,0.2689832537992163
gov,bible,1,flores,hi,2.3143913873072455,0.004354496877586298,0.06005573549105331,0.10020996469379653
gov,bible,1,flores,si,0.9502791935109512,0.00447851850462928,0.0676938002773514,0.0780358382067427
gov,bible,1,flores,ta,1.070655752316658,0.006823734660551193,0.029885924287328225,0.03966454470137526
gov,bible,1,bible,ka,13.567631475488872,0.008623315062271044,0.9464359482321946,4.155051677100183
gov,bible,1,bible,gu,16.036398351541035,0.0031717753254194192,0.32027697261946575,1.1581234704962364
