train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
cc_align,100,gov,10,bible,14.494405510659202,-12.438188178874139,0.4937826682149353,0.748999332442965,0.8865664103720616
cc_align,100,gov,10,gov,58.50841840421822,-11.525171357723202,-13.583246940887028,3.4855893810564877,3.776947708524598
cc_align,100,gov,25,flores,18.64965340366923,32.43035375525001,-36.63000693756829,2.6896716032507575,2.9084933098312997
cc_align,100,gov,25,bible,3.880292109947801,8.723085948844902,-9.503378028326333,0.863326898302918,1.034085747572869
cc_align,100,gov,25,gov,70.54612451919155,-30.66033605147617,-2.9857884182634837,4.126176599872252,4.396513770401894
cc_align,100,gov,50,flores,47.95500277738792,-26.52722889323347,-6.827773884154425,2.9802125203862,5.609823644448371
cc_align,100,gov,50,bible,4.808689903658016,-2.1850123150105034,1.6763225478399906,0.4082482904638764,0.7424568577410504
cc_align,100,gov,50,gov,-14.51244231219438,145.94849263920545,-90.23605032701104,5.511351921262156,8.283002834216399
cc_align,100,bible,1,flores,8.485288084649254,-5.698570890716136,-1.3867171939331175,0.5416025603090643,0.5561774297230467
cc_align,100,bible,1,bible,28.76775148931477,10.34215393681378,-22.109905426128545,2.2229110043664217,2.370091418771283
cc_align,100,bible,1,gov,7.798357348711896,-6.176161900051722,-0.8721954397497943,0.4078398378448743,0.40906397217713697
cc_align,100,bible,10,flores,3.7512829820503066,8.362106320605657,-9.313389302655963,0.8748333174572932,0.8951722366859538
cc_align,100,bible,10,bible,-25.011109843256747,143.42901165238055,-92.06790180912381,3.295603131446506,3.456877209494595
cc_align,100,bible,10,gov,4.135475288402762,8.299181379135508,-11.03465662535513,0.6582805886043839,0.7052186422190881
cc_align,100,bible,25,flores,-0.8759903933664646,19.954867897596856,-16.028877504230394,1.056882207249229,1.094531863400973
cc_align,100,bible,25,bible,-22.923015398489913,144.71340858378582,-91.34039318529591,3.2634848449676452,3.3733267457116494
cc_align,100,bible,25,gov,14.796711689266942,-14.31527966586562,1.2185679394623055,0.836660026534076,0.9186947008165443
gov,25,bible,1,flores,13.594447821184946,-16.273464106499695,4.179016220964455,0.8058122196475664,0.8156796756897495
gov,25,bible,1,bible,-0.5000657833130582,68.66495748590073,-51.31489170258766,1.8172323278363187,1.8393839999563937
gov,25,bible,1,gov,8.773492519248219,-5.514410006819768,-1.6590825178867314,0.7728734264634368,0.7831560082980503
gov,25,bible,10,flores,17.405461914842427,-16.361528015769153,1.5060659199098252,1.164903429473885,1.1857487089057486
gov,25,bible,10,bible,-24.72770865383194,143.30848913221396,-92.53078047838198,3.265118680844576,3.319939758489609
gov,25,bible,10,gov,-1.560488811663049,33.35177452119251,-27.641285709529456,1.7071418609281863,1.8556220879622376
gov,25,bible,25,flores,12.502822242331717,-4.928181690073865,-4.774640527604429,1.4142135623730971,1.4198591479439162
gov,25,bible,25,bible,61.80487107778468,-34.789912273170934,3.135041223965991,3.0512838827833333,3.1227125814850987
gov,25,bible,25,gov,0.9752402822500681,31.88560333375925,-28.36084361600931,2.015936506936665,2.284732024648218
gov,1,bible,1,flores,-0.1805993606770624,15.614598659504132,-14.533999298827075,0.7155417527999327,0.7266360849833972
gov,1,bible,1,bible,4.4412183517833945,64.5685365800557,-54.50975493183911,2.0513410247933,2.316030973911702
gov,1,bible,1,gov,-5.478364371379685,33.96358216325338,-26.73521779187369,0.9414527780687414,1.0541979573748608
gov,1,bible,10,flores,5.555751425028912,12.04341375718886,-15.549165219169165,0.9782637681116483,0.9828529836304565
gov,1,bible,10,bible,53.72264881636345,-15.26447526426228,-13.808173272691585,3.2399074060843702,3.4038213819177043
gov,1,bible,10,gov,-11.868920932295186,68.630687112775,-52.261766180479796,2.343786110832931,2.899885085257408
gov,1,bible,25,flores,16.23115865209865,-11.130594423263595,-2.6505642288350533,1.190938005663323,1.1947105646696747
gov,1,bible,25,bible,-20.057126496686845,143.9076432899587,-94.60051679327188,3.2302218706047885,3.3946035605550984
gov,1,bible,25,gov,10.805472300585734,23.82918512205874,-29.734656943834352,2.5521232990068157,3.257197159112929
gov,10,bible,1,flores,14.240489192648758,-15.837329578242663,2.8968403855939084,0.7438637868140475,0.7545418035691172
gov,10,bible,1,bible,59.84558141336458,-59.57585323458664,16.180271825091282,1.6450937156689303,1.65991967677155
gov,10,bible,1,gov,14.60549709716747,-15.154197010976457,2.0986999598438407,0.7914122398177443,0.7920437698343024
gov,10,bible,10,flores,25.142699048342052,-33.35681152939986,10.714112481057807,1.0881176406988484,1.0954451150103328
