train set 1,train set 2,test set,language to,c0,c1,c2,rmse,kfold rmse
cc_align,bible,bible,ta,19.048979534265495,0.0053333338212213635,0.5375850353567817,2.138640692964912,2.376508667395435
cc_align,bible,gov,ka,0.5265306122448978,0.0026666666666666683,0.014455782312925172,0.041751614087500416,0.06234501049112866
cc_align,bible,gov,gu,1.6716553287981857,0.0062222222222222245,0.08384353741496602,0.3943729774610246,0.4260134135556011
cc_align,bible,gov,hi,1.5689342379218827,0.0035555555762306792,0.03129251706376455,0.14769583256448404,0.17325983227873404
cc_align,bible,gov,si,0.683219954648526,0.0035555555555555553,0.03843537414965986,0.23022713816444898,0.2452522629283204
cc_align,bible,gov,ta,0.22403628117913854,0.007555555555555553,0.051700680272108834,0.21407396945703833,0.21537692245338672
gov,bible,flores,ka,1.0975056656412177,0.03480725633820144,0.05521541960350755,0.3648411921508424,0.3989155268006108
gov,bible,flores,gu,3.496145122640576,0.016099773307169052,0.11848072568812279,0.5455920618088141,0.5588067741627434
gov,bible,flores,hi,2.5904907639385284,0.00739530380492946,0.04795918368209009,0.29321145806824256,0.3051489972701021
gov,bible,flores,si,1.2789481214787988,0.0013192931654148496,0.05008503404508559,0.36877816452908635,0.3701326859667915
gov,bible,flores,ta,1.2651695212806664,0.005543452003060733,0.05824829942634572,0.23446981213660847,0.2366608857366085
gov,bible,bible,ka,15.14671200943046,0.09274376444311686,0.5274376419941372,2.0395658048245524,2.1625740820790735
gov,bible,bible,gu,17.397052149555712,0.02233560105125492,0.4658730160172457,1.7034275467138307,1.7783844419378556
gov,bible,bible,hi,19.805537255082818,0.013229242667470616,0.5306972796031717,1.9828014021725175,2.0232317928865804
gov,bible,bible,si,23.80290461863758,0.020249334301621888,0.6155612244897959,2.878134129048222,2.931283732468874
gov,bible,bible,ta,17.86379835463859,0.015407891620673205,0.5636054423121345,2.079879149024692,2.1310859444364065
gov,bible,gov,ka,1.2222222206747586,0.04070294789391266,0.03151927442452486,0.36077343360558806,0.3759017128619157
gov,bible,gov,gu,5.793877537365708,-0.052040815902033,0.22755102083266723,1.4892890449507885,1.4997555459692675
gov,bible,gov,hi,3.237774121994469,-0.010687484870491273,0.11113945578231317,0.6225878344248685,0.6226158412553549
gov,bible,gov,si,2.9367433565224177,-0.01849431158674294,0.17312925114784197,1.3389854877457232,1.343572805899239
gov,bible,gov,ta,2.8650069752951994,-0.016763495273376373,0.2058673474255734,1.2179608382198748,1.2192738533247203
bible,gov,flores,ka,4.429251713173494,0.09149659825107466,0.3755102036932429,1.7897003131486433,1.9207265274670577
bible,gov,flores,gu,9.614058956836809,0.030498866215616923,0.40907029478704554,2.0509051397283766,2.1380060043425186
bible,gov,flores,hi,9.827869168797639,0.013180272223194709,0.20607601070958892,2.332735600492034,2.3686948255274083
bible,gov,flores,si,6.213510586861097,0.02159863953800865,0.13576615835710876,1.6288060896820065,1.6708008084509043
bible,gov,flores,ta,4.424774354185865,0.021428571428579582,0.1427015250544704,1.1477314937298473,1.1766734591347092
bible,gov,bible,ka,0.990702947845805,0.0831065759637188,0.09637188208616779,0.7600365654038092,0.7916223974081689
bible,gov,bible,gu,6.562131497946139,0.05283446778322248,0.19569161064037055,1.3729030139871738,1.3788186105145177
bible,gov,bible,hi,6.802252011912804,0.05331632653071095,0.09106753812641201,2.0219103690032303,2.028173905314064
bible,gov,bible,si,4.932711085920268,0.04039115720825316,0.147252481619737,2.5070633949696535,2.528387994006509
bible,gov,bible,ta,4.666552558533686,0.022619047246799126,0.11412490903308835,1.788931514127007,1.7946287694936336
