train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,rmse,kfold rmse
cc_align,25,bible,10,gov,-8.212241059668857,-3.7361740679622044,0.27091426804264385,0.5141695347384584,0.4911294772611341,0.22223716533226281
cc_align,25,bible,25,flores,-6.318745182879686,-3.585690078451044,0.4473561099972988,0.0032437223119611953,0.2765179755770172,0.29501573225830174
cc_align,25,bible,25,bible,29.730509417731326,-740.4047805183828,297.74243213356925,999.9999999999999,1.3065165510675094,1.5421485295783284
cc_align,25,bible,25,gov,-8.074165054360858,-3.7815937184035615,0.31451904104764455,0.45595393376699717,0.4769321586901569,0.20845743601908456
cc_align,100,gov,1,flores,-12.964220779513143,-4.624071064919057,0.14465181422855147,0.4682926468930088,1.1152967468471853,0.6949916412532476
cc_align,100,gov,1,bible,-7.682275067358605,-3.5707650060587643,0.26974909457523116,0.41005343261827054,0.26571525444784455,0.03848627934080101
cc_align,100,gov,1,gov,21.73482767370763,-21.757115498280694,6.836293310593975,29.440106970408575,1.0451270970279667,1.2335163977515318
cc_align,100,gov,10,flores,-17.09787261058054,-5.284819900560764,0.17745704431666254,0.5909635915005144,1.2075032160605752,2.44695653055916
cc_align,100,gov,10,bible,2.2904938348127164,9.771241240740997,10.77729890403807,-36.74863925164205,0.3411396434294804,0.546803955110471
cc_align,100,gov,10,gov,32.19891417672538,-28.351544776155112,8.538310284352356,39.334980885747306,0.7000359288960096,0.7767198720040892
cc_align,100,gov,25,flores,-14.128038283180834,-5.142203907561404,0.186535688588169,0.41276602761543096,0.9019238638222543,2.5369868978064423
cc_align,100,gov,25,bible,2.5680225817365936,6.569900508243376,8.156079607476038,-26.94049639254463,0.347787436684726,0.6823710773034808
cc_align,100,gov,25,gov,35.200002712220034,-51.423234914515945,17.82863846641937,70.1524940417298,0.44272169746000406,0.453838663150551
cc_align,100,gov,50,flores,8.741690898859597,-0.9006210888948117,-0.7556183832906999,-2.101208540643792,3.877898058752049e-09,1.5610744275564663
cc_align,100,gov,50,bible,3.548451050653644,3.323580252786168,2.168443975985926,-9.438786585986524,2.7893242499129683e-09,0.4123101216954145
cc_align,100,gov,50,gov,10.730370860704275,-6.469193455011345,0.10784399293317587,2.885970577202667,1.7106933824028113e-07,12.474650659014268
cc_align,100,bible,1,flores,-4.525804726833614,-2.849743271083082,0.3519024153372782,-0.1942988512324516,0.3572939147843017,0.15920670137144394
cc_align,100,bible,1,bible,17.531613000198384,-737.6991926205548,295.9976022361483,999.9999942058922,1.3192965323964219,1.361943002266385
