train set 1,train set 1 size,train set 2 size,language to,c0,c1,rmse,kfold rmse
bible,1,50,hi,45.48214964349556,-72.28643086684667,1.7476008404969636,4.375156100615904
bible,1,50,si,54.380608238394935,-84.76566246873328,5.9716669189287295,19.377589530662906
bible,1,50,ta,44.173915394786306,-67.89466599946772,4.753662708202572,15.121191029641595
bible,10,1,ka,26.192092221199886,-48.93925537892009,1.836886904532457,4.89406946028245
bible,10,1,gu,32.44504700800636,-52.93433527421082,2.5618925919021427,6.5221708901060795
bible,10,1,hi,27.93351976521499,-46.88654583741668,1.8955107157504438,5.324980565683236
bible,10,1,si,31.31967688546937,-52.29877162707582,2.444654315182349,8.490030156584027
bible,10,1,ta,27.762690718480115,-46.557931520300194,2.7545832389844844,9.421071425809473
bible,10,10,ka,39.18797250520527,-71.08549604613756,2.0766460479674373,5.2871963645705
bible,10,10,gu,43.32430699340725,-65.46482733849794,2.926382006296961,6.836480529864601
bible,10,10,hi,38.356048769775775,-56.580833924586535,3.0348046243645417,7.699871180029071
bible,10,10,si,46.114216158924165,-70.40475758125577,5.675588041834628,18.84263136902291
bible,10,10,ta,37.98822821265769,-58.26152459127962,5.0541401926709,16.296505575309425
bible,10,25,ka,44.04312013572691,-79.6643555402457,2.2677999637016732,5.7054428021127315
bible,10,25,gu,47.44933295807727,-72.46900183182633,2.887065284434586,6.669175447656204
bible,10,25,hi,41.85698078097764,-62.60526865812373,2.8406457052415037,7.155917068548593
bible,10,25,si,50.573184792117225,-75.83895780307988,6.438567244139174,21.065892997468495
bible,10,25,ta,41.847965771136494,-63.737099981272536,5.118327789897256,16.46543617099661
bible,10,50,hi,44.18275402227288,-65.96726516106956,2.325407828696374,5.821708259885854
bible,10,50,si,53.89839677064027,-81.6667545857416,6.509822451764862,21.123861913320226
bible,10,50,ta,44.45121030068783,-66.8040871684876,4.972029672309368,15.815806693711348
