train set 1 size,train set 2,train set 2 size,language to,c0,c1,rmse,kfold rmse
100,gov,25,ka,75.21788065694089,-127.79396969129905,9.383117842962223,12.168975497452088
100,gov,25,gu,75.24832753839794,-119.88929601942813,10.442688931864424,13.020969152198054
100,gov,25,hi,84.03030397384762,-157.25485370853332,9.735922546768263,12.202953651338483
100,gov,25,si,97.02013303409103,-182.57414907195374,10.568837905738034,17.553496798661605
100,gov,25,ta,75.09878397975916,-143.95733365928828,12.3213780061822,16.18360530778165
100,gov,50,hi,92.03677279900191,-173.4546722694033,9.329026665385403,11.692952513019678
100,gov,50,si,102.41714061383568,-191.57656298184583,11.233493041662319,18.65740452292774
100,gov,50,ta,81.36593597873882,-156.45838512115122,12.437045446344145,16.33552956474307
100,bible,1,ka,-35.96758231106589,92.91424164260745,1.4586095744795806,1.89167230650356
100,bible,1,gu,-31.92588330235954,87.51607459561014,2.6163230038808045,3.2622882236550312
100,bible,1,hi,-51.323061315653824,145.54868102605053,2.8054488089427982,3.5163346485429465
100,bible,1,si,-41.60885901028846,121.0883564834694,2.099452631783836,3.486924047813352
100,bible,1,ta,-45.28993824841496,133.0505771228204,1.6028876536929424,2.1053246744836414
100,bible,10,ka,-55.55098323561303,144.14186389947204,2.6283143457283065,3.4086636668172057
100,bible,10,gu,-44.30619845327267,124.03083483521652,3.76175455578939,4.690524667416583
100,bible,10,hi,-73.36471827269108,208.1797505729783,4.097859486189828,5.136235332549066
100,bible,10,si,-59.895158782182875,175.99798172399792,3.104478736385397,5.156144700740272
100,bible,10,ta,-66.75283191842216,198.2610669785402,2.371509394301862,3.114876599181793
100,bible,25,ka,-66.3199200145765,171.44356213155615,3.0080603504478556,3.901156663710937
100,bible,25,gu,-50.49301132338469,141.31477862382414,4.288083694037725,5.3468034781472005
100,bible,25,hi,-85.84850037147457,242.5513237623406,4.732381033064022,5.931541271979704
100,bible,25,si,-66.4699018515079,195.08250473844672,3.426506866380666,5.690992505140978
100,bible,25,ta,-75.48772018373641,224.5401515009357,2.5733461772012416,3.3799806183345713
1,gov,1,ka,-1.5362291456135413,17.13838942653855,3.4091178326507134,5.102362895912718
1,gov,1,gu,2.883268052506491,24.30262652023265,5.124681876081753,7.8464152602416455
1,gov,1,hi,3.330989967796515,20.457540726962996,5.0140419356221075,7.536469883870557
1,gov,1,si,-3.6820536739149743,32.83299314152834,6.350107298046625,10.359277004886408
1,gov,1,ta,-0.47667039474216844,24.391689065984668,6.101037696442552,9.871609123228414
1,gov,10,ka,-4.057885593713038,47.64073392300494,6.969063628646985,10.430467183475168
1,gov,10,gu,3.814050072380474,42.350070549214955,6.032118974494518,9.235794829328038
1,gov,10,hi,3.7826100990890814,39.62081371154585,6.523980703085967,9.806017724433117
1,gov,10,si,-3.809827453747578,56.519097938377975,11.198653711051907,18.268975692783744
1,gov,10,ta,0.33086440999845373,40.163839444849756,9.660449362496925,15.630813118384072
1,gov,25,ka,-5.119213129554998,57.83391604677529,7.499514838378885,11.224383587509713
1,gov,25,gu,3.0789207692656126,49.79878420893615,6.398118865366763,9.796178322084966
1,gov,25,hi,3.177748478476234,45.56549340989384,6.583952672829945,9.896159958912545
1,gov,25,si,-4.5546331808120115,64.36657124058765,12.372424198010753,20.183811622928165
1,gov,25,ta,-0.0034336064080409067,46.61867256207467,10.330581155575823,16.715100652975334
1,gov,50,hi,2.4238843270247026,50.577918571532095,6.332173351217898,9.517717317412103
1,gov,50,si,-5.537698483515944,70.39052649136697,12.987513687481464,21.187240715564066
1,gov,50,ta,0.010334465437477031,50.743689990049184,10.340753862369969,16.731560309544147
1,bible,1,ka,-7.620082982580029,33.93669491471763,3.140953800115509,8.368531579910242
1,bible,1,gu,-4.73672920153261,33.682753233785114,3.513504628701876,8.944823715094921
1,bible,1,hi,-8.104408550677181,43.013403271523806,4.304775524899596,12.093229449491684
1,bible,1,si,-7.087284800900901,37.523960342282884,6.363489094159983,22.09973572745478
1,bible,1,ta,-4.653502929271298,27.87503449134801,4.717568400081412,16.1347634096832
1,bible,10,ka,-13.510777139957943,61.07141103350339,5.342168136922369,14.233288868298875
1,bible,10,gu,-2.763412932440908,43.05827269273828,5.732500067972703,14.594033016467192
1,bible,10,hi,-11.082246760327859,63.36999828450315,6.941968331517874,19.501787115081456
1,bible,10,si,-7.386602374104851,53.442386849471674,10.130105668602868,35.18080330691089
1,bible,10,ta,-3.2735138050732435,37.58493853085562,7.996215378278335,27.348208305619668
1,bible,25,ka,-16.873421757950897,74.68590646463086,6.30150329418131,16.78927251853416
1,bible,25,gu,-5.165645778001511,54.22970705452032,6.61274186910131,16.83498857788396
1,bible,25,hi,-12.104533824106838,70.83821376327622,8.032655844665888,22.5658108436139
1,bible,25,si,-9.304120857106186,61.48616406713739,11.418721766732826,39.65603298066821
1,bible,25,ta,-4.325491411986216,45.0621496161796,9.327056299314087,31.8998759392023
10,gov,1,ka,-1.7435463709858823,27.513929969814416,4.679772645203362,7.071038657010318
10,gov,1,gu,2.4752235945863754,27.305197951026617,5.0858223678676,7.882872638858278
10,gov,1,hi,1.4144822888605986,25.330053679860633,4.684333763104466,7.119683289252632
10,gov,1,si,-4.808575455713588,38.47969977133304,6.423330872438733,10.66308696115864
10,gov,1,ta,-2.188949099140301,29.386548445919704,6.252262486811443,10.19852616279489
10,gov,10,ka,-1.4638660547967708,46.69049885726742,6.4839409630247005,9.797099277101317
10,gov,10,gu,6.217260303549672,39.49792149324801,5.998614264246145,9.297672792000649
10,gov,10,hi,6.755573059153799,34.559115998830045,6.379879036040205,9.696729664762705
