train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3",rmse,kfold rmse
cc_align,100,bible,1,flores,11.567525612255542,-1.9809397353035803,-4.321345263957386,3.0048571480104984,-3.9232725168184825,-0.14339295521839177,-0.2967821652512328,-7.496918304472777,-3.371116286016696,-5.7927024092751696,0.35777087639997235,0.7155417558901476
cc_align,100,bible,1,bible,5.806329518854307,12.280269188590797,11.203341996147156,8.127532382086812,-0.6762451655879678,-9.877012529477785,-10.168793762199027,37.96242059033451,26.10531169362481,15.578003009031482,0.26832815729997433,0.5366563100639486
cc_align,100,bible,1,gov,5.428584539437961,-0.0808335181377518,-2.291485866984498,-3.1852002512361253,2.6537874790554317,0.03979320688977467,-3.0366769538241605,-5.20038991795872,-4.674704776278587,-3.452207328502481,0.20124611797498107,0.4024922375809852
cc_align,100,bible,10,flores,8.591389683298779,2.8162241979719864,-3.52973002915093,-2.6741995899666082,5.13040868445543,-3.887514650951248,-0.09008521966423445,-11.846373445286652,-10.856094357288221,-7.579353930770778,0.4248529157249606,0.8497058314797379
cc_align,100,bible,10,bible,10.274932120904632,35.119142221192895,4.285353919149988,10.073592205605896,-16.4081284834088,-13.177446031315744,-4.2637350654375314,46.68405913341015,40.883233145452934,37.02074951993842,0.715541752799938,1.4310835093091399
cc_align,100,bible,10,gov,7.9378237777971705,1.1924709049024407,0.921681892150441,-1.875078066659412,1.0548036228298614,-0.14963340195613095,-3.0518451729739886,-9.236195473736945,-7.032984838771778,-2.9478787645148086,0.3354101966249687,0.6708203932466804
cc_align,100,bible,25,flores,6.952292926244004,1.115613171425144,-0.003180317772238197,-3.419906277440261,7.787749401777319,0.43651815191965865,-3.9177614301260104,-14.001215722211999,-12.227577524309629,-10.64724315147628,0.4919349550499538,0.9838699150747959
cc_align,100,bible,25,bible,10.417841020743872,14.925666171745279,15.063843105016844,12.641876310076212,-3.7845142917129486,-6.318712200499326,-13.361598865039863,49.16971328051827,41.999144462881674,33.5969914376665,0.7155417527999369,1.4310834991145642
cc_align,100,bible,25,gov,7.633886800602889,5.032315435788064,-2.4410972922175893,0.16801270649176245,-0.3887289872910799,-1.50408038240721,-0.8315565104187046,-6.591933261450521,-15.624845451493886,-1.947770657770058,0.4248529157249601,0.8497058310486836
gov,25,bible,1,flores,8.466257858927143,-1.185221236126735,-2.918086755967142,-5.609761954536552,4.2517452978040335,3.650475074868641,-5.050792560058859,-13.776273010643012,-8.815716063008805,-6.223583439760096,0.24596747752497694,0.4919349557282984
gov,25,bible,1,bible,7.637915037715247,9.108449069585633,7.6285745716157844,5.494634549511539,0.7576044183809512,-6.061887855189209,-11.343180019340618,37.994887473131115,11.345788808620366,8.954215251463227,0.6037383539249472,1.2074767128596544
gov,25,bible,1,gov,9.632090817176408,-2.1913822004979164,0.06029323802335169,-7.554880005146483,6.351872793436963,-5.1730194948559,0.1759646198975965,-12.320304507586822,-10.174227465122947,-5.56144880220975,0.2236067977499802,0.4472135962215728
gov,25,bible,10,flores,15.586810577766014,2.264778443732197,-6.80250055116905,-6.3538602806637305,2.14699938091411,2.7562623591881215,-4.200702951107327,-22.708761795708362,-20.306929862784326,7.9017478893256525,0.17888543820389408,0.3577708729395718
gov,25,bible,10,bible,7.048505476376999,-0.5417600574428465,36.28640413638304,2.886503554618469,6.642109382232996,-11.201010902392559,-14.893058540175948,45.40359003435665,40.493682250550506,39.867114051522435,1.028591269649912,2.057182539055151
gov,25,bible,10,gov,10.177711734623664,8.551687063542259,4.8786107581478495,3.9360891869389674,4.075920630431583,-5.417371724530184,0.2646073046232037,-25.816426714716915,-9.608959816251788,0.7910772914128231,0.2459674775249769,0.4919349568120325
gov,25,bible,25,flores,6.869188031621164,0.5550590405427119,-5.591869287621756,-4.839563568901531,17.964296718047567,-0.432225359709453,-7.0638629246226845,-19.885745075607737,-18.127937627257523,-22.769455711515906,0.26832815729997433,0.5366563182362701
gov,25,bible,25,bible,21.774298313214832,17.502821844427622,13.188176557486008,4.934268865302874,-18.678196837418117,1.2345724580322572,-12.976934119278882,31.133760484939945,59.582783662914935,36.23862263529015,0.6931810730249367,1.386362168755385
gov,25,bible,25,gov,9.485137387091712,6.813727701842723,14.931969892111407,-4.108675705111998,1.1798187165252656,3.078661104172272,-4.992352403623137,-19.842007253012326,-25.46596922886326,2.4815831250810683,0.6484597134749391,1.2969194204818555
gov,1,bible,1,flores,8.764068906270118,2.5447497435165634,-16.508402155247794,11.664278096274115,4.871278877834095,-1.4242788125131862,-3.3819739454214672,-13.389073225004129,-5.542183826715094,-0.6253974878250588,0.4024922359499633,0.8049844710096722
gov,1,bible,1,bible,4.268236423859798,14.408230646272338,11.42533316127507,6.619673532053338,0.4958802597366167,-7.295202544711376,-14.256455868929976,35.76571436190843,26.4614269357217,3.2737479481323066,0.044721359549994934,0.08944272798342102
gov,1,bible,1,gov,6.2748222736458565,1.6895550799140895,6.780816544623212,-4.009289449862595,3.4667635071101803,1.6258578254588374,-5.924683908631285,-10.22799048276972,-9.116907028946404,-7.135607420167505,0.4248529157249601,0.8497058314975158
gov,1,bible,10,flores,11.181211852967316,3.4381657991335066,-1.673053811621225,-5.0525339935020765,4.464279096511938,-1.862883506944963,-3.6622880110083305,-15.045096306063929,-12.941225195378742,-7.82715018933886,0.26832815729997617,0.5366563146072837
gov,1,bible,10,bible,12.525572338190507,17.391220324730867,14.160419829108214,14.870680111414755,-12.116596452385815,-3.5781090132106397,-16.45202817238455,47.65482461510751,40.978528180461005,34.8924494611509,0.6037383539249449,1.2074767073800652
