train set 1,train set 1 size,train set 1 jsd,train set 2,train set 2 size,train set 2 jsd,test set,language from,language to,geographic,genetic,syntactic,phonological,inventory,featural,sp-BLEU
cc_align,100,0.370302209,gov,25,0.3335072663,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,21.2
cc_align,100,0.5463004259,gov,25,0.5183596628,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,4.9
cc_align,100,0.4291804164,gov,25,0.1699216564,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,38.3
cc_align,100,0.3514577685,gov,25,0.3360772729,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,19.5
cc_align,100,0.4803553839,gov,25,0.5194551817,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,4.3
cc_align,100,0.3916207028,gov,25,0.1423219382,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,35.9
cc_align,100,0.3777435012,gov,25,0.4015966033,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,13.8
cc_align,100,0.5332205864,gov,25,0.586522217,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,2.9
cc_align,100,0.3321494652,gov,25,0.09733325817,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,47.4
cc_align,100,0.3391480635,gov,25,0.3965274658,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,12.7
cc_align,100,0.4753253314,gov,25,0.5831242241,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,4.0
cc_align,100,0.3615441627,gov,25,0.09733325817,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,39.3
cc_align,100,0.3514577685,gov,50,0.3349295165,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,22.2
cc_align,100,0.4803553839,gov,50,0.5193833641,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,4.7
cc_align,100,0.3916207028,gov,50,0.1423672441,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,37.0
cc_align,100,0.3777435012,gov,50,0.3989119558,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,14.9
cc_align,100,0.5332205864,gov,50,0.5858465013,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,3.7
cc_align,100,0.3321494652,gov,50,0.09518148614,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,50.5
cc_align,100,0.3391480635,gov,50,0.3933524284,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,14.6
cc_align,100,0.4753253314,gov,50,0.5825626895,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,4.3
cc_align,100,0.3615441627,gov,50,0.09518148614,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,41.2
,0,,bible,1,0.4848024265,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,2.0
,0,,bible,1,0.117220129,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,16.3
,0,,bible,1,0.5398374026,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,1.2
,0,,bible,10,0.4718502076,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,3.8
,0,,bible,10,0.09700942181,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,25.0
,0,,bible,10,0.5362167255,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,2.4
,0,,bible,25,0.4723009184,flores,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,2.2
,0,,bible,25,0.09179114967,bible,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,28.1
,0,,bible,25,0.5190528803,gov,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,1.0
,0,,bible,25,0.4723009184,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,4.2
,0,,bible,25,0.09179114967,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,28.5
,0,,bible,25,0.5365977886,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,2.9
,0,,bible,25,0.4723009184,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,2.8
,0,,bible,25,0.09179114967,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,32.3
,0,,bible,25,0.5230212782,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,1.8
,0,,bible,25,0.4621690423,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,1.9
,0,,bible,25,0.1226530963,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,38.5
,0,,bible,25,0.5617144003,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,0.9
,0,,bible,25,0.4723009184,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,2.0
,0,,bible,25,0.09179114967,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,31.4
,0,,bible,25,0.5695977832,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,0.8
cc_align,25,0.4680419004,bible,1,0.4848024265,flores,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,0.9
cc_align,25,0.5888050214,bible,1,0.117220129,bible,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,14.5
cc_align,25,0.4807672986,bible,1,0.5246111545,gov,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,0.6
cc_align,25,0.3728638479,bible,1,0.4848024265,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,2.7
cc_align,25,0.5461714514,bible,1,0.117220129,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,16.9
cc_align,25,0.430604198,bible,1,0.5398374026,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,1.6
cc_align,25,0.3777669327,bible,1,0.4848024265,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,2.3
cc_align,25,0.4580620436,bible,1,0.117220129,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,19.2
cc_align,25,0.4183255531,bible,1,0.5274890708,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,1.6
cc_align,25,0.4334583706,bible,1,0.4992116683,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,1.2
cc_align,25,0.5488759703,bible,1,0.1679884887,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,22.7
cc_align,25,0.3770364696,bible,1,0.5859953972,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,0.7
cc_align,25,0.3905099289,bible,1,0.4848024265,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,1.4
cc_align,25,0.4691599767,bible,1,0.117220129,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,17.8
cc_align,25,0.4172693543,bible,1,0.5758381128,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,0.5
cc_align,25,0.4680419004,bible,10,0.4718502076,flores,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,2.1
cc_align,25,0.5888050214,bible,10,0.09700942181,bible,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,24.3
cc_align,25,0.4807672986,bible,10,0.5189762099,gov,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,0.7
cc_align,25,0.3728638479,bible,10,0.4718502076,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,4.5
cc_align,25,0.5461714514,bible,10,0.09700942181,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,24.8
cc_align,25,0.430604198,bible,10,0.5362167255,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,3.2
cc_align,25,0.3777669327,bible,10,0.4718502076,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,3.3
cc_align,25,0.4580620436,bible,10,0.09700942181,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,28.2
cc_align,25,0.4183255531,bible,10,0.5229877659,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,2.1
cc_align,25,0.4334583706,bible,10,0.4644031797,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,2.0
cc_align,25,0.5488759703,bible,10,0.1234147074,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,34.2
cc_align,25,0.3770364696,bible,10,0.5641070657,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,1.4
cc_align,25,0.3905099289,bible,10,0.4718502076,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,2.3
cc_align,25,0.4691599767,bible,10,0.09700942181,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,27.5
cc_align,25,0.4172693543,bible,10,0.5699895743,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,1.1
cc_align,25,0.4680419004,bible,25,0.4723009184,flores,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,2.3
cc_align,25,0.5888050214,bible,25,0.09179114967,bible,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,28.6
cc_align,25,0.4807672986,bible,25,0.5190528803,gov,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,1.0
cc_align,25,0.3728638479,bible,25,0.4723009184,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,4.9
cc_align,25,0.5461714514,bible,25,0.09179114967,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,28.5
cc_align,25,0.430604198,bible,25,0.5365977886,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,3.7
cc_align,25,0.3777669327,bible,25,0.4723009184,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,3.4
cc_align,25,0.4580620436,bible,25,0.09179114967,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,32.1
cc_align,25,0.4183255531,bible,25,0.5230212782,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,2.4
cc_align,25,0.4334583706,bible,25,0.4621690423,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,2.0
cc_align,25,0.5488759703,bible,25,0.1226530963,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,38.2
cc_align,25,0.3770364696,bible,25,0.5617144003,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,1.6
cc_align,25,0.3905099289,bible,25,0.4723009184,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,2.8
cc_align,25,0.4691599767,bible,25,0.09179114967,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,31.6
