train set 1,train set 1 size,train set 1 jsd,train set 2,train set 2 size,train set 2 jsd,language from,language to,test set,sp-BLEU,geographic,genetic,syntactic,phonological,inventory,featural
cc_align,25,0.3770364696,gov,1,0.1709200509,en,si,gov,26.0,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.3905099289,gov,1,0.4427872698,en,ta,flores,4.4,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4691599767,gov,1,0.5974305094,en,ta,bible,0.8,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4172693543,gov,1,0.1709200509,en,ta,gov,22.4,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4680419004,gov,10,0.3383509698,en,ka,flores,13.1,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.5888050214,gov,10,0.5164396023,en,ka,bible,1.7,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.4807672986,gov,10,0.1463126272,en,ka,gov,30.8,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.3728638479,gov,10,0.3389213611,en,gu,flores,18.7,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.5461714514,gov,10,0.5207610711,en,gu,bible,3.9,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.430604198,gov,10,0.1740470334,en,gu,gov,34.8,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.3777669327,gov,10,0.3404868853,en,hi,flores,16.2,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4580620436,gov,10,0.520941588,en,hi,bible,3.6,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4183255531,gov,10,0.1471842026,en,hi,gov,32.7,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4334583706,gov,10,0.4086775824,en,si,flores,11.1,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.5488759703,gov,10,0.5893716743,en,si,bible,1.7,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.3770364696,gov,10,0.1047547461,en,si,gov,42.2,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.3905099289,gov,10,0.4017170656,en,ta,flores,9.1,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4691599767,gov,10,0.5862679524,en,ta,bible,2.6,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4172693543,gov,10,0.1047547461,en,ta,gov,34.8,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4680419004,gov,25,0.3343570052,en,ka,flores,15.3,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.5888050214,gov,25,0.5157717627,en,ka,bible,2.0,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.4807672986,gov,25,0.1431556172,en,ka,gov,34.2,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.3728638479,gov,25,0.3335072663,en,gu,flores,20.4,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.5461714514,gov,25,0.5183596628,en,gu,bible,4.7,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.430604198,gov,25,0.1699216564,en,gu,gov,38.3,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.3777669327,gov,25,0.3360772729,en,hi,flores,17.9,0.4,0.9,0.59,0.3433,0.4684,0.5
