,vars,splits,model,trial,mean,min,25%,50%,75%,max
20,size,test,hybrid_mult,test:size:hybrid_mult,11.425891037309533,5.204732237468758,9.420494847813558,13.636257458158356,14.53647043722992,15.436683416301484
21,size,lang,linear,lang:size:linear,13.484337397855276,11.364238589689904,12.23804424516505,12.78961834625226,14.010264466106328,17.019521342062838
22,size,lang,poly2,lang:size:poly2,13.385985891461711,10.88952019297274,12.212141033405056,12.85274804746944,13.942040293999442,17.03347988946188
23,size,lang,poly3,lang:size:poly3,13.267307586383629,11.099363185968429,12.23863497873067,12.535846388883858,13.690200043577192,16.772493334757996
24,size,lang,exp,lang:size:exp,13.307876018388594,11.18309521139471,12.033475527082969,12.613477688131074,13.82281752901905,16.88651413631517
25,size,lang,log,lang:size:log,13.155149088269969,11.02575421149152,11.765051734344103,12.496665341219792,13.748976258777509,16.73929789551692
26,size,lang,power,lang:size:power,13.179558183755825,10.95279733266103,11.995056282026844,12.50098573005015,13.697165114434812,16.751786459606294
27,size,lang,hybrid_mult,lang:size:hybrid_mult,13.38371786376555,11.244718693040603,12.120590375850258,12.694561351599758,13.928246303934296,16.930472594402843
28,size,train+test,linear,train+test:size:linear,3.7678762785267335,0.8305036160411924,1.26458567166484,3.6164874675165617,5.732618455967705,7.625165261587068
29,size,train+test,poly2,train+test:size:poly2,3.2493579997194266,0.95701158294206,1.1938190982238885,2.7968058347547844,5.051039382254942,6.483583995063016
30,size,train+test,poly3,train+test:size:poly3,3.3716365305099227,0.7365932769427171,1.092109569024379,2.609065727039265,4.943453445700285,7.9670542504315796
31,size,train+test,exp,train+test:size:exp,4.070431635193392,1.3576941236277535,2.245978316995754,3.745271295273286,5.557396714239247,7.666700585521552
32,size,train+test,log,train+test:size:log,3.088003637271472,1.3576941236277535,1.4917898260621738,2.9722712027461817,4.441504810098849,5.296239914791478
33,size,train+test,power,train+test:size:power,3.5327724095397826,1.3576941236277535,2.245978316995754,3.3451929986095505,4.851265866291985,5.915690757747891
34,size,train+test,hybrid_mult,train+test:size:hybrid_mult,3.58575223926592,0.7505553499465134,1.4508677945528736,3.4461617804211735,5.398020355503645,7.037224845012084
35,size,train+lang,linear,train+lang:size:linear,13.1779565380957,10.512665232601028,11.98955323435024,12.428129173312817,14.393182549413215,18.449885347085257
36,size,train+lang,poly2,train+lang:size:poly2,13.467673566740919,10.314892463195342,12.0359376376654,12.784498913714021,14.804705594076507,19.332549291353764
37,size,train+lang,poly3,train+lang:size:poly3,13.529188258874782,10.571105510956585,12.274053533470045,12.868086774540785,14.963526819639428,19.01855379258159
38,size,train+lang,exp,train+lang:size:exp,13.142187086671488,10.313072410752593,11.860716046012987,12.529173447963704,14.338188278265383,18.553123171990407
39,size,train+lang,log,train+lang:size:log,12.948561199562382,10.275896619656637,11.819611989774927,12.259871817225406,14.280254263680092,18.133305540531747
40,size,train+lang,power,train+lang:size:power,12.9126936542284,10.192291400977352,11.745749237910921,12.22360065378826,14.255209048931722,18.06175720685976
41,size,train+lang,hybrid_mult,train+lang:size:hybrid_mult,13.09720153300177,10.406239026403115,11.927882941991058,12.363968074854249,14.332337064477176,18.315799630512373
42,size,test+lang,linear,test+lang:size:linear,11.493181454467232,2.778366816759609,7.195251738536553,13.449047105307196,14.395181901384106,18.48614927320611
43,size,test+lang,poly2,test+lang:size:poly2,11.456682499859989,2.723093560637212,6.895145134613116,12.606945789539171,15.229352901470762,18.444383497606943
44,size,test+lang,poly3,test+lang:size:poly3,12.084421872251648,2.695274737142971,6.816553216955961,13.365598508966569,16.433468891353264,19.996076048549423
45,size,test+lang,exp,test+lang:size:exp,11.47637212192245,3.0175943069265045,6.88454906139195,13.29673089621003,14.190354251814721,18.53773123582471
46,size,test+lang,log,test+lang:size:log,11.295315253870335,2.966431338075209,6.392570581298974,13.31804439417183,14.93434429392043,18.86543774114168
47,size,test+lang,power,test+lang:size:power,11.383494884819159,2.630162847938684,6.731406804836947,13.445506892877486,14.506577858381867,18.262261708662678
48,size,test+lang,hybrid_mult,test+lang:size:hybrid_mult,11.361030457730863,2.590649701845152,6.935104855344801,13.474568634717237,14.34763302432321,18.46464827068767
49,size,train+test+lang,linear,train+test+lang:size:linear,5.660494867028632,0.3262002499178111,0.6773308283125951,3.7899748901664796,9.103316285137849,20.92693532371294
50,size,train+test+lang,poly2,train+test+lang:size:poly2,11.896328688705696,0.3732026328190945,1.1512476095485238,6.483569299451414,16.451961270339623,52.4831357705911
51,size,train+test+lang,poly3,train+test+lang:size:poly3,77.29240920531892,0.4126912875014995,3.170362289114915,28.26605326578936,114.79258793158088,507.86381089397247
52,size,train+test+lang,exp,train+test+lang:size:exp,118.26528398840696,0.6377042156569663,1.5566523132731256,4.965918823663067,26.231012258856754,2953.6870448968966
53,size,train+test+lang,log,train+test+lang:size:log,1.9238074776221314,0.6377042156569663,1.544341981161355,2.1143372986699047,2.3981224657033895,3.262858865068229
54,size,train+test+lang,power,train+test+lang:size:power,3.718593425626795,0.6377042156569663,1.5566523132731256,3.337124460693875,4.492061746329655,13.178684369612752
55,size,train+test+lang,hybrid_mult,train+test+lang:size:hybrid_mult,6.001053767771849,0.3696845502136472,0.6569807623546642,2.5070605862897475,9.095190302039752,34.409029485452464
56,jsd,none,linear,none:jsd:linear,13.901307062270712,13.901307062270712,13.901307062270712,13.901307062270712,13.901307062270712,13.901307062270712
57,jsd,none,poly2,none:jsd:poly2,13.9014875741226,13.9014875741226,13.9014875741226,13.9014875741226,13.9014875741226,13.9014875741226
58,jsd,none,poly3,none:jsd:poly3,13.903098089079766,13.903098089079766,13.903098089079766,13.903098089079766,13.903098089079766,13.903098089079766
59,jsd,none,exp,none:jsd:exp,10.37285998957136,10.37285998957136,10.37285998957136,10.37285998957136,10.37285998957136,10.37285998957136
60,jsd,none,log,none:jsd:log,7.510757116777083,7.510757116777083,7.510757116777083,7.510757116777083,7.510757116777083,7.510757116777083
61,jsd,none,power,none:jsd:power,6.818281444522472,6.818281444522472,6.818281444522472,6.818281444522472,6.818281444522472,6.818281444522472
62,jsd,none,hybrid_mult,none:jsd:hybrid_mult,7.383676134590596,7.383676134590596,7.383676134590596,7.383676134590596,7.383676134590596,7.383676134590596
63,jsd,size,linear,size:jsd:linear,13.796929309625636,8.45329960205698,12.34228994615476,14.450471861083543,15.905111224554416,17.83347391427848
64,jsd,size,poly2,size:jsd:poly2,13.821771388329955,8.453310882509237,12.373055381826923,14.495204780913634,15.943920787416666,17.843365108983313
65,jsd,size,poly3,size:jsd:poly3,13.849079367626363,8.453361030914294,12.39927154098485,14.510049735921479,15.959857562562993,17.922856967748203
66,jsd,size,exp,size:jsd:exp,9.467240333425025,8.453353982868332,9.181055712989016,9.5283720571122,9.814556677548211,10.35886323660737
67,jsd,size,log,size:jsd:log,6.226118805316993,4.989471528461123,5.867072028843542,6.3910395961510815,6.750086372624532,7.132924500504685
68,jsd,size,power,size:jsd:power,6.002508193652137,4.703551171666635,5.409907954935783,6.070296772525954,6.662897011242307,7.16588805789
69,jsd,size,hybrid_mult,size:jsd:hybrid_mult,6.919559579356505,4.843751243030994,6.579438679537044,7.256904896386249,7.597025796205711,8.320677281622526
70,jsd,lang,linear,lang:jsd:linear,13.554926195507159,11.585479525854744,11.953204961010632,12.851847715121012,14.06545191641294,17.318646859136464
71,jsd,lang,poly2,lang:jsd:poly2,13.618289129017654,11.65387326806257,12.037114183062547,12.96118476345742,14.211939142921771,17.227334287583968
72,jsd,lang,poly3,lang:jsd:poly3,13.591393318755413,11.58547290936144,12.037686079682658,12.98395675217461,14.136627175366812,17.213223677191554
73,jsd,lang,exp,lang:jsd:exp,9.970571649558538,9.571371649216696,9.834478523828825,9.955371918385604,10.128572961124862,10.363063195236704
74,jsd,lang,log,lang:jsd:log,7.098537106236618,6.695009145636889,6.699156067211496,7.0055021509102176,7.145274016138942,7.947744151285552
75,jsd,lang,power,lang:jsd:power,5.714549058018165,2.9989199327514857,4.312721622377442,6.5030300612905725,6.856008947995455,7.902064725675872
76,jsd,lang,hybrid_mult,lang:jsd:hybrid_mult,6.232492372746548,3.129109331089936,4.288929147462935,6.786050695701315,8.018094926820275,8.940277762658281
77,jsd,size+lang,linear,size+lang:jsd:linear,13.677783059192372,5.623394109404671,10.236353590501416,13.408598908803521,16.406286449568512,26.48789265067768
78,jsd,size+lang,poly2,size+lang:jsd:poly2,13.753848077470956,7.077664398184852,10.30267013726263,13.418615857854562,15.928079492117647,26.490915508286523
79,jsd,size+lang,poly3,size+lang:jsd:poly3,13.69235584829768,7.077664398184852,10.230910398906595,13.39640557297583,16.137489461326535,26.336371999639155
80,jsd,size+lang,exp,size+lang:jsd:exp,10.650483622228071,5.623410687259791,8.061954450034435,8.702216346639634,9.222451387049684,26.68882540870868
81,jsd,size+lang,log,size+lang:jsd:log,7.41041502829358,3.2474891576746105,5.150410365219317,6.04150495480875,7.18630884432582,20.644104583497604
82,jsd,size+lang,power,size+lang:jsd:power,72.16983874098071,1.0131333063751686,3.5669190793140717,5.656875413992303,7.459071433583618,665.0377264754037
83,jsd,size+lang,hybrid_mult,size+lang:jsd:hybrid_mult,33.28950711527178,1.6339466187561256,3.6997167993985527,6.560628113880012,8.518570919681828,255.66901909780069
84,fea,none,linear,none:fea:linear,13.904599909053182,13.904599909053182,13.904599909053182,13.904599909053182,13.904599909053182,13.904599909053182
85,fea,none,poly2,none:fea:poly2,13.96925742834761,13.96925742834761,13.96925742834761,13.96925742834761,13.96925742834761,13.96925742834761
86,fea,none,poly3,none:fea:poly3,13.90322378913491,13.90322378913491,13.90322378913491,13.90322378913491,13.90322378913491,13.90322378913491
87,fea,none,exp,none:fea:exp,13.744810525962276,13.744810525962276,13.744810525962276,13.744810525962276,13.744810525962276,13.744810525962276
88,fea,none,log,none:fea:log,13.85864038972348,13.85864038972348,13.85864038972348,13.85864038972348,13.85864038972348,13.85864038972348
89,fea,none,power,none:fea:power,13.992813443992723,13.992813443992723,13.992813443992723,13.992813443992723,13.992813443992723,13.992813443992723
90,fea,none,hybrid_mult,none:fea:hybrid_mult,14.486281827177852,14.486281827177852,14.486281827177852,14.486281827177852,14.486281827177852,14.486281827177852
91,fea,train,linear,train:fea:linear,13.523681193817614,12.245406501343776,12.884543847580694,13.523681193817614,14.162818540054534,14.801955886291452
92,fea,train,poly2,train:fea:poly2,13.583464278016969,12.363997117757757,12.973730697887362,13.583464278016969,14.193197858146576,14.80293143827618
93,fea,train,poly3,train:fea:poly3,13.581211331384107,12.294969185872391,12.938090258628248,13.581211331384107,14.224332404139965,14.867453476895822
94,fea,train,exp,train:fea:exp,13.300792503602159,12.035903885565396,12.668348194583778,13.300792503602159,13.933236812620539,14.56568112163892
95,fea,train,log,train:fea:log,13.47368473197379,12.196845497777309,12.83526511487555,13.47368473197379,14.112104349072032,14.750523966170274
96,fea,train,power,train:fea:power,13.576718948462034,12.212047830642534,12.894383389552283,13.576718948462034,14.259054507371783,14.941390066281532
97,fea,train,hybrid_mult,train:fea:hybrid_mult,14.0282575597132,12.489717280848394,13.258987420280796,14.0282575597132,14.797527699145602,15.566797838578005
98,fea,size,linear,size:fea:linear,13.871407384588945,8.454675474213273,12.399500016112205,14.500182680814124,15.972090049290863,18.030588702514255
99,fea,size,poly2,size:fea:poly2,13.881415021056059,8.449285126201872,12.42055873798836,14.513082886963618,15.973939170031315,18.050209184095124
100,fea,size,poly3,size:fea:poly3,13.895902557531333,8.537320582415505,12.41907096710546,14.520308497113081,15.997140087538954,18.005672653483664
101,fea,size,exp,size:fea:exp,13.674269762751802,8.10007234753901,12.245318804272245,14.447857917527763,15.87680887600732,17.701290868412674
102,fea,size,log,size:fea:log,13.858751961721048,8.451895073699122,12.398549177756232,14.498455678820637,15.958658462785452,17.9862014155438
103,fea,size,power,size:fea:power,13.930449720094241,8.330510336527798,12.46191355701727,14.669530949433318,16.13806711251029,18.052226644982536
104,fea,size,hybrid_mult,size:fea:hybrid_mult,14.428883156781804,8.56147966045067,12.864807727450973,15.066154930214719,16.63023035954555,19.02174310624712
105,fea,test,linear,test:fea:linear,12.343553114671666,6.276007067150628,9.847390251628735,13.41877343610684,15.377326138432185,17.33587884075753
106,fea,test,poly2,test:fea:poly2,12.345889845212847,6.232842410897735,9.829520834538817,13.4261992581799,15.402413562370405,17.37862786656091
107,fea,test,poly3,test:fea:poly3,12.361546801134239,6.184819469844837,9.861749604013056,13.538679738181274,15.449910466778938,17.3611411953766
108,fea,test,exp,test:fea:exp,12.105468325633174,5.998050820813667,9.49594250431637,12.993834187819072,15.159177078042926,17.32451996826678
109,fea,test,log,test:fea:log,12.301415626023342,6.23308836386052,9.79021412424639,13.34733988463226,15.335579257104751,17.323818629577243
110,fea,test,power,test:fea:power,12.323610514511381,5.94149989136112,9.588725758506442,13.235951625651763,15.514665826086514,17.793380026521266
111,fea,test,hybrid_mult,test:fea:hybrid_mult,12.47184616457705,6.114985904417256,9.88896020856093,13.662934512704604,15.650276294656948,17.637618076609293
112,fea,train+size,linear,train+size:fea:linear,13.192106991461484,8.133346532546668,10.729114472650835,14.298349871177502,15.21211744434515,18.030588702514255
113,fea,train+size,poly2,train+size:fea:poly2,13.207497248514674,8.092053984955845,10.76365911368704,14.364918987735898,15.20899017772089,18.050209184095124
114,fea,train+size,poly3,train+size:fea:poly3,13.22685235320809,8.17292893839901,10.914174795446227,14.295717898943892,15.142648695368807,18.005672653483664
115,fea,train+size,exp,train+size:fea:exp,12.926450145192527,7.815102568863325,10.402955786898548,14.257231353361115,14.952807325956735,17.701290868412674
116,fea,train+size,log,train+size:fea:log,13.172097899759667,8.093107866570609,10.709250593958831,14.296630456227929,15.205122186028838,17.9862014155438
117,fea,train+size,power,train+size:fea:power,13.20748771121274,7.948299005533406,10.63739206606583,14.398914858705057,15.389094668568273,18.052226644982536
118,fea,train+size,hybrid_mult,train+size:fea:hybrid_mult,13.72716996549187,8.091107586217166,10.958867155667866,14.74573482331282,16.156934965665133,19.02174310624712
119,fea,train+test,linear,train+test:fea:linear,4.898979183684957,1.3576941236277535,2.245978316995754,4.0377253423903126,7.103247146462147,10.18691323735104
120,fea,train+test,poly2,train+test:fea:poly2,5.001435470519622,1.3576941236277535,2.245978316995754,4.099135002316816,7.519053204038931,10.165363335021317
121,fea,train+test,poly3,train+test:fea:poly3,4.957528251294075,1.3576941236277535,2.245978316995754,4.026616370025498,7.26291751949823,10.340125775444054
122,fea,train+test,exp,train+test:fea:exp,4.748354354346524,1.3576941236277535,2.245978316995754,3.9445752390661877,7.015668440162724,9.524136007485168
123,fea,train+test,log,train+test:fea:log,4.908327671158889,1.3576941236277535,2.245978316995754,4.0272334724806,7.126545527281782,10.225928814314733
124,fea,train+test,power,train+test:fea:power,5.280908815753247,1.3576941236277535,2.245978316995754,3.7999849853743153,7.897590906935655,11.736353158484103
125,fea,train+test,hybrid_mult,train+test:fea:hybrid_mult,4.80991478519296,0.7505553499465134,1.4508677945528736,3.6732888752333857,7.942737794244328,10.68640740917046
126,fea,size+test,linear,size+test:fea:linear,9.274911621624598,2.335950912726264,5.126795420251335,7.892770015152036,14.073494542103441,18.825645801040785
127,fea,size+test,poly2,size+test:fea:poly2,9.301687186697011,2.335950912726264,5.139638782011255,7.9880301357445855,14.075997518381087,18.84679115426423
128,fea,size+test,poly3,size+test:fea:poly3,9.419459696820576,2.335950912726264,5.2719491028600105,8.02731703159023,14.256594516516833,18.81815835239445
129,fea,size+test,exp,size+test:fea:exp,9.32217166486037,2.335950912726264,5.36692460320776,7.570839618211716,13.732952391410617,19.067705345308
130,fea,size+test,log,size+test:fea:log,9.246884562395072,2.335950912726264,5.137921191927228,7.798345073158799,14.037942056100116,18.824139460490677
131,fea,size+test,power,size+test:fea:power,9.291545382696038,0.840116634482687,5.0074945752405196,8.479632874083578,14.168578862193517,19.17774971329257
132,fea,size+test,hybrid_mult,size+test:fea:hybrid_mult,9.246198788663623,1.457166199626293,4.947915670914428,7.985414130756455,14.873093284647535,18.827630040011574
133,fea,train+size+test,linear,train+size+test:fea:linear,3.1174296294049038,0.74565407529229,2.335950912726264,3.0642617361048425,4.213040573533793,5.59646221185055
134,fea,train+size+test,poly2,train+size+test:fea:poly2,3.234588970350616,0.74565407529229,2.335950912726264,3.012815930201975,4.261642248233483,5.854919141419271
135,fea,train+size+test,poly3,train+size+test:fea:poly3,3.3205490040292407,0.74565407529229,2.335950912726264,3.618604845451984,4.42343544138463,7.114185321539774
136,fea,train+size+test,exp,train+size+test:fea:exp,3.1402404041436722,0.74565407529229,2.271233993413313,2.7574124428937266,4.523561222426935,6.013105898902237
137,fea,train+size+test,log,train+size+test:fea:log,3.1046095472510182,0.74565407529229,2.335950912726264,2.874369496080836,4.0942773709127485,5.611296574085075
138,fea,train+size+test,power,train+size+test:fea:power,3.709270440237586,0.74565407529229,1.6792855623746663,2.754269413111216,6.045850078963777,8.14451275637796
139,fea,train+size+test,hybrid_mult,train+size+test:fea:hybrid_mult,3.1880576287507902,0.5253570214625478,1.457166199626293,2.3548053584986817,5.574224968759156,6.241487840383226
140,inv,none,linear,none:inv:linear,13.91420826324888,13.91420826324888,13.91420826324888,13.91420826324888,13.91420826324888,13.91420826324888
141,inv,none,poly2,none:inv:poly2,14.013452933749736,14.013452933749736,14.013452933749736,14.013452933749736,14.013452933749736,14.013452933749736
142,inv,none,poly3,none:inv:poly3,13.882576298218352,13.882576298218352,13.882576298218352,13.882576298218352,13.882576298218352,13.882576298218352
143,inv,none,exp,none:inv:exp,13.708528192677988,13.708528192677988,13.708528192677988,13.708528192677988,13.708528192677988,13.708528192677988
144,inv,none,log,none:inv:log,13.901319507109516,13.901319507109516,13.901319507109516,13.901319507109516,13.901319507109516,13.901319507109516
145,inv,none,power,none:inv:power,13.761950946902008,13.761950946902008,13.761950946902008,13.761950946902008,13.761950946902008,13.761950946902008
146,inv,none,hybrid_mult,none:inv:hybrid_mult,13.785225389868698,13.785225389868698,13.785225389868698,13.785225389868698,13.785225389868698,13.785225389868698
147,inv,train,linear,train:inv:linear,13.513644901687158,12.262118575601086,12.887881738644122,13.513644901687158,14.139408064730192,14.765171227773228
148,inv,train,poly2,train:inv:poly2,13.500982784004442,12.21904014255227,12.860011463278356,13.500982784004442,14.14195410473053,14.782925425456616
149,inv,train,poly3,train:inv:poly3,13.531384680786541,12.258501271670845,12.894942976228693,13.531384680786541,14.167826385344387,14.804268089902235
150,inv,train,exp,train:inv:exp,13.272467512633149,12.016952081918207,12.644709797275679,13.272467512633149,13.90022522799062,14.527982943348093
151,inv,train,log,train:inv:log,13.47653804297715,12.196404297985035,12.836471170481094,13.47653804297715,14.116604915473207,14.756671787969266
152,inv,train,power,train:inv:power,13.315519258961414,12.058490196760644,12.68700472786103,13.315519258961414,13.944033790061798,14.572548321162184
153,inv,train,hybrid_mult,train:inv:hybrid_mult,13.335003402445459,12.072407598078325,12.703705500261892,13.335003402445459,13.966301304629027,14.597599206812594
154,inv,size,linear,size:inv:linear,13.883311858786108,8.52624964698285,12.425450458209472,14.510401495486448,15.968262896063084,17.986194797188684
155,inv,size,poly2,size:inv:poly2,13.922040426672204,8.566457199596153,12.427301476405722,14.515812772948681,16.010551723215162,18.0900789611953
156,inv,size,poly3,size:inv:poly3,13.87421857025786,8.453272023563,12.398757112170706,14.529001284377948,16.0044627424651,17.985599688712536
157,inv,size,exp,size:inv:exp,13.618089023227043,8.145238211344681,12.21561621056046,14.387027542790088,15.78950035545667,17.553062795983315
158,inv,size,log,size:inv:log,13.870676808691854,8.455312761286683,12.399818377595636,14.517853674907832,15.98871210600405,17.991687123665073
159,inv,size,power,size:inv:power,13.63626847276964,8.148540544106488,12.231893719753115,14.4112771113141,15.815651864330622,17.573979124343868
160,inv,size,hybrid_mult,size:inv:hybrid_mult,13.677824271699926,8.239083721593158,12.270837828058093,14.437055140295293,15.844041583937127,17.598103084615964
161,inv,test,linear,test:inv:linear,12.33905748245016,6.233023420302381,9.843230667219299,13.453437914136217,15.39207451352405,17.330711112911885
162,inv,test,poly2,test:inv:poly2,12.417427665272406,6.474910645600034,9.94719169378407,13.419472741968107,15.388686175108592,17.357899608249078
163,inv,test,poly3,test:inv:poly3,12.345798558370825,6.233099083273062,9.856974103895864,13.480849124518665,15.402148295919709,17.32344746732075
164,inv,test,exp,test:inv:exp,12.0656837668121,5.963145490875938,9.458901129431581,12.954656767987224,15.11695290478018,17.279249041573134
165,inv,test,log,test:inv:log,12.299497905605714,6.233068703245727,9.785800802684568,13.33853290212341,15.332712506785708,17.326892111448004
166,inv,test,power,test:inv:power,12.113643545918377,5.814288976259869,9.373719903194452,12.933150830129035,15.263320830747631,17.593490831366225
167,inv,test,hybrid_mult,test:inv:hybrid_mult,12.1624575078202,5.804347473866581,9.374705010358246,12.945062546849911,15.34151252479701,17.737962502744107
168,inv,train+size,linear,train+size:inv:linear,13.181136318629529,8.099772033839589,10.724190411016115,14.30511448807346,15.214246044636372,17.986194797188684
169,inv,train+size,poly2,train+size:inv:poly2,13.222623719792722,8.092131045709241,10.726675832210661,14.38577781858367,15.268513274319751,18.0900789611953
170,inv,train+size,poly3,train+size:inv:poly3,13.186848420581322,8.092994742551001,10.726584598165125,14.290559056203914,15.242808130135774,17.985599688712536
171,inv,train+size,exp,train+size:inv:exp,12.890279980283454,7.829406666573028,10.429044058065553,14.19987633485222,14.895762974222254,17.553062795983315
172,inv,train+size,log,train+size:inv:log,13.179205889135877,8.093107951480604,10.726981076697268,14.299391235605722,15.208146379902612,17.991687123665073
173,inv,train+size,power,train+size:inv:power,12.889682253833708,7.844651052052396,10.413646251866233,14.161583782334876,14.910134657186173,17.573979124343868
174,inv,train+size,hybrid_mult,train+size:inv:hybrid_mult,12.903844224826583,7.852493400427773,10.424776823564008,14.169836605419084,14.928461418097616,17.598103084615964
175,inv,train+test,linear,train+test:inv:linear,4.906021997659358,1.3576941236277535,2.245978316995754,4.024122288142269,7.143998035087591,10.192973008694247
176,inv,train+test,poly2,train+test:inv:poly2,4.944482982834139,1.3576941236277535,2.245978316995754,4.027090203343312,7.303445317471933,10.207185322962417
177,inv,train+test,poly3,train+test:inv:poly3,4.958551291543711,1.3576941236277535,2.245978316995754,4.109706606897801,7.192238227224245,10.329716090810782
178,inv,train+test,exp,train+test:inv:exp,4.572678050378111,1.3576941236277535,2.245978316995754,3.8657764264799934,6.519875961546415,9.236199905278031
179,inv,train+test,log,train+test:inv:log,4.908704833979626,1.3576941236277535,2.245978316995754,4.027196752494995,7.12644080847409,10.228380376296888
180,inv,train+test,power,train+test:inv:power,4.940796654015631,1.3576941236277535,2.245978316995754,3.5564595232389142,7.171168787958432,10.9889436295419
181,inv,train+test,hybrid_mult,train+test:inv:hybrid_mult,4.833975552682579,0.7505553499465134,1.4508677945528736,3.1990402830379896,7.541685710526638,11.99783958199229
182,inv,size+test,linear,size+test:inv:linear,9.282522863387117,2.335950912726264,5.127750406291222,7.897792414980944,14.074366522627425,18.82596582087978
183,inv,size+test,poly2,size+test:inv:poly2,9.349532295084709,2.335950912726264,4.997923754302343,8.068042275014157,14.266189171038498,18.940436026653447
184,inv,size+test,poly3,size+test:inv:poly3,9.271062132201003,2.335950912726264,5.1007918132936725,7.875269859689521,14.090342374764148,18.831494288898
185,inv,size+test,exp,size+test:inv:exp,9.111189447188924,2.335950912726264,4.4618654704021585,7.557450664975716,13.648723746607963,18.94968027774533
186,inv,size+test,log,size+test:inv:log,9.251040648536664,2.335950912726264,4.9706453090875655,7.878013674273488,14.08668025395228,18.82459679150297
187,inv,size+test,power,size+test:inv:power,9.172093594573884,1.763287533600867,4.87855415109003,8.185115965365203,13.754932010874683,19.028124219418444
188,inv,size+test,hybrid_mult,size+test:inv:hybrid_mult,9.323877513603467,1.457166199626293,4.691208047803171,9.1435939815007,13.777087873007305,19.242027579588854
189,inv,train+size+test,linear,train+size+test:inv:linear,3.1170892858198767,0.74565407529229,2.335950912726264,2.92715067910412,4.221877576971152,5.597735526570399
190,inv,train+size+test,poly2,train+size+test:inv:poly2,3.169809029535358,0.74565407529229,2.335950912726264,2.990197239729908,4.442980575584304,5.409021929352574
191,inv,train+size+test,poly3,train+size+test:inv:poly3,3.228625828714923,0.74565407529229,2.335950912726264,3.5762358287120097,4.492279524412284,5.5617907359070005
192,inv,train+size+test,exp,train+size+test:inv:exp,2.754539997050066,0.74565407529229,2.335950912726264,2.758991506180638,3.373556110586073,4.691304245111903
193,inv,train+size+test,log,train+size+test:inv:log,3.1170528364490453,0.74565407529229,2.335950912726264,2.9879764999980885,4.321170056128741,5.388262063632191
194,inv,train+size+test,power,train+size+test:inv:power,3.2892557659091133,0.74565407529229,1.763287533600867,2.625938460546156,4.604330717669121,7.826090076867225
195,inv,train+size+test,hybrid_mult,train+size+test:inv:hybrid_mult,3.4017981241544413,0.5253570214625478,1.457166199626293,2.0644611887851028,4.864456538209812,10.83222735643798
196,pho,none,linear,none:pho:linear,13.91881758014916,13.91881758014916,13.91881758014916,13.91881758014916,13.91881758014916,13.91881758014916
197,pho,none,poly2,none:pho:poly2,13.981052584712131,13.981052584712131,13.981052584712131,13.981052584712131,13.981052584712131,13.981052584712131
