train set 1 size,train set 2,train set 2 size,language to,c0,"c1,1","c1,2",rmse,kfold rmse
1,gov,25,ta,47.415706426147906,-415.83229402621373,693.4367786407096,1.507288760336424e-14,16.69695653478938
1,gov,50,hi,59.6319533447512,-540.5733821360236,941.3102173978181,1.806798548806913e-12,9.387070285124345
1,gov,50,si,92.43151683456219,-659.5280164981706,999.9999999999999,0.14905888571806228,20.966344432298914
1,gov,50,ta,47.47616885514557,-412.1626599943464,694.1196181560434,2.1117986766852218e-14,16.670929630739774
1,bible,1,ka,18.517153422060442,-136.11950565495692,236.0175937889159,7.47623448370549e-15,6.911043638798775
1,bible,1,gu,31.38857446653906,-186.6319875327643,295.1940693024681,8.642033835718974e-14,7.62749772993741
1,bible,1,hi,28.082338072193746,-193.84932572868044,330.351828021458,5.799961932235256e-12,10.016887411827701
1,bible,1,si,27.832003065011016,-202.38161340426274,316.94321748772796,2.5063488890630037e-12,16.96148327519564
1,bible,1,ta,21.62016544100921,-153.0597314291832,241.01090824798888,5.285718846720614e-15,12.637473297223059
1,bible,10,ka,30.943716621301288,-228.16201069197786,401.42127185884266,3.726558580289357e-15,11.729534972596438
1,bible,10,gu,56.17725394208611,-316.3988506861939,481.6273781181866,4.657028848099206e-11,12.616838168978239
1,bible,10,hi,47.273234839326065,-318.5996430452108,532.7320588779263,1.2995459673519246e-14,16.27988277690984
1,bible,10,si,48.20178172947465,-328.46583618506867,504.5452638624743,1.1883017379208074e-14,27.633179902211083
1,bible,10,ta,41.260003779349795,-269.09707293997303,408.51026788125307,2.2574413497869078e-14,21.835173849626308
1,bible,25,ka,35.56411507423609,-266.4874358731988,473.5076474817082,1.7702298169016586e-11,13.734932786731243
1,bible,25,gu,62.82552930739875,-360.4230870454626,555.5826412296616,2.3766034758416147e-14,14.510108220310618
1,bible,25,hi,55.419470820632824,-371.144596978842,616.432268490445,5.321280928130997e-13,18.879181367258543
1,bible,25,si,53.35547016138452,-369.00329508396084,568.7267413828444,7.072971728542807e-15,30.88948095522451
1,bible,25,ta,47.61991007721954,-312.6621282090232,476.50020504825534,4.086995854508075e-11,25.385169420398743
10,gov,1,ka,28.860128881534447,-340.75234455030323,615.8925753418193,1.3338382860698762e-13,7.021256616414353
10,gov,1,gu,27.534310298190213,-267.8029553406217,482.96489927248604,1.2836316253066997e-11,7.828730232374145
10,gov,1,hi,29.81388735141506,-314.8288517119565,566.1008327436004,5.546672453247935e-15,7.082368848154829
10,gov,1,si,25.086349678778774,-239.749043955404,420.3354057892173,6.611810783060699e-15,10.573960012140585
10,gov,1,ta,19.58634807117332,-214.07858601414802,380.5501291108073,1.7199501139797033e-15,10.163380192541197
10,gov,10,ka,40.93828442013008,-463.5515500495893,853.3344247342503,1.653698220585054e-14,9.683997281131544
10,gov,10,gu,35.77389424679542,-308.57557375505445,569.6463471114453,1.0255800994045675e-14,9.188491652565858
10,gov,10,hi,45.434450302501425,-428.7239853800811,771.0071522982568,7.433156651226965e-14,9.638914183473057
10,gov,10,si,51.881147168485455,-433.4822541500345,736.4453065452144,1.0950198975068616e-14,18.77589692285974
10,gov,10,ta,35.285872705797274,-336.2282840248046,587.7738675801945,1.5349477418661813e-14,15.898606415590951
10,gov,25,ka,45.37453035314744,-511.99473173365226,945.0584600832217,9.996486426456711e-12,10.773274422224407
10,gov,25,gu,37.134108585908,-318.9007810163326,595.3006306056361,3.8043354313802074e-14,9.69172098613854
10,gov,25,hi,46.48819649061833,-439.02365735761606,797.085520465643,6.595769384714087e-12,9.946231915437163
10,gov,25,si,58.452597854230326,-479.0299960218247,811.9358328838407,9.992351455757138e-11,20.644210286315804
10,gov,25,ta,37.54252483354651,-353.63668819651673,623.0658842241626,7.1783720590229e-13,16.58316418698415
10,gov,50,hi,44.655689706331195,-414.75175762403103,762.8593952152067,5.0043685120518837e-14,9.545821653926655
10,gov,50,si,60.11330760545541,-496.9196244456095,847.857747463562,3.419967498102412e-14,21.829592778700068
10,gov,50,ta,38.26551616278279,-354.5257460548854,629.7874670750915,1.907183047828294e-12,16.77310168543797
10,bible,1,ka,12.711002123848468,-108.55365531352689,222.9029096451529,4.593694506022584e-15,7.399474214051496
10,bible,1,gu,17.668376703613053,-118.17397841708173,224.46093527562306,4.71376517910313e-15,6.130487695145788
10,bible,1,hi,15.176626483945824,-120.96502166492773,245.92471821974522,2.1142875386882457e-15,8.2897114134195
10,bible,1,si,11.857311896936347,-125.16177023707225,241.85208193428574,2.831975612491561e-15,15.267841072777308
10,bible,1,ta,9.193620381143289,-92.24471426356038,179.47246011735416,4.328446199157271e-15,11.134665886955366
10,bible,10,ka,18.90190922938131,-159.82398409880182,330.8371299898244,7.479709212993427e-12,10.95831829890962
10,bible,10,gu,34.679302815817444,-210.3579489219979,367.5141366139169,1.9001470049870437e-10,10.329488273426236
10,bible,10,hi,24.50468358355397,-190.26301344142365,378.47733991286253,1.3807294645527456e-15,12.852260352690914
10,bible,10,si,24.336982578222514,-214.14369060884894,391.448773336174,4.643511395058807e-15,25.35218347109163
10,bible,10,ta,19.689391948122427,-162.79991937291956,297.50356437044775,1.014145232628763e-13,18.56060090310802
10,bible,25,ka,21.218343417209237,-184.15687120075947,384.2660965794049,6.368720296112374e-15,12.697725789530672
10,bible,25,gu,36.36817653368126,-223.99309233696766,400.0068913566382,4.2285750773764915e-15,11.157107563058629
10,bible,25,hi,28.41330217081379,-222.7620089868634,441.9361467387892,1.1007919608838397e-13,15.015177396847069
10,bible,25,si,26.50941310188042,-236.51545476517072,434.3808834646119,1.0520353719651999e-13,28.06909484507078
10,bible,25,ta,23.261260462550972,-192.02302793683575,351.2136615160172,7.340857906261311e-11,22.262325849964192
50,bible,1,hi,13.734347645265162,-110.89299224615128,234.511579664788,2.7733362266239673e-15,7.8882729008076105
50,bible,1,si,10.4638614633273,-119.17135546738345,240.5255890961299,2.8608446115907795e-15,15.313255449067391
50,bible,1,ta,8.15360756933639,-85.4335580585475,174.190936267738,5.733167046599011e-16,10.92647376769145
50,bible,10,hi,22.68689230044869,-178.05834270392546,363.26357999613936,1.7024527284094393e-10,12.35692552029671
50,bible,10,si,21.35753365342028,-198.32180373260033,377.3966095484973,3.7331679119622444e-15,24.609908520891725
50,bible,10,ta,18.10474079372506,-155.02712855450886,292.61738682557734,9.701663853296368e-14,18.52593934651828
50,bible,25,hi,27.344001877159283,-215.1220056255616,433.30066803146644,5.807502958986477e-14,14.796287012417256
50,bible,25,si,22.890962689138355,-217.0536644621441,415.97453507394664,9.39959687352353e-15,27.112410951975928
50,bible,25,ta,20.8953479331393,-177.98608995780643,336.1805261258265,1.7397597428321955e-11,21.58939423279197
