train set 1 size,train set 2 size,language to,c0,c1,c2,rmse,kfold rmse
10,50,hi,21.698786756014794,2.1867771010485835,0.5,10.414938349484444,13.219808290326126
10,50,si,49.02167016564218,-92.42603368786523,0.5,14.070150378446062,21.934109298387956
10,50,ta,34.35517960262156,-54.40510671598694,0.5,12.585333650255919,17.907701136986066
50,1,hi,22.848541780131384,-53.65033618093828,0.5,6.165659745364277,8.109925221608457
50,1,si,13.13251319405445,-15.774553156511374,0.5,10.184543359741362,19.424253167818772
50,1,ta,13.588522831965415,-25.43441778714926,0.5,6.861107948740122,10.408553181367523
50,10,hi,34.31440985002324,-85.02917295832903,0.5,7.756255847987966,9.845110118596745
50,10,si,29.52295042160217,-57.3776888091523,0.5,12.849931755658499,20.031897332492047
50,10,ta,25.184024960841285,-52.80525510865122,0.5,8.68348094918763,12.355745657842741
50,25,hi,39.67743946855789,-99.94479166764557,0.5,8.597876221067896,10.84286855882668
50,25,si,32.339702593687534,-63.00926742323288,0.5,14.440648910335367,22.45821904326283
50,25,ta,29.171077148975705,-61.67476619354877,0.5,9.807819019412737,13.756143363934962
