train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,rmse,kfold rmse
cc_align,100,bible,10,gov,4.933599706954583,-4.913069282930889,-0.5,0.8919983897668148,0.8965222593146603
cc_align,100,bible,25,flores,9.700277286136833,-10.664131500067722,-0.5,1.1289571526557358,1.129226255692433
cc_align,100,bible,25,bible,-7.627306389109286,70.51342510672303,-0.5,2.8221099785426778,2.9168732926916174
cc_align,100,bible,25,gov,4.322090528881562,-3.3693039700703555,-0.5,1.0173064766970925,1.0174215862865428
gov,25,bible,1,flores,11.965472772239668,-17.652528286405953,-0.5,0.7229356231558595,0.7306950863815641
gov,25,bible,1,bible,-3.1345529974279,38.46448413263842,-0.5,1.976015035217102,2.129796243167739
gov,25,bible,1,gov,11.555976523249546,-16.71459479599956,-0.5,0.7173536357454796,0.7275633023785154
gov,25,bible,10,flores,14.82178854352616,-20.3030564882211,-0.5,1.1858625727258783,1.2123279661404582
gov,25,bible,10,bible,-12.61230185154668,71.9393667453699,-0.5,2.885118664815565,3.0458279166641535
gov,25,bible,10,gov,-4.209995856975598,16.845710690110415,-0.5,1.8785202597388038,1.8839521896175184
gov,25,bible,25,flores,15.219855241535734,-20.51219391263751,-0.5,1.4402621414286687,1.4549540585663088
gov,25,bible,25,bible,-2.671412332052702,61.203295960921174,-0.5,2.7891177485467975,2.8929569002212223
gov,25,bible,25,gov,-2.5396953452528073,14.808107754921696,-0.5,2.2403171038462557,2.2403555102716943
gov,1,bible,1,flores,9.012800876948873,-13.095377683994782,-0.5,0.834351485594139,0.8380876633072724
gov,1,bible,1,bible,-8.944053806879568,45.67307024760025,-0.5,2.4278675859955636,2.506209375865376
gov,1,bible,1,gov,2.6306876680796667,0.229059647497045,-0.5,1.2515393401069055,1.2552951722282006
gov,1,bible,10,flores,8.867145501617276,-10.215742177419598,-0.5,1.2624365598992207,1.285509656695075
gov,1,bible,10,bible,-14.095586334703782,73.04343364335044,-0.5,3.099610312462599,3.2353273820635535
gov,1,bible,10,gov,-11.219092413783661,31.103628633624318,-0.5,2.615283521282024,2.6157743718466273
gov,1,bible,25,flores,11.449281254072927,-14.222818334612088,-0.5,1.3620492980948478,1.3737874815323599
gov,1,bible,25,bible,-11.488788911231634,75.97186429802969,-0.5,2.842980350566782,2.9609931986808014
gov,1,bible,25,gov,-8.030266523336515,26.37615250735954,-0.5,2.9016521141234093,2.910730922604014
gov,10,bible,1,flores,11.371654763314849,-16.742366920953682,-0.5,0.7387243758479025,0.7553975828347481
gov,10,bible,1,bible,-0.8007860932261877,33.62197205820263,-0.5,1.9072254286858024,2.064387676779353
gov,10,bible,1,gov,10.525302842311785,-14.71175524687506,-0.5,0.8496039784519739,0.8608146578368447
gov,10,bible,10,flores,13.355792114849688,-17.847944516979677,-0.5,1.135652138260008,1.154356074003337
