model,pareto,rawlsian,all
log+poly2+poly3,False,False,4.339540291278631
log+poly2+exp,False,False,4.636213828312755
log+poly2+log,False,False,4.339534680600255
log+poly2+power,False,False,4.636213828312755
log+poly2+hmult,False,False,4.521824975483075
log+poly3+linear,False,False,4.193903403933212
log+poly3+poly2,False,False,4.193889389354925
log+poly3+poly3,True,True,4.193886736011571
log+poly3+exp,False,False,4.4498288113609
log+poly3+log,False,False,4.193890085851774
log+poly3+power,False,False,4.4498288113609
log+poly3+hmult,False,False,4.285779508552922
log+exp+linear,False,False,12.887647184650906
log+exp+poly2,False,False,12.887657275209213
log+exp+poly3,False,False,12.887656293272226
log+exp+exp,False,False,12.890383025885706
log+exp+log,False,False,12.887655965425996
log+exp+power,False,False,12.8871524087786
log+exp+hmult,False,False,12.887711543375582
log+log+linear,False,False,4.681483110858348
log+log+poly2,False,False,4.681482424414294
log+log+poly3,False,False,4.681484593455498
log+log+exp,False,False,4.950182391421174
log+log+power,False,False,4.950182391421174
log+log+hmult,False,False,4.681484161202028
log+power+linear,False,False,6.592151275144755
log+power+poly2,False,False,6.592985284498655
log+power+poly3,False,False,6.593073523045701
log+power+exp,False,False,6.661259102141569
log+power+log,False,False,6.593012817208196
log+power+power,False,False,6.572039221985793
log+power+hmult,False,False,6.753642064008568
log+hmult+linear,False,False,6.592853541049223
log+hmult+poly2,False,False,6.592917660816786
log+hmult+poly3,False,False,6.593170612421271
log+hmult+exp,False,False,6.811215176983872
log+hmult+log,False,False,6.592997865628716
log+hmult+power,False,False,6.811215176983872
log+hmult+hmult,False,False,6.754930837951369
power+linear+linear,False,False,4.466306978391602
power+linear+poly2,False,False,4.46618306951456
power+linear+poly3,False,False,4.464144974566635
power+linear+exp,False,False,4.802654163809352
power+linear+log,False,False,4.463455215786875
power+linear+power,False,False,4.802654163809352
power+linear+hmult,False,False,4.60207679302672
power+poly2+linear,False,False,4.338560773193568
power+poly2+poly2,False,False,4.336091649952573
power+poly2+poly3,False,False,4.335078283293423
power+poly2+exp,False,False,4.629533512546597
power+poly2+log,False,False,4.334909514383308
power+poly2+power,False,False,4.629533512546597
power+poly2+hmult,False,False,4.502101330555032
power+poly3+linear,False,False,4.293819913649255
power+poly3+poly2,False,False,4.297361758282504
power+poly3+poly3,False,False,4.304737055372919
power+poly3+exp,False,False,4.548806490994555
power+poly3+log,False,False,4.305264833474165
power+poly3+power,False,False,4.548806490994555
power+poly3+hmult,False,False,4.376192205080576
power+exp+linear,False,False,12.897704365517608
power+exp+poly2,False,False,12.895815907509128
power+exp+poly3,False,False,12.895538754465216
power+exp+exp,False,False,12.912546692312878
power+exp+log,False,False,12.895023981393056
power+exp+power,False,False,12.89565075401239
power+exp+hmult,False,False,12.89873149824884
power+log+linear,False,False,4.664637138922981
power+log+poly2,False,False,4.666107778772703
power+log+poly3,False,False,4.666291385908998
power+log+exp,False,False,4.97801015856988
power+log+log,False,False,4.666530925100463
power+log+power,False,False,4.97801015856988
power+log+hmult,False,False,5.417582634587891
power+power+linear,False,False,6.6162343231343685
power+power+poly2,False,False,6.611102208876844
power+power+poly3,False,False,6.595353497397956
power+power+exp,False,False,6.801363253853488
power+power+log,False,False,6.605833605191632
power+power+hmult,False,False,6.825799369795249
power+hmult+linear,False,False,6.623232781477069
power+hmult+poly2,False,False,6.612125297731238
power+hmult+poly3,False,False,6.5984960888587
power+hmult+exp,False,False,6.807600814336654
power+hmult+log,False,False,6.6164441925691095
power+hmult+power,False,False,6.807600814336654
power+hmult+hmult,False,False,6.8141861180869485
hmult+linear+linear,False,False,4.906897358020324
hmult+linear+poly2,False,False,4.482156079071633
hmult+linear+poly3,False,False,4.588066221296856
hmult+linear+exp,False,False,4.905259570547141
hmult+linear+log,False,False,4.697471291844112
hmult+linear+power,False,False,4.905259570547141
hmult+linear+hmult,False,False,4.495328870272582
hmult+poly2+linear,False,False,4.56314378493436
hmult+poly2+poly2,False,False,4.565595003028772
hmult+poly2+poly3,False,False,4.564412409934854
hmult+poly2+exp,False,False,4.943836866158982
hmult+poly2+log,False,False,4.455581385128743
hmult+poly2+power,False,False,4.943836866158982
hmult+poly2+hmult,False,False,4.366913087477013
hmult+poly3+linear,False,False,4.482201582982935
hmult+poly3+poly2,False,False,4.238070083083799
hmult+poly3+poly3,False,False,4.238071735444591
hmult+poly3+exp,False,False,4.6065920312415605
hmult+poly3+log,False,False,4.359284306101903
hmult+poly3+power,False,False,4.6065920312415605
hmult+poly3+hmult,False,False,4.294869137629389
hmult+exp+linear,False,False,12.92253605920764
hmult+exp+poly2,False,False,12.922499528518832
hmult+exp+poly3,False,False,12.922470453756542
hmult+exp+exp,False,False,12.92665321828289
hmult+exp+log,False,False,12.922519732477344
hmult+exp+power,False,False,12.921234987852571
hmult+exp+hmult,False,False,12.922546784020572
hmult+log+linear,False,False,4.664198290089581
hmult+log+poly2,False,False,4.664197031282368
hmult+log+poly3,False,False,4.664037551907859
hmult+log+exp,False,False,4.920760370489809
hmult+log+log,False,False,4.664346408364629
hmult+log+power,False,False,4.920760370489809
hmult+log+hmult,False,False,4.7871152510465365
hmult+power+linear,False,False,6.560112526615628
hmult+power+poly2,False,False,6.5603151693574775
hmult+power+poly3,False,False,6.560202225754773
hmult+power+exp,False,False,6.636792853605677
hmult+power+log,False,False,6.560730107742467
hmult+power+power,False,False,6.648550025519526
hmult+power+hmult,False,False,6.776658795818918
hmult+hmult+linear,False,False,6.559946122700714
hmult+hmult+poly2,False,False,6.560180475502522
hmult+hmult+poly3,False,False,6.560195046846745
hmult+hmult+exp,False,False,6.776599324311396
hmult+hmult+log,False,False,6.560229173747473
hmult+hmult+power,False,False,6.776599324311396
