train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2",rmse,kfold rmse
cc_align,25,bible,25,bible,-95.40590124106119,995.6770896083473,-872.264450182577,587.4941751988553,-628.8430437415942,-793.5090704698324,554.8831622037453,0.04147081170177993,1.9735849057445694
cc_align,25,bible,25,gov,28.31137974464145,172.3921830094774,-263.63232577405233,112.53407216798566,-106.42714228038741,-221.11893610899827,159.58304755524435,3.8464195964692687e-10,1.4108800326432474
cc_align,100,gov,1,flores,345.1984504411854,-788.7539685730562,595.217679415874,292.8068515279147,-291.92630915510955,-474.2126896885629,339.08027731318225,3.291790834881179e-09,8.038962134714476
cc_align,100,gov,1,bible,23.090808690941458,-28.890049384762975,-35.359436756354405,145.98181654670594,-147.1743660125658,-93.24847087085145,63.61780768866129,1.338843545159622e-09,1.832854216347627
cc_align,100,gov,1,gov,486.3300323274666,-447.40184071560975,351.72936006816343,-258.7940278881635,302.603276438575,-864.0595785612844,667.4517093371333,1.4017650932823708e-09,4.600935539876479
cc_align,100,gov,10,flores,356.3991485883399,-175.3048923135999,-221.81616217069464,-40.11396901831532,74.4406481029338,-627.8255323016981,481.16864338348233,2.1393883811575564e-09,9.364626935047001
cc_align,100,gov,10,bible,69.00269646932868,85.39313241895903,-122.84312241073357,127.8574446603353,-120.56043569704708,-310.2545285022948,216.07616322248464,1.9360077036720846e-09,2.9431374833939574
cc_align,100,gov,10,gov,47.58414012932146,396.9166666385124,-411.4364728393691,562.9368049484892,-588.3457482158632,-701.6615774727749,517.4725995561255,5.9182699137251395e-09,9.88152742971792
cc_align,100,gov,25,flores,205.93004918901622,-138.01615455802423,-198.14659761673755,243.9586902364632,-235.26909505845157,-399.370923160062,290.99464354465533,9.204970561736007e-10,5.8472726273578015
cc_align,100,gov,25,bible,183.00442110779346,-446.41491535009123,438.4433612636665,139.47971577583598,-132.73491951874882,-278.25638052685076,189.9851208359759,3.1594577320219033e-10,2.721342741075008
cc_align,100,gov,25,gov,-86.384231711357,974.491301603697,-997.0557105356531,484.0263886698852,-507.6885875989601,-677.1832174243885,510.7455181466637,2.879281458716971e-10,10.156154835874148
cc_align,100,gov,50,flores,30.462253736153915,13.045106615344137,3.81429553799723,-6.937591856684179,-12.31423042900359,-7.207945685800619,-20.46474321273542,5.745372557249757e-10,1.0122626238102261
cc_align,100,gov,50,bible,3.7589545050094326,0.7349363074686787,2.677362508896975,2.9293519651535935,-2.3198525180750433,2.5579891288170664,-6.412129564801289,9.697550749070903e-10,0.029709395183632626
cc_align,100,gov,50,gov,13.93520828123577,8.507991290639028,5.324131078593585,-8.205904476575075,-15.123895704026882,9.562333221785398,48.46100941989332,3.4399763815711638e-09,2.581025065027307
cc_align,100,bible,1,flores,35.513566973214225,49.88298661577246,-93.26311738694949,105.69425326436026,-103.19933515169079,-171.2916904810013,117.84786637025583,9.186154544557411e-10,1.7558428675562245
cc_align,100,bible,1,bible,-98.42757078893142,997.580875375481,-942.3411946911336,606.4714668124824,-641.0487313894192,-789.6496726788653,548.5532029683736,1.8586921379901754e-11,10.055641449529576
