train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
bible,25,gov,50,gov,32.70919149282476,18.75334642575709,13.059187105452837,5.5874860178795975,5.625166994196977
bible,1,gov,1,flores,17.01705133388492,-23.72446611432861,-21.107905550959373,1.4825653442597395,1.5093780912091657
bible,1,gov,1,bible,13.379889075930436,-17.98685294292911,-15.375924367241668,1.7451360978445205,1.7470610241838014
bible,1,gov,1,gov,29.31229007307028,-18.509192092905458,-21.772582724425217,3.7241777616005387,3.7575109965081364
bible,1,gov,10,flores,31.19913206254732,-38.869937031525765,-33.75723281210603,2.4855582873873625,2.6787227470485657
bible,1,gov,10,bible,16.247138293551945,-16.795806712386778,-15.648847553732898,2.45142815517812,2.457415082742197
bible,1,gov,10,gov,30.81305785508265,11.548829178684933,-8.641184540978964,4.002749055336845,4.003442962713963
bible,1,gov,25,flores,33.90849468456265,-39.36205232661473,-35.554210961980644,2.648301342370237,2.866007676193488
bible,1,gov,25,bible,15.851312785043454,-15.195157912755679,-14.364060124618565,2.5670021425779916,2.5760866090742542
bible,1,gov,25,gov,33.734236678510506,12.529452708766385,-3.2563610126334064,4.376014168167192,4.377086803901496
bible,1,gov,50,flores,11.573719527073337,4.980132796067039,2.2972542989573945,3.4883934538536345,3.8240141206901335
bible,1,gov,50,bible,7.078597080431078,4.23385199457316,3.0908049275395286,0.49216076867444714,0.5678901206858298
bible,1,gov,50,gov,32.56023286795779,18.602984418890404,12.907750194706436,5.492014404771917,5.5625986901812885
bible,10,gov,1,flores,17.230878160890754,-22.38845593852937,-20.159348659243992,1.3091982279242513,1.4093339640490563
bible,10,gov,1,bible,14.298117864370493,-21.75985420882791,-18.557351130245788,1.051427600931229,1.0535653752852738
bible,10,gov,1,gov,27.124239106516068,-9.28722830647729,-17.08967363069536,1.8432308591166768,1.8498648599289638
bible,10,gov,10,flores,31.147513920015964,-37.33966453342658,-32.72905066653344,2.477397828367499,2.6853098326531897
bible,10,gov,10,bible,18.085260552708334,-17.85151989079836,-16.997828727431163,2.36674882486503,2.3667605615176948
bible,10,gov,10,gov,31.23557489032143,12.584146473295634,-10.12020924778654,3.898974224074841,3.8990027214945715
bible,10,gov,25,flores,33.9601721031359,-38.66350393496205,-35.12356580719415,2.545093318524883,2.7478880779407446
bible,10,gov,25,bible,17.794550935003706,-15.468214470530365,-15.045407099809529,2.5400787389370434,2.540253705614637
bible,10,gov,25,gov,33.516995738429024,12.880024859193602,-0.9000355131576308,4.406075351148685,4.40623295899011
bible,10,gov,50,flores,11.65972825589294,5.064419227062126,2.3823169996962297,3.3717782977071455,3.6637556163095764
bible,10,gov,50,bible,8.614903727151486,4.981136713478671,2.662343254939843,0.8730533902472524,1.0688792311407214
bible,10,gov,50,gov,32.687911246351014,18.73186746178595,13.03755272250894,5.487764167268448,5.536516263736769
