train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,c5,rmse,kfold rmse
cc_align,25,bible,1,flores,13.56261619604367,19.44506362926039,1.8846196578157794,-7.248488785197198,-6.930986357449887,-2.5374242270041245,2.8487969410877273e-08,0.6589547930968589
cc_align,25,bible,1,bible,7.342630686430418,6.356006101004262,0.2057321385195172,-0.2201532237740158,-3.054136594249847,1.9801133300982259,6.098849836430592e-09,1.493679174320238
cc_align,25,bible,1,gov,17.259240637492027,28.33203532893364,-1.7528575764923369,-8.294081890848826,-7.077248166282425,-9.460704194525036,1.7562832699458024e-07,0.5469716001068942
cc_align,25,bible,10,flores,12.306088117424325,13.756429557946367,0.2654727110019866,-4.954537969125159,-2.802685460517578,-6.013064246738028,3.281941039516986e-08,0.9654784475225845
cc_align,25,bible,10,bible,6.823988091817137,5.189761300488842,-0.1648058062377444,0.23640333425700455,-1.8761926784743765,1.4841674912364815,3.050258569038547e-09,1.7443739662004456
cc_align,25,bible,10,gov,16.294726765215366,26.478244630881473,0.8785750393193188,-6.730490688276587,-9.107812977186322,-6.462268922122766,9.657608706256588e-08,0.9341184852878851
cc_align,25,bible,25,flores,10.914921059094391,11.249951805063555,1.0795466906191276,-5.001445015238499,-2.0856079945511494,-4.946353497359489,5.687981469753045e-08,0.8888602291291043
cc_align,25,bible,25,bible,6.907432051033055,5.164775023522778,-0.25046814711591936,0.1718584190076574,-1.5030397722558118,1.1360062802917554,2.5042192861932083e-08,2.1895034460888168
cc_align,25,bible,25,gov,14.25905282713152,21.3254886548946,1.0718839154932167,-5.967911572810986,-6.991979495794873,-5.81227633395846,4.5030149434968576e-08,0.9478280778841401
cc_align,100,gov,1,flores,13.499786018278321,17.743500210382074,-1.9724567596467244,-4.165209603609514,-2.708961674287512,-7.427005033345468,2.0894152746181994e-10,3.3214422264024335
cc_align,100,gov,1,bible,13.998082202926032,19.30944500630824,-0.07070720328255878,-5.887176334788118,-4.454412385042706,-9.115392992753673,6.212337238572096e-08,0.678538134659514
cc_align,100,gov,1,gov,7.44386304371891,5.871446443807443,0.10243760619592379,-0.11351825442292579,-1.6946649755727001,-0.13028669205438592,9.941359228809008e-09,2.739317582446628
cc_align,100,gov,10,flores,13.024242576455777,15.864228890606016,-2.0219317362087366,-3.5370652183599423,-1.3734681734131498,-7.767334019444448,8.975460389152723e-09,5.868308583283801
cc_align,100,gov,10,bible,11.189748991961261,12.740118214152838,2.759371247713862,-4.9931113945132255,-6.102669176188594,1.1738823361840305,3.830748802301375e-08,0.6996573932032244
cc_align,100,gov,10,gov,7.142345328689097,5.288215397488081,-0.21010280970781506,0.5425661382044232,-1.2266857951384298,-0.2036310160275682,1.0750758786427354e-09,3.3059200366596873
cc_align,100,gov,25,flores,11.880609217172417,14.2234613808547,-1.7965236957053359,-3.467396349906625,-0.7716269189168501,-7.0244694533929835,1.4904416932681504e-08,5.911294341928313
cc_align,100,gov,25,bible,9.756597604354429,10.326573940384433,2.9694515668664545,-4.816991404782443,-5.0437300750773195,1.7641833090162868,1.845563468891061e-08,0.5816711854862846
cc_align,100,gov,25,gov,6.93985598517132,4.9084549173617535,-0.26902043153398075,0.766863022511892,-1.028781442953693,-0.22463795603431988,2.942994428960846e-08,4.063859029721423
cc_align,100,gov,50,flores,4.505463841294316,0.7781931050046719,-2.448787238175441,-1.3376054851087225,2.6771816901576906,1.1267204130509516,9.009688659484472e-10,3.136975419259938
