train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,rmse,loo rmse
bible,1,gov,1,flores,2.2101153695557274,5.814454585919532,-1.0,2.114497018143748,2.566500380012383
bible,1,gov,1,bible,-1.245264785215548,11.898178025909928,-1.0,1.9888528825899063,2.1322551595516566
bible,1,gov,1,gov,1.307122285024876,38.177231307414274,-1.0,3.3830417915595623,3.5638296324164958
bible,1,gov,10,flores,15.540565696422206,-8.669638467313208,-1.0,3.4941006300782576,4.443286356942744
bible,1,gov,10,bible,-1.7078142533230527,19.928365999498777,-1.0,2.466680688884825,2.6358438134963538
bible,1,gov,10,gov,25.538204676329116,18.027279634705224,-1.0,3.8889175670376726,4.002983588192424
bible,1,gov,25,flores,19.642289060183966,-12.62131356007362,-1.0,3.626879892084401,4.584702814048896
bible,1,gov,25,bible,-2.1497300249086178,21.734816238650183,-1.0,2.496680632904988,2.6464081792088416
bible,1,gov,25,gov,29.170930098026616,18.98698757280002,-1.0,4.273956472348018,4.384933094934956
bible,1,gov,50,flores,40.8472252179386,-57.81716822868611,-1.0,1.6446885707773349,5.277038948935368
bible,1,gov,50,bible,11.55232451281185,-4.910114006153684,-1.0,0.4170858167768922,1.3382342345671243
bible,1,gov,50,gov,34.308316794374555,16.666701961601195,-1.0,5.419945460640132,17.39008046291711
bible,10,gov,1,flores,7.488316031707277,-3.665436850592604,-1.0,1.9510263260269454,2.4778711229219486
bible,10,gov,1,bible,-0.6199742738390511,8.45379221342288,-1.0,1.6820741884467127,1.9728144521825146
bible,10,gov,1,gov,10.999098212457538,21.67296184066409,-1.0,1.6587924565080232,1.9149810402230645
bible,10,gov,10,flores,18.034715165677856,-12.562148570901185,-1.0,3.389075782196277,4.280768909792343
bible,10,gov,10,bible,2.2147010616513616,14.172635777841776,-1.0,2.5362170933461794,2.762749785526119
bible,10,gov,10,gov,25.356713417313458,19.70408483933658,-1.0,3.7575651970654746,3.861770791962448
bible,10,gov,25,flores,19.756435722141745,-12.05088854762183,-1.0,3.529192038749281,4.43170983306959
