train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
cc_align,100,gov,10,gov,1219.2733106556725,-5075.62990818186,7126.807446559524,-3273.635400067791,0.7884389153735023,1.6755602708289115
cc_align,100,gov,25,flores,-735.1144629869896,3369.7190027311026,-4958.664269073445,2396.224509195788,2.52665211142683,5.369544570423128
cc_align,100,gov,25,bible,1362.3999262850118,-6048.444743957479,8927.303328583965,-4368.642598277029,0.6391760134037043,1.3583524521839871
cc_align,100,gov,25,gov,928.3660751643625,-3767.7770210578287,5186.841149061878,-2313.412120359698,0.603844676006666,1.283267643495688
cc_align,100,gov,50,flores,140.4692094218641,-226.99374491904362,-78.13363753203306,208.6650493468977,2.3207299813519782e-07,1.9497295656286564
cc_align,100,gov,50,bible,-0.27782458088027595,12.315216173711645,1.7404641493151334,-14.091063799327445,1.0289209905732654e-07,0.10062941117141207
cc_align,100,gov,50,gov,142.34852053621384,-240.9544843827673,-56.30466714574622,274.6837791692565,1.7979452669755942e-09,2.2238819954557782
cc_align,100,bible,1,flores,510.9925531050313,-2259.848502194315,3331.2354506022057,-1630.5675916271027,0.5491678622466097,1.1670705672007446
cc_align,100,bible,1,bible,1420.1908319730635,-5894.340412047061,8159.748818639587,-3715.9687598026194,0.2398986735739935,0.5098234988682475
cc_align,100,bible,1,gov,192.89391422734494,-837.0488089701084,1217.9109173916718,-590.4930609964074,0.4696815827546725,0.9981493617793487
cc_align,100,bible,10,flores,572.1757169284163,-2574.145816797958,3865.727457839177,-1925.882067521971,0.8088181194088099,1.718869377178507
cc_align,100,bible,10,bible,1386.5171467971493,-5645.400028494556,7688.355752995857,-3425.930748134755,0.18536953525329405,0.393940256688483
cc_align,100,bible,10,gov,631.4594466963483,-2809.401549228658,4158.381733449305,-2040.594937338541,0.8298987815455338,1.763669195364417
cc_align,100,bible,25,flores,717.4857717103024,-3239.7266426870665,4876.204117234776,-2433.1938799472464,0.957527238665827,2.034900318324638
cc_align,100,bible,25,bible,1189.4185033977808,-4729.23555236353,6311.581402306632,-2743.5189758624874,0.3860234734714162,0.820362342963924
cc_align,100,bible,25,gov,824.1389252520341,-3689.7488911935766,5490.826059370127,-2707.6935851116687,0.8832095979010208,1.876963306286534
gov,25,bible,1,flores,45.813034281026724,-224.43712307483597,384.89490716619343,-219.14077606112284,0.7178500782358403,1.5255475703337118
gov,25,bible,1,bible,370.2539532011033,-1276.6817301476992,1433.4267986001319,-471.5403531910037,0.31447474631545075,0.668309720397867
gov,25,bible,1,gov,31.22935241596128,-156.19010993997543,279.43668312189163,-164.96000127220438,0.7198436960047203,1.529784330365611
gov,25,bible,10,flores,-167.78758906498385,699.8167931832879,-930.4157673817217,400.5459970691765,1.1590672292691546,2.4632054087718243
gov,25,bible,10,bible,603.4239624383532,-2141.4212525615926,2494.866285518791,-876.9802189293538,0.19378703253294385,0.41182880076919703
gov,25,bible,10,gov,932.5181475567322,-4263.455459250834,6472.923248842636,-3245.1836801755885,1.5951895792897106,3.390035970892948
gov,25,bible,25,flores,-28.62193115654764,46.505636372176824,84.43490375540563,-120.01994797442825,1.3345425138986806,2.8361187808222197
gov,25,bible,25,bible,983.301009134,-3811.329491860971,4961.302252698081,-2088.256206253311,0.3424592329525005,0.7277812828849869
gov,25,bible,25,gov,1718.367842759048,-7762.88457826416,11642.335691341326,-5776.598056587618,1.8183270958853957,3.864239299963612
gov,1,bible,1,flores,552.2808005406472,-2450.2038405925655,3620.996048577574,-1777.0777627603036,0.8026157529524669,1.7056883448717317
gov,1,bible,1,bible,2040.7669766219178,-8657.134206569888,12224.215846209489,-5698.390666878493,0.6768701570684338,1.4384586068617131
gov,1,bible,1,gov,962.7217127417159,-4298.609973839147,6376.439981525656,-3133.1529712638703,1.1234774598975976,2.3875713902851037
gov,1,bible,10,flores,350.6426241813006,-1581.4953197379803,2387.8054270267958,-1195.7398721277902,1.2404732888316439,2.6362064576239623
gov,1,bible,10,bible,1619.3263517895898,-6622.498158111329,9039.070564502972,-4044.165773751869,0.1869570456754755,0.39731397327754364
gov,1,bible,10,gov,2836.692909523897,-12684.893967128251,18813.661222620467,-9234.207762344566,2.053130968408358,4.363235521487756
gov,1,bible,25,flores,383.8936084520774,-1754.9792136504757,2685.792215265428,-1362.9169379782538,1.295630047603786,2.753423494813837
