train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,c5,rmse,loo rmse
cc_align,100,gov,10,flores,1.9924832721300336,-0.16271974905101974,-0.3759490526085082,-1.056326224424964,-1.7285901909891783,-1.6253616295378226,1.6491726927126482e-09,0.210301483694384
cc_align,100,gov,10,bible,0.7497526672946373,-7.5777646489260855,3.146872560137882,-2.053473670953046,-8.576061488607957,3.5167012053698805,1.485559211562808e-09,0.5775409969181468
cc_align,100,gov,10,gov,10.782340455684679,-9.949060062007096,0.9607990718078161,2.894607151137629,-2.2992673154163668,2.3127110357188623,3.1351080862992503e-08,8.518754987561671
cc_align,100,gov,25,flores,0.8256823157955213,-1.5842313551832068,-0.16890227563381652,-0.8337256421835579,-0.9994563081606336,-1.091171431124935,2.4745054333585693e-09,0.6079097947488321
cc_align,100,gov,25,bible,-0.07912009484389798,-6.498106440560784,2.2480414130344433,-1.3730823484521029,-4.831456252504334,2.489997254718804,2.1586890877017684e-09,0.7782242663779946
cc_align,100,gov,25,gov,2.093734985600529,-10.210482881687323,0.8763088033591451,2.7973216541256467,-1.6063114326907495,2.1605529706780833,6.159420310324513e-09,9.463238489329722
cc_align,100,gov,50,flores,1.4088466152502492,-1.1637045898263423,-0.4581962268284952,-0.9847794287962096,0.35918480704346817,-1.2881253180139516,3.0526623404802257e-09,3.5841728244818487
cc_align,100,gov,50,bible,0.01896816037859542,-0.8451974293570745,1.2244541873031283,-1.4698122484824292,-3.5848226668948384,-1.1550911458838975,2.2953761548718954e-10,0.685486992879017
cc_align,100,gov,50,gov,-0.020630723452975352,-1.9318976210788565,0.03947766094145188,1.5271611330884922,-0.6043866243800642,-3.1982975581433295,2.4760302951622003e-08,7.147784011088893
cc_align,100,bible,1,flores,-3.3999613651704137,-3.3277840979168665,0.6644589330083971,-0.4925359517243794,-1.7383186811179112,0.5255710642910628,8.070999614380121e-10,0.14457108460636203
cc_align,100,bible,1,bible,4.633858986041555,-10.290593519134358,1.1185675735717835,2.409119962115825,-3.9309786525658628,3.3098434794409033,8.11367974130632e-10,4.491783452033799
cc_align,100,bible,1,gov,-1.3718031341989982,0.40930286001737914,0.19174889678160156,-1.5752033862285488,-2.45722846436178,-0.6326742958132692,5.878187111034562e-10,0.10762026687665206
cc_align,100,bible,10,flores,-0.08081792013540866,-0.9382554428933,0.9487928775582001,-1.9167285811343884,-2.2110555909933285,-0.4239402778842713,5.1833723516445906e-11,0.04072276493852511
cc_align,100,bible,10,bible,14.72738395519316,-11.979411123650667,1.2838753787324233,3.2772546768865087,-4.450509690499371,4.187804560672008,3.36424820367022e-08,7.021535179325709
cc_align,100,bible,10,gov,-7.225996315748133,-4.9170154709799645,0.6767118850299784,0.40780866724857867,-1.4901909149147292,0.734210093087307,1.2837841050175078e-08,0.3491552452305647
cc_align,100,bible,25,flores,1.9211375650450553,-0.4109074366984657,3.002756056696283,-5.703522914476077,-6.240614788223319,0.0934254948991391,5.769101389659626e-10,0.39375214070670844
cc_align,100,bible,25,bible,12.1718400272985,-10.804482976646762,0.9825250543348122,2.719022551002703,-2.9288077577928804,3.2698608225031913,5.231719185843657e-09,7.863847042119614
cc_align,100,bible,25,gov,0.6187125013889795,-6.991627430457595,3.9316731405536416,-2.543923855822986,-11.40563372322319,3.229697594799791,6.990228166168195e-10,0.5332747257248108
gov,25,bible,1,flores,-3.0779538149777435,-0.4097394777719046,0.10178840248016265,-1.0954118148215293,-0.5971419056558425,-0.9560273752235102,5.763073102278296e-10,0.41255150454523715
gov,25,bible,1,bible,2.2365398348609244,-8.503458654610922,0.6477187771825819,2.1992697038770728,-2.600349129331164,2.2256009735637967,6.105860785919128e-11,3.8226989739257866
gov,25,bible,1,gov,-1.2861718931892954,2.1256165865810166,-0.10264906561771764,-2.0162265235016066,-0.8439759481592679,-1.863017229461281,6.039480051975192e-10,0.4001990827144561
gov,25,bible,10,flores,-2.909427244489598,0.25745770499411225,-0.09852006021596842,-0.9161336095251023,-0.5276622272484992,-1.570955207620459,1.103595319955959e-09,0.8228104523557386
gov,25,bible,10,bible,10.548819602948189,-10.368936099364673,0.8348984278527259,2.9292742516283155,-3.1688158335994063,3.146755137495072,6.487411096342482e-09,6.540035835857445
gov,25,bible,10,gov,0.761522485026293,-4.5325869769499105,1.7754336360281773,0.9690094291654591,-4.364914712562771,0.3083625369391216,2.8513349126704956e-09,0.5682931397983826
gov,25,bible,25,flores,-3.3818298770440167,-0.322346880633398,0.09477290044406227,-0.8915135693934094,-0.41439893080222556,-1.4344238474971462,1.0869587175142063e-09,0.8351609799288588
