train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
cc_align,25,bible,25,flores,200.33888977402887,-999.9999999999756,960.7725640956363,173.61428790688095,-121.31231392498889,0.7508184055246538,6.134916677457201
cc_align,25,bible,25,bible,518.0286534633378,-893.2368930337576,999.9999999999999,-869.9357896077937,649.9988702329738,0.10063228425106853,0.9133871881067792
cc_align,25,bible,25,gov,228.42670173916983,-999.9999999986429,950.1220075351588,90.24226522238884,-56.8820040351852,0.7672942219936585,6.268448165630418
cc_align,100,gov,1,flores,307.80271687461436,-999.9999999999271,824.3342204542527,-46.18037990392922,48.60804817717119,1.235028105000005,9.87829475992955
cc_align,100,gov,1,bible,223.882253107683,-999.9999999721309,960.0246913170447,97.32911883042132,-63.63933440491911,0.5136623841003908,4.236433345022567
cc_align,100,gov,1,gov,341.9648446140739,-999.9999999994536,990.5545653468433,-229.86277907851965,193.11726732256858,1.2968527356484643,8.375127803548025
cc_align,100,gov,10,flores,291.8212804449004,-999.9999999947573,685.2922791980886,100.2785398989326,-46.75020394098285,1.6713992968062,11.722227476692206
cc_align,100,gov,10,bible,233.63121658433735,-995.456324380653,999.9999999999962,47.66410387039547,-33.138345077924306,0.8952079130755598,6.406760882788653
cc_align,100,gov,10,gov,427.0074429433016,-999.9999999973894,988.6297650370695,-471.23485574803993,388.5664050695957,0.8989714771393859,5.7618059813337315
cc_align,100,gov,25,flores,275.2589055537757,-999.9999999999125,708.7819169166602,146.7510489071428,-87.17056273141414,1.446060792771665,11.671628210444041
cc_align,100,gov,25,bible,217.88721669531012,-978.3343747893455,999.9999999999993,74.59774768527386,-55.49762812561998,0.9217776573930859,7.500941667300001
cc_align,100,gov,25,gov,438.7059502667113,-999.9999999999999,993.177213271175,-507.4689519783943,421.39737550414765,0.6625263577468344,5.1077379335342465
cc_align,100,gov,50,flores,80.7011572828764,-128.71932255962764,-133.66446374181015,90.15804013147758,-63.41993509022875,8.540893132447683e-10,1.9211578973085761
cc_align,100,gov,50,bible,2.446689726047284,5.709653913388466,8.691638186190854,-1.2237434337898727,-4.613662439650155,1.5017966642401526e-11,0.02902510866646428
cc_align,100,gov,50,gov,107.01764402087036,-122.48103514740116,-132.7591443251778,-35.3537173388911,107.2632323015551,5.027871402472174e-10,2.787286529476073
cc_align,100,bible,1,flores,236.9533999766441,-999.9999999998635,988.1056379836053,47.592698652175784,-32.35020530184914,0.5470156010010876,4.505482506269406
cc_align,100,bible,1,bible,472.13940234362025,-946.1152600309773,999.9999999990223,-696.0107078111055,522.0133042937946,0.5734595520552437,3.394691976536591
cc_align,100,bible,1,gov,247.29877115721962,-999.9999999999047,979.9687362357673,19.18092120403855,-10.487997411859562,0.3736783757479255,3.120968035001426
cc_align,100,bible,10,flores,206.206939217786,-999.9999999999999,964.7064176326121,154.49225863176954,-107.39185094772797,0.7591316107499769,6.201816666956344
cc_align,100,bible,10,bible,518.0890006999815,-905.4237621648093,999.9999999996015,-868.0012190077911,652.0517611427404,0.2488257944180177,1.4819510133383926
cc_align,100,bible,10,gov,229.33504660278209,-999.9999999996265,964.2684861123425,79.76851497811717,-50.40278217575823,0.7867098357868132,6.364970722065548
cc_align,100,bible,25,flores,191.9285300104541,-999.9999999999901,956.7527371517771,201.0044489335418,-139.90545196956322,0.9192149326106283,7.4774464982792725
cc_align,100,bible,25,bible,533.1214094257094,-894.8073985697813,999.9999999999989,-909.9301531657239,678.3854511603558,0.03324138221739178,0.20664048887872036
