train set 1,train set 1 size,train set 2 size,language to,c0,c1,rmse,loo rmse
gov,1,1,ka,-1.4890095070916949,-1.2405051084508654,0.21595339390666643,0.3072175715676673
gov,1,1,gu,1.7177169587185537,-1.233260810687108,0.8587485682262985,1.2239715719578363
gov,1,1,hi,0.09063669587862186,-1.3484248918218806,0.3615236267617658,0.5141088595515556
gov,1,1,si,-1.236679517792502,-1.7455254005758531,0.9884420256031723,1.4160003313853742
gov,1,1,ta,-0.5157161955288985,-1.3132034808127235,0.7853653314931658,1.1226728257059542
gov,1,10,ka,-0.7541307697723959,-1.3578153488370497,0.09643486122788174,0.13700220170681024
gov,1,10,gu,5.587967080968994,-1.2570400868537084,2.15639895096769,3.069604273258813
gov,1,10,hi,1.7858595489063889,-1.3998878708911662,1.0140835317652617,1.440688612569155
gov,1,10,si,1.5921123034167235,-1.6618025207553901,2.1590994728517803,3.0827991994600294
gov,1,10,ta,2.256544915363118,-1.362209675523711,2.29920807423385,3.2775115802266725
gov,1,25,ka,-0.6807272085948273,-1.3994467426160766,0.10062347197007325,0.14285253468707929
gov,1,25,gu,6.111256092431071,-1.3029128093016027,2.1667317661088514,3.0813397306680157
gov,1,25,hi,2.4610016227529665,-1.4146270899610638,1.342475526632397,1.9061083704591124
gov,1,25,si,1.4507779199263588,-1.7156043095264595,2.2738534836313122,3.2448363158745046
gov,1,25,ta,2.850578917920389,-1.395357849197746,2.512995392823787,3.578100148154313
gov,10,1,ka,-0.9247579570016738,-1.3222717526538603,0.14620096726348872,0.2078762986715724
gov,10,1,gu,1.2813887446619545,-1.2849065979444039,0.33771153050729913,0.48116364106976506
gov,10,1,hi,0.05269149591696501,-1.3697004291540673,0.2017877027898673,0.28692016984569535
gov,10,1,si,-1.755283972152689,-1.7778342426508436,0.47067212134197545,0.6740748134556072
gov,10,1,ta,-1.068996539430325,-1.3446465009329618,0.38661631355187287,0.5524915837276859
gov,10,10,ka,0.018731570384034953,-1.3724874860805525,0.09935956786258685,0.1411447738638827
gov,10,10,gu,4.996278389616189,-1.2793059934403472,1.630845906423516,2.3212021810685095
gov,10,10,hi,1.4707216150124442,-1.4067002842683072,0.6073385649329364,0.8628205240056801
gov,10,10,si,1.122722305722488,-1.6701872049839699,2.0409390065186783,2.9138623406065784
gov,10,10,ta,1.6260671940243423,-1.3769984279616576,1.7329541862733895,2.4700999767260763
gov,10,25,ka,0.011079100051092531,-1.4039736286850013,0.018042959494358357,0.025614396655011817
gov,10,25,gu,5.499053239530835,-1.3070420506068319,1.4328493977299304,2.0377431489512916
gov,10,25,hi,1.7761654137991498,-1.4312958265804754,0.7338389369932724,1.0418749962360017
gov,10,25,si,1.2457916197114816,-1.717017142401374,2.1113124859585057,3.0128851841232613
gov,10,25,ta,2.3711683651254383,-1.4098889583968774,1.9876207444178726,2.8297977234374025
gov,50,1,hi,0.23802350024774283,-1.3774774992292056,0.03980649806077279,0.056598641097967986
gov,50,1,si,-1.8068908280300726,-1.8043333608009255,0.40002719309475093,0.5727312059810434
gov,50,1,ta,-0.8393935923714415,-1.356853010215194,0.26791879332109464,0.38281801734997023
gov,50,10,hi,1.5702244958242515,-1.4067229202633642,0.5256914349110374,0.7468315293289096
gov,50,10,si,0.998304995643956,-1.6806476274517346,1.8830722619131028,2.688219038898938
gov,50,10,ta,1.7111921986023986,-1.3857980665528369,1.7361758070109305,2.4744642140371598
gov,50,25,hi,1.9765890474922145,-1.43127925939431,0.815486714847468,1.1577909208258428
gov,50,25,si,1.0219464721660358,-1.7263961854130387,1.8715293482769428,2.6705103934865715
gov,50,25,ta,2.4246388877608327,-1.4076754144112982,1.9459674844596324,2.77056223044199
bible,25,1,ka,-0.6660324734963194,-1.8173117748798184,0.3450785422019306,3.913384034920046
bible,25,1,gu,2.524140745419929,-1.9827900368640574,0.17552729093683578,1.5543094125936825
bible,25,1,hi,1.4352859448672561,-1.7925661020170316,0.1387958832960464,1.6418740707251576
