train set 1 size,train set 2,train set 2 size,language to,c0,c1,rmse,kfold rmse
100,bible,10,ta,999.9999999999999,4.919612068685532,3.280850910288661,3.4393455707069496
100,bible,25,ka,999.9999999999999,6.0210003175529065,2.4473542791473455,2.531840156997349
100,bible,25,gu,999.999999999999,5.896212143644651,2.2869106982656655,3.7183178868075033
100,bible,25,hi,999.9999999999994,4.86371826395722,5.378767475495352,5.836456660851412
100,bible,25,si,999.9999999999999,5.221876305749232,2.2925022877133383,2.294920745858418
100,bible,25,ta,999.9999999999877,4.758453983940306,3.846052692383153,4.038186005757312
1,gov,1,ka,999.9999999999999,7.216918497637314,2.102934909997057,5.1185083099713715
1,gov,1,gu,25.016138362331265,0.727371447486823,5.215412293162752,7.899644354664148
1,gov,1,hi,20.913201473412688,0.6218634833387959,5.088244543505597,7.549115544213126
1,gov,1,si,999.9999999999999,7.204150403245783,2.599112400917421,10.394401814718119
1,gov,1,ta,999.9999999999999,7.163269032411933,2.7422457443217056,9.806521489907269
1,gov,10,ka,999.9999999999999,5.7247609377788855,4.305009959111504,10.426999220839631
1,gov,10,gu,43.12651376719634,0.7805230387475541,6.1621693624362,9.431545797033166
1,gov,10,hi,39.993687228578594,0.7565829152176083,6.624344201534007,9.932335407726663
1,gov,10,si,999.9999999999999,6.085874468353713,6.064158246209825,18.306803132957665
1,gov,10,ta,999.9999999999962,6.236869287237466,5.076383421015507,15.577109194867429
1,gov,25,ka,999.9999999999807,5.457661054634243,4.491856951177305,11.164124178327524
1,gov,25,gu,51.372390586083455,0.8703279591880458,6.505665435317814,10.026512785189626
1,gov,25,hi,46.2544415311663,0.828122888482784,6.672674706355829,10.051680997524068
1,gov,25,si,999.9999999998773,5.873305700079447,6.762812913888296,20.261823507390037
1,gov,25,ta,999.9999999999999,6.020693766972631,5.371653321358887,16.75721658414412
1,gov,50,hi,51.89082638600681,0.899827894095538,6.4002354713383305,9.690354056912039
1,gov,50,si,999.9999999999159,5.74900998897563,6.983145705967494,21.315259893894147
1,gov,50,ta,999.9999999999999,5.889617383816868,5.437199635137429,16.866248554758318
1,bible,1,ka,999.999999999987,6.895914639205955,0.6338243679901965,0.6338259139100368
1,bible,1,gu,149.75674080369367,3.6042204247597813,2.6373239076696,2.713496703152251
1,bible,1,hi,922.0997790291513,6.187902423743792,1.6551490910582671,1.6560032608963065
1,bible,1,si,999.9999999999999,7.6650530371719725,1.6249923685971162,1.6249923983268166
1,bible,1,ta,999.9999999999957,8.009765024658481,1.4586555584287135,1.4586555745630458
1,bible,10,ka,999.9999999999999,5.974340612252885,1.1640660311995226,1.1640825355618056
1,bible,10,gu,82.95216154181102,2.066873356580969,5.298146403342408,5.745580759825668
1,bible,10,hi,999.9999999999999,5.6396259498938734,3.181836787619489,3.1819522424252873
1,bible,10,si,999.9999999999999,6.742325645303208,4.105634846479086,4.1056357228525915
1,bible,10,ta,999.9999999999958,7.075754341380988,4.1910786591787765,4.191079133131378
1,bible,25,ka,999.9999999999999,5.691613823118866,1.2903562021062531,1.2903784606378228
1,bible,25,gu,143.13699339651586,2.635273047741885,5.771551934218187,6.089253908224037
1,bible,25,hi,999.999999999995,5.44555902326957,3.863099406614995,3.86329849660952
1,bible,25,si,999.9999999999799,6.526503302662017,4.360116228160331,4.360117679407497
1,bible,25,ta,999.9999999999999,6.768349515948927,4.748220489268645,4.748221621542334
10,gov,1,ka,999.9999999999969,6.328298764740622,2.5096489649482856,7.111660944125868
10,gov,1,gu,28.500551017156,0.8140236771323498,5.193478612393769,7.994386814791707
10,gov,1,hi,27.964359069491255,0.9794365406973702,4.729690283131749,7.20381769144877
10,gov,1,si,999.9999999999999,6.598125361996182,1.621820334346102,10.751931673331617
10,gov,1,ta,999.9999999999999,6.92391561751446,1.9407280476276636,10.260697503174843
10,gov,10,ka,999.9999999999999,5.48267994919202,3.663577820486845,9.903384686404827
10,gov,10,gu,39.636893574214724,0.6072349257388973,6.2390949016032025,9.535939448909469
10,gov,10,hi,34.914904222689984,0.5409183424707633,6.568269505297923,9.826754258604732
10,gov,10,si,999.9999999999999,5.625591796915457,6.080217696900734,18.665156798597327
10,gov,10,ta,999.9999999995662,6.053333073993775,5.118569251520662,15.692101536653533
10,gov,25,ka,999.9999999999999,5.293799495250123,4.156262039265952,10.971577289884017
10,gov,25,gu,44.81595235637462,0.6408506578859394,6.522886887125088,10.005101381378566
10,gov,25,hi,39.8356673725237,0.5908371286303368,6.793781053178157,10.20227434525915
10,gov,25,si,999.9999999999999,5.433548274603429,7.303611774991594,20.545257557232237
10,gov,25,ta,999.9999999999997,5.858496762494327,5.557466741130559,16.72208987057683
10,gov,50,hi,43.278538728363536,0.6180235138724597,6.5165981930038965,9.815040004738306
10,gov,50,si,999.9999999998778,5.32546205227891,7.365893824842476,21.54950742657045
