train set,train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3",rmse,kfold rmse
gov,50,gov,10.332850754916146,7.9513189882898825,7.673598766961048,8.143807092035663,8.85079229820322,8.061935975250332,-6.2998206024018675,-2.9159433329551545,-7.54681599360957,-22.11203779085573,13.539603170313336,15.608397483348606,17.292432060383284,1.2170089141236405e-09,1.0449916061663475e-10
bible,1,flores,-0.7860949543064429,12.490433816096292,56.99402279173233,-41.01448380399957,0.5168173100207336,-49.492266508787274,32.85500277826606,2.976215291218754,5.436887319307636,-23.169960930752055,-6.087343084610907,-7.713399294569233,-1.4082928334060218,3.538808803346263e-10,0.2266235813322403
bible,1,bible,-35.74332344196781,96.0697401845977,154.36108258305478,31.857548211336436,58.49204078841045,61.668259457100135,52.61478912819404,-32.066800067399164,-51.94881301006927,-20.30468888599478,-81.01727138104036,-59.86950762596491,19.44990771837166,2.4027815145190868e-09,4.1032658518275
bible,1,gov,2.3522495953674607,1.4808592871039497,3.8790761329829953,28.653872614161752,2.5716246367471984,-25.306383379432376,6.258062813616508,1.6994773682618107,-21.042638796863493,15.057662164525649,0.5721991956196749,1.0874914634210517,-11.532327420608388,3.7878259723483795e-10,0.10824512584047673
bible,10,flores,14.488483533874707,10.250977470242026,8.111098602472676,18.216822517257235,-22.87354774224115,-149.6014911619032,139.0747215397592,10.829194605940394,7.852825661808391,-35.525335536799076,13.241312635484661,3.3849387395299653,-21.28361970741708,3.261753512886009e-10,0.71366185685595
bible,10,bible,-35.11896508665429,59.50778224873707,113.479887630954,46.18475197395227,118.69859854619973,-21.174668441192832,110.89935080875473,-12.077000752840283,-56.5444685550957,-29.84446440871202,-70.76685045359909,-42.29641308818381,26.61399741872433,6.9468665970099445e-09,1.0276504269028068
bible,10,gov,0.7538951288284144,9.668259819958578,10.380216018685294,22.49803939690494,-22.752690482346463,-23.128289571654847,8.672979679956471,15.151981368886398,22.45373983200913,-67.53775101128412,11.94018070815575,-10.704710403349694,-13.57858447681764,8.290704596200437e-10,0.8315613111121658
bible,25,flores,10.95948793965788,15.096066111341473,13.9826010543725,-1.3324898465375523,-9.925918860732285,-98.76837937902337,42.62238738059841,4.58409088892788,-17.292838241423222,13.351407711379743,7.364712168352636,3.7081428357332027,-13.68038508972122,1.9856131092640964e-09,2.0931096415397312e-10
bible,25,bible,-21.68146059922176,59.916413220485296,92.41971929742066,73.3008053589363,78.46267580388333,97.64061490780153,67.74079011832771,-31.8019084034765,-32.737557071678246,-37.605998814862104,-88.37378231013528,-24.857055927431976,18.068052710845052,3.0578991133825842e-09,2.4810552723468577e-09
bible,25,gov,17.287168668829928,35.59531561583607,-16.319774974571846,16.412717763745515,-46.89404234642894,-24.95302580996842,0.031030589178175857,-11.745761175111141,-1.4889540153253573,13.674096273543832,9.91710386665075,-22.992842644472198,9.676916025943083,7.263222299102197e-11,9.249198904565021e-11
