train set 1,train set 2,test set,language to,c0,c1,c2,rmse,kfold rmse
gov,bible,bible,gu,16.814369356139537,0.013552222637897987,0.7706186426808642,1.3561866595878584,1.438767247102456
gov,bible,bible,hi,19.28447293625827,0.028729946966736374,0.7938085504855997,1.6185377484048895,1.6754793649714665
gov,bible,bible,si,23.627137063112283,0.02820955512693367,0.8332852535455705,2.5699478097128217,2.6267031714940825
gov,bible,bible,ta,17.460536352098355,0.025800071563252307,0.812240595064762,1.740593365510885,1.8017975209940091
gov,bible,gov,ka,0.15734784813511382,0.17630220786921993,0.15505829134569535,0.20485144747919654,0.23508447338843502
gov,bible,gov,gu,4.190213194694062,-0.07280966133747728,0.6240813583169377,1.17960161315944,1.1884135766410036
gov,bible,gov,hi,2.092578261542294,-0.10047313272227733,0.4683100209503317,0.3399599577943167,0.352537461745593
gov,bible,gov,si,1.5045128949390751,-0.05788471332959057,0.5587919036108171,1.046636301642563,1.050783800215109
gov,bible,gov,ta,1.5438102565505596,-0.0678099889434988,0.6043469410014419,0.8803892654907358,0.8807834591853544
bible,gov,flores,ka,4.357997716519231,0.0875942958536111,0.6718604379308585,1.5193137226798608,1.7183148696984611
bible,gov,flores,gu,8.991474192315428,0.03556145582640132,0.7234020972757856,1.6679069628969994,1.8217886979137397
bible,gov,flores,hi,8.23296391165512,0.024878802419496263,0.6171607279256563,1.7080825975945906,1.7656843732073197
bible,gov,flores,si,4.726764012302144,0.030210010213551932,0.526246857470773,1.0939508759573582,1.1494626095579483
bible,gov,flores,ta,2.9659542537011574,0.036653392746336985,0.5303361195801647,0.5844046688293435,0.6276341899240179
bible,gov,bible,ka,0.1596544067486362,0.23645969844678733,0.2922974674622125,0.4033320275855625,0.5298101701443841
bible,gov,bible,gu,5.6486832996531025,0.13887420579869675,0.4884992006402896,0.8941801615333256,0.9767408828341015
bible,gov,bible,hi,5.245494039712761,0.1599588427708241,0.4051164283827803,1.4358048550844413,1.503411254342314
bible,gov,bible,si,3.3399916775592255,0.10831983480817489,0.5147056581344511,1.8327365608552788,1.942437622768341
bible,gov,bible,ta,3.022352134666497,0.08408528240514787,0.47211256860271483,1.2424133514548974,1.2795984496415345
bible,gov,gov,ka,17.86927028158934,0.04567644044730625,0.8642135703300273,3.5961600987428937,3.889373028890036
bible,gov,gov,gu,23.832256420484175,0.0268066818661728,0.8154861184993628,2.3749209730437184,2.5813222123889448
bible,gov,gov,hi,23.294829044082633,0.02173593976823001,0.680805364019314,3.2672180421125545,3.422552095041052
bible,gov,gov,si,29.27143771790539,0.033782422108544125,0.7869553334912991,5.207603716433543,5.481176198503968
bible,gov,gov,ta,24.648873657793953,0.040358447706082136,0.7209331679159429,3.5660464664698397,3.7584821600516873
