train set 1,train set 2,test set,language to,c0,c1,c2,rmse,kfold rmse
cc_align,bible,gov,gu,0.5031214078590567,0.33662884412135596,0.6773454497963808,0.0564080075753285,0.059775663128365214
cc_align,bible,gov,hi,0.9524417556764383,0.19235933946113679,0.2508633621704341,0.04881745187410895,0.055747318500653564
cc_align,bible,gov,si,0.021553176367658855,0.1923593392410138,0.3219796384437752,0.08765829692994759,0.09136443485633002
cc_align,bible,gov,ta,-1.0133797775634281,0.4087635958127431,0.39715241914622745,0.1362336811015176,0.163110946601045
gov,bible,flores,ka,0.8027764534279794,0.28712153667001883,0.4599640686140996,0.10733256302172936,0.1236404678402465
gov,bible,flores,gu,3.136044513335447,0.11983139096432313,0.9532903573425999,0.07812381756056216,0.07817656096004397
gov,bible,flores,hi,2.3701934406455205,0.08994546915518178,0.4035246026258319,0.11832007658452055,0.12077250242127886
gov,bible,flores,si,1.1065211582291679,-0.0010663258549429566,0.43701856037151116,0.1795335707523292,0.1795427284506933
gov,bible,flores,ta,1.1045408115289745,0.05939493933143786,0.4557039709837461,0.09789446065621805,0.09977275735730125
gov,bible,bible,ka,13.61680370676372,0.7665908167656217,4.1082522625252595,0.49030201763844544,0.494156461994516
gov,bible,bible,gu,16.268932404324474,0.17559477270535692,3.620478361831709,0.3588444539541308,0.3588619378096247
gov,bible,bible,hi,18.357272963850534,0.20334498010517038,4.141022230819557,0.2431682593775354,0.24319436872631683
gov,bible,bible,si,21.907695976579795,0.2455612267996944,4.965087873519428,0.47363539268444993,0.478799964613357
gov,bible,bible,ta,16.368619186119776,0.21479744115218274,4.391849665797437,0.2630943539879644,0.2632535865837695
gov,bible,gov,ka,0.944654772720282,0.32053166173967823,0.3011701668555234,0.18754268115532735,0.19243677718102423
gov,bible,gov,gu,5.144667384153912,-0.4460591538401866,1.9431263195343451,0.5192709329590415,0.5215178838438154
gov,bible,gov,hi,3.271611182076973,-0.231458926880319,0.8779858398429953,0.32738556180732875,0.33313150749267184
gov,bible,gov,si,2.55048740719316,-0.31516096741228633,1.526468690678168,0.5991599973886172,0.6009432556295745
gov,bible,gov,ta,2.6579506990667228,-0.34400538247304135,1.6997358083761989,0.4219527788627401,0.4241742796390619
bible,gov,flores,ka,3.1024302740834933,0.7554381394386828,3.0103603489334447,0.4230459488704957,0.4615429498364981
bible,gov,flores,gu,8.311823031558728,0.23411038583032792,3.3394361568243833,0.3843644203462798,0.4133923989054609
bible,gov,flores,hi,7.10131878686315,0.09613794058063989,3.0268381484406612,0.3000534092357696,0.30023279520199464
bible,gov,flores,si,4.374258557426638,0.13158829712552247,2.0247966086072298,0.2747144587644092,0.2820339131516664
bible,gov,flores,ta,2.8457787420119844,0.17351861481294825,1.944080277181108,0.2805868384853737,0.28654622533675966
bible,gov,bible,ka,0.43042904726305353,0.6466157098657305,0.8280023886648237,0.3753889769981697,0.3790218262753655
bible,gov,bible,gu,5.711786747956564,0.4097051737061398,1.672709838967731,0.6878626039101889,0.6883235832767978
bible,gov,bible,hi,4.86203203555649,0.4369466981776844,1.5832001392899364,1.1865020313688883,1.1876609900250557
bible,gov,bible,si,2.3454998090515837,0.3177434861428499,2.397006590858281,1.0954746844968977,1.099097839508522
bible,gov,bible,ta,2.854995482471442,0.15881785636714835,1.7997037035619805,0.7921590367258461,0.7923792395138669
bible,gov,gov,ka,14.340284401305453,1.0509122122757404,5.694732469381663,1.4573913353585182,1.5372390825774276
bible,gov,gov,gu,22.389680571025142,0.26476825946457105,4.582552403232106,0.46903270491286014,0.5117969517713274
bible,gov,gov,hi,20.72770467126077,0.027157711112981847,4.27794382923877,1.0730898832391818,1.1066255835437038
bible,gov,gov,si,23.61568346090977,0.27172077231883307,6.865989921492421,1.2127641610214273,1.2569553163197567
bible,gov,gov,ta,20.933764051752366,0.31774349941622204,5.126320918167468,0.7581548374289176,0.7846962118910672
